Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Denver,Julius Rollins,2,7,0.2857142857142857,7.144619866095643,5,-2.144619866095643,4,4,1.0,2.879523403179419,4,1.120476596820581,10.024143269275061,9,-1.0241432692750614
Denver,Gabe Oldham,0,1,0.0,1.0940943888342287,0,-1.0940943888342287,0,0,0.0,0.0,0,0.0,1.0940943888342287,0,-1.0940943888342287
Denver,Jeremiah Burke,6,16,0.375,14.626070030292134,15,0.3739299697078664,6,6,1.0,4.319285104769128,6,1.6807148952308717,18.945355135061263,21,2.054644864938737
Denver,Carson Johnson,5,13,0.38461538461538464,11.001006484221396,11,-0.0010064842213957093,7,9,0.7777777777777778,6.478927657153693,7,0.5210723428463071,17.47993414137509,18,0.5200658586249105
Denver,Zane Nelson,1,5,0.2,4.942748822392293,3,-1.9427488223922929,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.382510523982003,5,-1.3825105239820026
Denver,Corleone Dandridge,1,2,0.5,2.1370014407311957,2,-0.1370014407311957,0,0,0.0,0.0,0,0.0,2.1370014407311957,2,-0.1370014407311957
Denver,Logan Kinsey,5,7,0.7142857142857143,6.66028910643618,11,4.33971089356382,4,5,0.8,3.599404253974274,4,0.4005957460257261,10.259693360410454,15,4.740306639589546
Denver,Josh Lee,1,4,0.25,3.6012972685036178,3,-0.6012972685036178,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,5.041058970093327,3,-2.041058970093327
Denver,Didier Maleng,0,1,0.0,1.136976944499658,0,-1.136976944499658,0,0,0.0,0.0,0,0.0,1.136976944499658,0,-1.136976944499658
Seattle U,Will Heimbrodt,9,14,0.6428571428571429,14.13617970294534,21,6.8638202970546605,3,6,0.5,4.319285104769128,3,-1.3192851047691283,18.455464807714467,24,5.544535192285533
Seattle U,Houran Dan,1,6,0.16666666666666666,5.561479975411652,2,-3.561479975411652,0,0,0.0,0.0,0,0.0,5.561479975411652,2,-3.561479975411652
Seattle U,Jun Seok Yeo,3,10,0.3,9.695562500317456,6,-3.6955625003174557,3,4,0.75,2.879523403179419,3,0.12047659682058098,12.575085903496875,9,-3.575085903496875
Seattle U,Brayden Maldonado,9,15,0.6,13.971727115273366,21,7.0282728847266345,7,7,1.0,5.039165955563983,7,1.9608340444360168,19.010893070837348,28,8.989106929162652
Seattle U,Maleek Arington,3,6,0.5,5.559049390477985,7,1.440950609522015,3,6,0.5,4.319285104769128,3,-1.3192851047691283,9.878334495247113,10,0.12166550475288673
Seattle U,John Christofilis,1,4,0.25,3.852167968146011,3,-0.852167968146011,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,6.011810520530576,5,-1.0118105205305756
Seattle U,Brock Felder,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397617015897095,2,0.5602382984102905,1.4397617015897095,2,0.5602382984102905
Seattle U,Jojo Murphy,0,3,0.0,2.996417553223833,0,-2.996417553223833,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.436179254813543,2,-2.436179254813543
Seattle U,Austin Maurer,1,1,1.0,0.9901358384180627,2,1.0098641615819373,0,3,0.0,2.159642552384564,0,-2.159642552384564,3.149778390802627,2,-1.1497783908026271
