Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Holy Cross,Aiden Disu,7,14,0.5,13.781880358126033,15,1.218119641873967,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,15.221642059715743,16,0.7783579402842573
Holy Cross,Joe Nugent,4,8,0.5,7.917629114525194,10,2.0823708854748064,0,0,0.0,0.0,0,0.0,7.917629114525194,10,2.0823708854748064
Holy Cross,Aidan Richard,1,6,0.16666666666666666,6.756771515886209,3,-3.756771515886209,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,8.916414068270774,4,-4.9164140682707735
Holy Cross,Tyler Boston,6,13,0.46153846153846156,12.51151451414329,15,2.4884854858567103,10,11,0.9090909090909091,7.918689358743403,10,2.0813106412565974,20.430203872886693,25,4.569796127113307
Holy Cross,Gabe Warren,5,13,0.38461538461538464,12.915662436026551,11,-1.915662436026551,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,15.075304988411116,13,-2.0753049884111157
Holy Cross,DeAndre Williams,4,8,0.5,7.335149948662664,11,3.6648500513373357,0,0,0.0,0.0,0,0.0,7.335149948662664,11,3.6648500513373357
Holy Cross,Will Aljancic,0,2,0.0,1.564751599766696,0,-1.564751599766696,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,3.004513301356406,0,-3.004513301356406
Holy Cross,John St. Germain III,0,1,0.0,0.8932730348030853,0,-0.8932730348030853,0,0,0.0,0.0,0,0.0,0.8932730348030853,0,-0.8932730348030853
Providence,Oswin Erhunmwunse,2,2,1.0,2.203475969112426,4,1.796524030887574,0,0,0.0,0.0,0,0.0,2.203475969112426,4,1.796524030887574
Providence,Jason Edwards,4,11,0.36363636363636365,10.282886807494812,9,-1.2828868074948119,2,4,0.5,2.879523403179419,2,-0.879523403179419,13.162410210674231,11,-2.1624102106742313
Providence,Corey Floyd Jr.,4,9,0.4444444444444444,8.009922415427615,10,1.9900775845723846,2,5,0.4,3.599404253974274,2,-1.5994042539742739,11.60932666940189,12,0.39067333059811027
Providence,Jaylin Sellers,5,9,0.5555555555555556,10.4648780702743,11,0.5351219297256993,1,1,1.0,0.7198808507948548,1,0.28011914920514525,11.184758921069156,12,0.8152410789308444
Providence,Cole Hargrove,0,2,0.0,1.9214033597717037,0,-1.9214033597717037,0,0,0.0,0.0,0,0.0,1.9214033597717037,0,-1.9214033597717037
Providence,Duncan Powell,1,7,0.14285714285714285,7.322604489655422,2,-5.322604489655422,4,4,1.0,2.879523403179419,4,1.120476596820581,10.202127892834842,6,-4.202127892834842
Providence,Ryan Mela,3,6,0.5,6.049081065567675,6,-0.049081065567675,3,4,0.75,2.879523403179419,3,0.12047659682058098,8.928604468747094,9,0.07139553125290554
Providence,Stefan Vaaks,5,9,0.5555555555555556,9.822232022045284,13,3.1777679779547157,6,6,1.0,4.319285104769128,6,1.6807148952308717,14.141517126814414,19,4.8584828731855865
Providence,Jamier Jones,7,7,1.0,7.273488175959854,14,6.726511824040146,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.713249877549563,16,7.286750122450437
Providence,Daquan Davis,0,0,0.0,0.0,0,0.0,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,0.7198808507948548,0,-0.7198808507948548
