Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
New Orleans,Enzo Boudouma,1,4,0.25,4.183861207248604,3,-1.1838612072486043,0,0,0.0,0.0,0,0.0,4.183861207248604,3,-1.1838612072486043
New Orleans,Coleton Benson,7,19,0.3684210526315789,18.241355637802492,18,-0.24135563780249214,4,4,1.0,2.879523403179419,4,1.120476596820581,21.12087904098191,22,0.8791209590180884
New Orleans,Churchill Abass,3,3,1.0,2.9572350093154203,6,3.0427649906845797,0,0,0.0,0.0,0,0.0,2.9572350093154203,6,3.0427649906845797
New Orleans,Kedrick Osby,3,6,0.5,6.134717161172682,7,0.8652828388273184,1,1,1.0,0.7198808507948548,1,0.28011914920514525,6.8545980119675365,8,1.1454019880324635
New Orleans,Panagiotis Pagonis,3,6,0.5,5.993853562876135,7,1.0061464371238653,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.433615264465844,9,1.5663847355341556
New Orleans,Jakevion Buckley,3,7,0.42857142857142855,5.705838912202728,6,0.29416108779727157,7,10,0.7,7.198808507948548,7,-0.19880850794854776,12.904647420151276,13,0.0953525798487238
New Orleans,MJ Thomas,5,5,1.0,5.3577733079518035,10,4.6422266920481965,0,0,0.0,0.0,0,0.0,5.3577733079518035,10,4.6422266920481965
New Orleans,TJ Cope,3,5,0.6,5.261831090920969,6,0.7381689090790307,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.701592792510679,7,0.2984072074893209
New Orleans,Irish Coquia,0,1,0.0,0.7387499970409903,0,-0.7387499970409903,0,0,0.0,0.0,0,0.0,0.7387499970409903,0,-0.7387499970409903
New Orleans,William Patterson,0,1,0.0,1.0901306055569142,0,-1.0901306055569142,0,0,0.0,0.0,0,0.0,1.0901306055569142,0,-1.0901306055569142
TCU,Jayden Pierre,4,9,0.4444444444444444,8.589783229364961,9,0.4102167706350386,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.029544930954671,11,0.9704550690453289
TCU,Liutauras Lelevicius,2,9,0.2222222222222222,9.715749492685088,4,-5.715749492685088,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.155511194274798,6,-5.155511194274798
TCU,David Punch,9,13,0.6923076923076923,12.38328628108636,18,5.6167137189136405,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,13.82304798267607,19,5.176952017323931
TCU,Brock Harding,2,11,0.18181818181818182,10.871293905567487,4,-6.871293905567487,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.311055607157197,6,-6.311055607157197
TCU,Tanner Toolson,3,8,0.375,7.917323396578553,6,-1.9173233965785528,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,10.076965948963117,7,-3.0769659489631174
TCU,Xavier Edmonds,3,4,0.75,3.649645601415573,6,2.350354398584427,5,9,0.5555555555555556,6.478927657153693,5,-1.478927657153693,10.128573258569265,11,0.8714267414307351
TCU,Micah Robinson,3,10,0.3,9.918453935517684,8,-1.9184539355176842,6,6,1.0,4.319285104769128,6,1.6807148952308717,14.237739040286812,14,-0.2377390402868116
TCU,Kayden Edwards,0,3,0.0,3.099133021935958,0,-3.099133021935958,0,0,0.0,0.0,0,0.0,3.099133021935958,0,-3.099133021935958
