Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
San José State,Colby Garland,9,17,0.5294117647058824,15.405551343030833,19,3.594448656969167,2,4,0.5,2.879523403179419,2,-0.879523403179419,18.285074746210253,21,2.7149252537897475
San José State,JaVaughn Hannah,5,7,0.7142857142857143,7.330615503809842,11,3.6693844961901583,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,9.490258056194406,12,2.5097419438055937
San José State,Adrian Myers,2,9,0.2222222222222222,9.410700520201686,4,-5.4107005202016865,1,4,0.25,2.879523403179419,1,-1.879523403179419,12.290223923381106,5,-7.290223923381106
San José State,Sadraque NgaNga,2,5,0.4,5.064337862696995,5,-0.06433786269699482,0,0,0.0,0.0,0,0.0,5.064337862696995,5,-0.06433786269699482
San José State,Ben Roseborough,3,8,0.375,8.316782338645687,7,-1.3167823386456874,1,1,1.0,0.7198808507948548,1,0.28011914920514525,9.036663189440542,8,-1.0366631894405423
San José State,Yaphet Moundi,4,8,0.5,8.136296066964652,8,-0.13629606696465224,4,4,1.0,2.879523403179419,4,1.120476596820581,11.015819470144072,12,0.9841805298559283
San José State,Jermaine Washington,4,10,0.4,9.387114132034377,9,-0.3871141320343767,0,0,0.0,0.0,0,0.0,9.387114132034377,9,-0.3871141320343767
San José State,Melvin Bell Jr.,0,0,0.0,0.0,0,0.0,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,1.4397617015897095,0,-1.4397617015897095
San José State,Pasha Goodarzi,1,1,1.0,1.1763492711541046,3,1.8236507288458954,0,0,0.0,0.0,0,0.0,1.1763492711541046,3,1.8236507288458954
Utah,Seydou Traore,9,14,0.6428571428571429,13.76998134690497,23,9.23001865309503,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,14.489862197699825,23,8.510137802300175
Utah,Terrence Brown,4,13,0.3076923076923077,13.239109427120633,8,-5.239109427120633,4,4,1.0,2.879523403179419,4,1.120476596820581,16.11863283030005,12,-4.118632830300051
Utah,Don McHenry,5,11,0.45454545454545453,11.148156169615756,11,-0.14815616961575628,5,8,0.625,5.759046806358838,5,-0.759046806358838,16.907202975974595,16,-0.9072029759745952
Utah,Keanu Dawes,5,7,0.7142857142857143,7.687446422298779,10,2.3125535777012214,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.127208123888488,12,2.8727918761115117
Utah,Jacob Patrick,2,5,0.4,5.739159126732551,6,0.2608408732674494,0,0,0.0,0.0,0,0.0,5.739159126732551,6,0.2608408732674494
Utah,Elijah Moore,0,1,0.0,1.0158245229975402,0,-1.0158245229975402,0,0,0.0,0.0,0,0.0,1.0158245229975402,0,-1.0158245229975402
Utah,Kendyl Sanders,4,6,0.6666666666666666,6.5142971203745565,9,2.4857028796254435,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,7.954058821964266,9,1.0459411780357337
Utah,Josh Hayes,1,2,0.5,1.9022076039685776,2,0.09779239603142242,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.341969305558287,3,-0.34196930555828686
Utah,Obomate Abbey,1,3,0.3333333333333333,2.9316700324464158,3,0.06832996755358423,0,0,0.0,0.0,0,0.0,2.9316700324464158,3,0.06832996755358423
