Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Stetson,Jamie Phillips Jr.,6,12,0.5,11.444481614801882,14,2.555518385198118,6,10,0.6,7.198808507948548,6,-1.1988085079485478,18.64329012275043,20,1.3567098772495712
Stetson,Ethan Copeland,2,7,0.2857142857142857,7.356582239014308,6,-1.3565822390143083,0,0,0.0,0.0,0,0.0,7.356582239014308,6,-1.3565822390143083
Stetson,Matar Diop,2,5,0.4,4.879205727165791,4,-0.8792057271657914,1,4,0.25,2.879523403179419,1,-1.879523403179419,7.758729130345211,5,-2.758729130345211
Stetson,Calvin Sirmans III,1,4,0.25,4.128727346831899,2,-2.128727346831899,4,4,1.0,2.879523403179419,4,1.120476596820581,7.008250750011317,6,-1.0082507500113174
Stetson,Alex Doyle,4,8,0.5,7.816165905524204,11,3.183834094475796,0,0,0.0,0.0,0,0.0,7.816165905524204,11,3.183834094475796
Stetson,J.R. Leonard,1,5,0.2,5.039625147373872,2,-3.0396251473738722,0,0,0.0,0.0,0,0.0,5.039625147373872,2,-3.0396251473738722
Stetson,Janusz Ratowski,2,3,0.6666666666666666,3.2545838067485993,4,0.7454161932514007,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,4.6943455083383085,4,-0.6943455083383085
Stetson,Finley Sheridan,0,2,0.0,1.943579204824374,0,-1.943579204824374,0,0,0.0,0.0,0,0.0,1.943579204824374,0,-1.943579204824374
Stetson,Sean Morgan,2,4,0.5,4.332644403436497,5,0.6673555965635032,0,0,0.0,0.0,0,0.0,4.332644403436497,5,0.6673555965635032
Stetson,Jake Johnson,0,4,0.0,4.263698088118081,0,-4.263698088118081,0,0,0.0,0.0,0,0.0,4.263698088118081,0,-4.263698088118081
Stetson,Collin Kuhl,1,1,1.0,0.9901358384180627,2,1.0098641615819373,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.4298975400077722,3,0.5701024599922278
Rhode Island,Tyler Cochran,6,13,0.46153846153846156,14.366908787624867,14,-0.3669087876248671,3,4,0.75,2.879523403179419,3,0.12047659682058098,17.246432190804285,17,-0.2464321908042848
Rhode Island,Alex Crawford,5,12,0.4166666666666667,12.57352849952304,10,-2.5735284995230394,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,14.01329020111275,10,-4.013290201112749
Rhode Island,Keeyan Itejere,4,4,1.0,4.185511839837787,8,3.814488160162213,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,8.504796944606916,13,4.495203055393084
Rhode Island,Jahmere Tripp,5,12,0.4166666666666667,12.694716032902495,11,-1.6947160329024946,4,5,0.8,3.599404253974274,4,0.4005957460257261,16.29412028687677,15,-1.294120286876769
Rhode Island,Jonah Hinton,4,6,0.6666666666666666,5.860290945785938,10,4.139709054214062,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.300052647375647,12,4.699947352624353
Rhode Island,Mouhamed Sow,2,4,0.5,4.130365024856595,5,0.8696349751434047,0,0,0.0,0.0,0,0.0,4.130365024856595,5,0.8696349751434047
Rhode Island,Damone King,2,3,0.6666666666666666,2.975416795439969,5,2.024583204560031,0,0,0.0,0.0,0,0.0,2.975416795439969,5,2.024583204560031
Rhode Island,RJ Johnson,1,2,0.5,1.5840500540866205,2,0.4159499459133795,0,0,0.0,0.0,0,0.0,1.5840500540866205,2,0.4159499459133795
Rhode Island,Myles Corey,4,6,0.6666666666666666,6.159220708400213,9,2.8407792915997874,3,3,1.0,2.159642552384564,3,0.8403574476154358,8.318863260784777,12,3.6811367392152228
Rhode Island,Barrett Loer,0,1,0.0,0.9358593063261234,0,-0.9358593063261234,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.375621007915833,2,-0.3756210079158331
