Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Tennessee Tech,Brandon Muntu,5,10,0.5,10.332134200440517,11,0.6678657995594826,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.771895902030227,13,1.2281040979697728
Tennessee Tech,Jacobe Whitted,2,8,0.25,9.253736067220485,6,-3.253736067220485,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,10.693497768810195,7,-3.693497768810195
Tennessee Tech,JaJuan Nicholls,4,5,0.8,5.280229780107669,8,2.7197702198923306,0,0,0.0,0.0,0,0.0,5.280229780107669,8,2.7197702198923306
Tennessee Tech,Ty Owens,3,6,0.5,6.287234054972831,8,1.7127659450271686,0,0,0.0,0.0,0,0.0,6.287234054972831,8,1.7127659450271686
Tennessee Tech,Mekhi Turner,0,0,0.0,0.0,0,0.0,0,3,0.0,2.159642552384564,0,-2.159642552384564,2.159642552384564,0,-2.159642552384564
Tennessee Tech,Dani Pounds,4,7,0.5714285714285714,6.228213148145292,8,1.7717868518547082,0,0,0.0,0.0,0,0.0,6.228213148145292,8,1.7717868518547082
Tennessee Tech,Grant Slatten,3,4,0.75,3.565582448690092,6,2.434417551309908,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,4.285463299484947,6,1.714536700515053
Tennessee Tech,C.J. McPherson,1,4,0.25,4.237968606179591,3,-1.2379686061795914,0,0,0.0,0.0,0,0.0,4.237968606179591,3,-1.2379686061795914
Tennessee Tech,Owen Varnado,0,4,0.0,4.672866023514438,0,-4.672866023514438,0,0,0.0,0.0,0,0.0,4.672866023514438,0,-4.672866023514438
Tennessee Tech,Mekhi Cameron,4,10,0.4,9.988137072503045,12,2.0118629274969546,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,11.427898774092755,13,1.5721012259072449
Tennessee Tech,Ja'Quavian Florence,1,3,0.3333333333333333,2.68212908887755,2,-0.68212908887755,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.121890790467259,4,-0.12189079046725926
Western Kentucky,Blaise Keita,0,2,0.0,1.5604640462178483,0,-1.5604640462178483,0,0,0.0,0.0,0,0.0,1.5604640462178483,0,-1.5604640462178483
Western Kentucky,LJ Hackman,1,6,0.16666666666666666,5.928564072724901,2,-3.9285640727249014,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.368325774314611,4,-3.368325774314611
Western Kentucky,Teagan Moore,4,10,0.4,9.100081248463802,8,-1.1000812484638018,8,9,0.8888888888888888,6.478927657153693,8,1.521072342846307,15.579008905617496,16,0.42099109438250437
Western Kentucky,Terrion Murdix,5,9,0.5555555555555556,8.427454429670291,10,1.5725455703297087,3,5,0.6,3.599404253974274,3,-0.5994042539742739,12.026858683644566,13,0.9731413163554343
Western Kentucky,Noah Boyde,1,2,0.5,1.924066193018776,2,0.0759338069812241,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,3.3638278946084856,2,-1.3638278946084856
Western Kentucky,Bryant Selebangue,5,7,0.7142857142857143,6.869603199561497,10,3.130396800438503,4,4,1.0,2.879523403179419,4,1.120476596820581,9.749126602740915,14,4.250873397259085
Western Kentucky,Ryan Myers,3,5,0.6,4.7581718885049495,7,2.2418281114950505,4,4,1.0,2.879523403179419,4,1.120476596820581,7.637695291684368,11,3.362304708315632
Western Kentucky,Grant Newell,5,8,0.625,6.901798521837989,11,4.098201478162011,5,5,1.0,3.599404253974274,5,1.4005957460257261,10.501202775812263,16,5.4987972241877365
Western Kentucky,Cam Haffner,1,3,0.3333333333333333,3.005230312901869,2,-1.005230312901869,0,0,0.0,0.0,0,0.0,3.005230312901869,2,-1.005230312901869
Western Kentucky,Armelo Boone,1,7,0.14285714285714285,7.016329766872288,2,-5.016329766872288,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,8.456091468461997,2,-6.456091468461997
Western Kentucky,Leeroy Odiahi,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397617015897095,2,0.5602382984102905,1.4397617015897095,2,0.5602382984102905
Western Kentucky,Kade Unseld,0,1,0.0,0.9938629553947042,0,-0.9938629553947042,0,0,0.0,0.0,0,0.0,0.9938629553947042,0,-0.9938629553947042
Western Kentucky,Jack Edelen,0,1,0.0,0.907803141258022,0,-0.907803141258022,0,0,0.0,0.0,0,0.0,0.907803141258022,0,-0.907803141258022
Western Kentucky,Cade Stinnett,0,1,0.0,1.1973309169484347,0,-1.1973309169484347,0,0,0.0,0.0,0,0.0,1.1973309169484347,0,-1.1973309169484347
