Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
West Georgia,Brady Hardewig,1,5,0.2,5.26986112397419,3,-2.2698611239741897,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.709622825563899,5,-1.7096228255638994
West Georgia,Kenneth Chime,3,5,0.6,4.424097920940246,6,1.5759020790597544,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.863859622529955,7,1.1361403774700447
West Georgia,Chas Lewless,4,15,0.26666666666666666,14.452821868636724,11,-3.4528218686367236,0,0,0.0,0.0,0,0.0,14.452821868636724,11,-3.4528218686367236
West Georgia,Shelton Williams-Dryden,5,19,0.2631578947368421,16.021735116037625,10,-6.021735116037625,4,4,1.0,2.879523403179419,4,1.120476596820581,18.901258519217045,14,-4.901258519217045
West Georgia,Kolten Griffin,2,6,0.3333333333333333,6.017395912082545,4,-2.017395912082545,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.457157613672255,5,-2.457157613672255
West Georgia,JaVar Daniel,2,4,0.5,3.655325112404838,4,0.3446748875951622,0,0,0.0,0.0,0,0.0,3.655325112404838,4,0.3446748875951622
West Georgia,Josh Smith,1,8,0.125,7.546326426739434,2,-5.546326426739434,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.986088128329143,4,-4.986088128329143
West Georgia,Nate Jones,0,1,0.0,0.7684416365807568,0,-0.7684416365807568,0,0,0.0,0.0,0,0.0,0.7684416365807568,0,-0.7684416365807568
West Georgia,Xavier Shegog,1,2,0.5,2.4218550401618453,2,-0.4218550401618453,1,1,1.0,0.7198808507948548,1,0.28011914920514525,3.1417358909567,3,-0.14173589095670014
Nebraska,Berke Buyuktuncel,2,5,0.4,5.1106703278434935,4,-1.1106703278434935,0,0,0.0,0.0,0,0.0,5.1106703278434935,4,-1.1106703278434935
Nebraska,Sam Hoiberg,2,4,0.5,3.8851769400940244,5,1.1148230599059756,0,0,0.0,0.0,0,0.0,3.8851769400940244,5,1.1148230599059756
Nebraska,Rienk Mast,3,7,0.42857142857142855,6.835120658089853,6,-0.8351206580898527,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,11.154405762858982,10,-1.1544057628589819
Nebraska,Jamarques Lawrence,6,10,0.6,11.187371470253394,17,5.812628529746606,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,12.627133171843104,18,5.372866828156896
Nebraska,Pryce Sandfort,0,5,0.0,5.254161965572885,0,-5.254161965572885,3,3,1.0,2.159642552384564,3,0.8403574476154358,7.413804517957448,3,-4.413804517957448
Nebraska,Cale Jacobsen,2,5,0.4,5.189281150316679,5,-0.18928115031667936,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,5.909162001111534,5,-0.9091620011115342
Nebraska,Braden Frager,8,11,0.7272727272727273,10.925908762665095,18,7.074091237334905,4,5,0.8,3.599404253974274,4,0.4005957460257261,14.52531301663937,22,7.47468698336063
Nebraska,Connor Essegian,5,12,0.4166666666666667,12.160116368225838,11,-1.1601163682258377,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,13.599878069815547,12,-1.5998780698155475
Nebraska,Kendall Blue,0,2,0.0,1.9491660136963798,0,-1.9491660136963798,0,0,0.0,0.0,0,0.0,1.9491660136963798,0,-1.9491660136963798
Nebraska,Leo Curtis,1,2,0.5,1.9430416346546888,2,0.05695836534531118,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.3828033362443986,3,-0.38280333624439855
Nebraska,Justin Bolis,0,0,0.0,0.0,0,0.0,2,4,0.5,2.879523403179419,2,-0.879523403179419,2.879523403179419,2,-0.879523403179419
Nebraska,Jared Garcia,1,1,1.0,0.8008716536577059,2,1.1991283463422941,0,0,0.0,0.0,0,0.0,0.8008716536577059,2,1.1991283463422941
