Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Lindenwood,Clayton Jackson,3,14,0.21428571428571427,13.15824646470067,6,-7.158246464700669,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.598008166290379,8,-6.598008166290379
Lindenwood,Jeremiah Talton,2,11,0.18181818181818182,11.13312314927475,6,-5.13312314927475,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.01264655245417,9,-5.01264655245417
Lindenwood,Milos Nenadic,3,9,0.3333333333333333,8.12334558186291,7,-1.1233455818629103,5,5,1.0,3.599404253974274,5,1.4005957460257261,11.722749835837185,12,0.27725016416281534
Lindenwood,Robert Lewis,5,8,0.625,8.080533333085205,10,1.9194666669147953,0,3,0.0,2.159642552384564,0,-2.159642552384564,10.24017588546977,10,-0.2401758854697693
Lindenwood,Mekhi Cooper,5,13,0.38461538461538464,12.199053988068686,12,-0.19905398806868568,3,4,0.75,2.879523403179419,3,0.12047659682058098,15.078577391248105,15,-0.07857739124810514
Lindenwood,Jaylon McDaniel,0,3,0.0,2.921790226685909,0,-2.921790226685909,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.3615519282756186,1,-3.3615519282756186
Lindenwood,Kevin Anthony,0,1,0.0,1.0349408642308335,0,-1.0349408642308335,1,4,0.25,2.879523403179419,1,-1.879523403179419,3.9144642674102528,1,-2.9144642674102528
Lindenwood,Tidiane d'Almeida,0,1,0.0,0.9175447683482987,0,-0.9175447683482987,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.357306469938008,2,-0.35730646993800796
Lindenwood,William Campbell,1,1,1.0,0.7237889818334129,2,1.276211018166587,0,0,0.0,0.0,0,0.0,0.7237889818334129,2,1.276211018166587
Texas Tech,Tyeree Bryan,3,12,0.25,11.001768308789776,7,-4.001768308789776,0,0,0.0,0.0,0,0.0,11.001768308789776,7,-4.001768308789776
Texas Tech,Christian Anderson,11,23,0.4782608695652174,21.74996630404917,25,3.2500336959508296,9,11,0.8181818181818182,7.918689358743403,9,1.0813106412565974,29.668655662792574,34,4.331344337207426
Texas Tech,Nolan Groves,2,8,0.25,8.759238725156827,6,-2.759238725156827,1,4,0.25,2.879523403179419,1,-1.879523403179419,11.638762128336246,7,-4.638762128336246
Texas Tech,Marial Akuentok,3,5,0.6,4.972383644187718,7,2.027616355812282,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,6.412145345777428,7,0.5878546542225722
Texas Tech,Jaylen Petty,3,13,0.23076923076923078,12.489426650505163,8,-4.4894266505051625,1,1,1.0,0.7198808507948548,1,0.28011914920514525,13.209307501300017,9,-4.209307501300017
Texas Tech,Leon Horner,4,6,0.6666666666666666,6.372615018463177,10,3.6273849815368227,0,0,0.0,0.0,0,0.0,6.372615018463177,10,3.6273849815368227
Texas Tech,Donovan Atwell,6,13,0.46153846153846156,13.49039795334159,18,4.50960204665841,4,5,0.8,3.599404253974274,4,0.4005957460257261,17.089802207315863,22,4.910197792684137
Texas Tech,Jack Francis,0,1,0.0,1.060612894185304,0,-1.060612894185304,0,0,0.0,0.0,0,0.0,1.060612894185304,0,-1.060612894185304
Texas Tech,Jazz Henderson,1,1,1.0,1.0309479312469736,2,0.9690520687530264,0,0,0.0,0.0,0,0.0,1.0309479312469736,2,0.9690520687530264
