Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Robert Morris,Nikolaos Chitikoudis,7,11,0.6363636363636364,10.155539570117673,14,3.844460429882327,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,11.595301271707383,14,2.404698728292617
Robert Morris,Ryan Prather Jr.,3,9,0.3333333333333333,8.350769868164702,8,-0.35076986816470246,4,4,1.0,2.879523403179419,4,1.120476596820581,11.230293271344122,12,0.7697067286558781
Robert Morris,Darius Livingston,3,10,0.3,10.962953757681184,9,-1.9629537576811842,0,0,0.0,0.0,0,0.0,10.962953757681184,9,-1.9629537576811842
Robert Morris,Albert Vargas,1,2,0.5,2.219966209591526,3,0.7800337904084742,0,0,0.0,0.0,0,0.0,2.219966209591526,3,0.7800337904084742
Robert Morris,DeSean Goode,4,6,0.6666666666666666,5.397892508829004,10,4.602107491170996,1,1,1.0,0.7198808507948548,1,0.28011914920514525,6.117773359623859,11,4.882226640376141
Robert Morris,Kaleb Brown,2,3,0.6666666666666666,3.827086540392873,6,2.172913459607127,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,4.546967391187728,6,1.453032608812272
Robert Morris,Josh Hill,2,3,0.6666666666666666,2.771771074762727,5,2.228228925237273,1,4,0.25,2.879523403179419,1,-1.879523403179419,5.651294477942146,6,0.34870552205785366
Robert Morris,Ta'Zir Smith,1,3,0.3333333333333333,3.0850827480052683,2,-1.0850827480052683,2,6,0.3333333333333333,4.319285104769128,2,-2.3192851047691283,7.404367852774397,4,-3.4043678527743966
Robert Morris,Eddie Cooke Iii,0,1,0.0,0.8130844750973051,0,-0.8130844750973051,4,4,1.0,2.879523403179419,4,1.120476596820581,3.692607878276724,4,0.307392121723276
Iowa,Cam Manyawu,3,7,0.42857142857142855,7.088935027457685,6,-1.0889350274576852,4,5,0.8,3.599404253974274,4,0.4005957460257261,10.68833928143196,10,-0.6883392814319595
Iowa,Isaia Howard,2,3,0.6666666666666666,2.7459463653549885,4,1.2540536346450115,6,8,0.75,5.759046806358838,6,0.24095319364116197,8.504993171713826,10,1.495006828286174
Iowa,Tavion Banks,6,7,0.8571428571428571,6.601116573914739,12,5.398883426085261,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,10.920401678683866,17,6.0795983213161335
Iowa,Bennett Stirtz,6,10,0.6,10.501189103380206,14,3.498810896619794,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,14.820474208149335,19,4.179525791850665
Iowa,Alvaro Folgueiras,4,5,0.8,6.243954740210374,11,4.756045259789626,0,0,0.0,0.0,0,0.0,6.243954740210374,11,4.756045259789626
Iowa,Kael Combs,1,2,0.5,2.1913075122410923,2,-0.19130751224109233,0,0,0.0,0.0,0,0.0,2.1913075122410923,2,-0.19130751224109233
Iowa,Cooper Koch,3,5,0.6,5.33889101728,7,1.66110898272,1,1,1.0,0.7198808507948548,1,0.28011914920514525,6.058771868074855,8,1.9412281319251452
Iowa,Trevin Jirak,2,3,0.6666666666666666,2.7039649147291533,4,1.2960350852708467,5,5,1.0,3.599404253974274,5,1.4005957460257261,6.303369168703427,9,2.6966308312965728
Iowa,Tate Sage,0,1,0.0,1.1058343609478665,0,-1.1058343609478665,3,6,0.5,4.319285104769128,3,-1.3192851047691283,5.425119465716994,3,-2.4251194657169943
Iowa,Brendan Hausen,1,3,0.3333333333333333,2.7957093835490023,3,0.20429061645099766,7,7,1.0,5.039165955563983,7,1.9608340444360168,7.834875339112985,10,2.165124660887015
Iowa,Joey Matteoni,1,1,1.0,0.8502828540202098,2,1.1497171459797904,0,0,0.0,0.0,0,0.0,0.8502828540202098,2,1.1497171459797904
