Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Southern Utah,Jalen Lee,4,9,0.4444444444444444,8.547816428742493,9,0.45218357125750686,0,0,0.0,0.0,0,0.0,8.547816428742493,9,0.45218357125750686
Southern Utah,Dylan Jones,2,7,0.2857142857142857,7.203908714755824,5,-2.2039087147558236,0,0,0.0,0.0,0,0.0,7.203908714755824,5,-2.2039087147558236
Southern Utah,Elijah Duval,8,14,0.5714285714285714,14.03112824947546,17,2.9688717505245403,0,0,0.0,0.0,0,0.0,14.03112824947546,17,2.9688717505245403
Southern Utah,Isaiah Cottrell,3,6,0.5,5.573194537087963,6,0.4268054629120366,5,5,1.0,3.599404253974274,5,1.4005957460257261,9.172598791062237,11,1.8274012089377631
Southern Utah,Zach Bell,1,9,0.1111111111111111,8.06035401731369,2,-6.06035401731369,0,0,0.0,0.0,0,0.0,8.06035401731369,2,-6.06035401731369
Southern Utah,Kai Burdick,0,3,0.0,2.7102062821757236,0,-2.7102062821757236,0,0,0.0,0.0,0,0.0,2.7102062821757236,0,-2.7102062821757236
Southern Utah,Cale Barclay,3,7,0.42857142857142855,7.616357719562406,7,-0.6163577195624059,0,0,0.0,0.0,0,0.0,7.616357719562406,7,-0.6163577195624059
Southern Utah,Jaiden Feroah,4,8,0.5,8.159637512833275,8,-0.15963751283327454,0,0,0.0,0.0,0,0.0,8.159637512833275,8,-0.15963751283327454
Southern Utah,Tanner Hayhurst,0,1,0.0,0.9451661266487067,0,-0.9451661266487067,0,0,0.0,0.0,0,0.0,0.9451661266487067,0,-0.9451661266487067
Southern Utah,Lorenzo Abellar,0,2,0.0,1.5248150832323795,0,-1.5248150832323795,0,0,0.0,0.0,0,0.0,1.5248150832323795,0,-1.5248150832323795
Southern Utah,Logan Stephens,1,4,0.25,4.1934729896777005,2,-2.1934729896777005,3,3,1.0,2.159642552384564,3,0.8403574476154358,6.353115542062264,5,-1.3531155420622643
Arizona State,Andrija Grbović,3,7,0.42857142857142855,7.383228449123415,6,-1.3832284491234148,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.822990150713125,8,-0.8229901507131245
Arizona State,Santiago Trouet,2,9,0.2222222222222222,9.015556850580461,4,-5.015556850580461,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,9.735437701375316,4,-5.735437701375316
Arizona State,Maurice Odum,3,8,0.375,7.572533264990934,9,1.427466735009066,0,0,0.0,0.0,0,0.0,7.572533264990934,9,1.427466735009066
Arizona State,Mor Massamba Diop,6,8,0.75,7.975408583386609,12,4.024591416613391,2,4,0.5,2.879523403179419,2,-0.879523403179419,10.854931986566028,14,3.1450680134339724
Arizona State,Marcus Adams Jr.,0,1,0.0,1.0756039219506046,0,-1.0756039219506046,0,0,0.0,0.0,0,0.0,1.0756039219506046,0,-1.0756039219506046
Arizona State,Allen Mukeba,4,6,0.6666666666666666,5.634225612887641,9,3.365774387112359,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.073987314477351,11,3.9260126855226494
Arizona State,Anthony Johnson,6,9,0.6666666666666666,9.112321993412179,14,4.887678006587821,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.991845396591598,17,5.008154603408402
Arizona State,Bryce Ford,4,8,0.5,8.050212046442526,11,2.9497879535574736,0,0,0.0,0.0,0,0.0,8.050212046442526,11,2.9497879535574736
Arizona State,Trevor Best,1,3,0.3333333333333333,2.9259272757559236,2,-0.9259272757559236,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,7.965093231319907,7,-0.9650932313199068
