Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Long Island University,Malachi Davis,6,12,0.5,11.353564999060522,13,1.6464350009394781,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,13.513207551445086,14,0.48679244855491355
Long Island University,Shadrak Lasu,5,9,0.5555555555555556,9.03948081239916,10,0.9605191876008394,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,10.47924251398887,10,-0.4792425139888703
Long Island University,Greg Gordon,12,18,0.6666666666666666,17.610368266365207,24,6.389631733634793,5,9,0.5555555555555556,6.478927657153693,5,-1.478927657153693,24.0892959235189,29,4.9107040764811
Long Island University,Mason Porter-Brown,7,12,0.5833333333333334,12.794573447321708,16,3.2054265526782917,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.234335148911418,18,3.765664851088582
Long Island University,Faheim Meran,1,3,0.3333333333333333,3.135712086451192,2,-1.1357120864511918,2,4,0.5,2.879523403179419,2,-0.879523403179419,6.01523548963061,4,-2.0152354896306104
Long Island University,Isaiah Miranda,5,5,1.0,4.836372091542591,11,6.163627908457409,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.276133793132301,12,5.723866206867699
Long Island University,Jomo Goings,3,7,0.42857142857142855,6.732658369485695,7,0.2673416305143048,0,0,0.0,0.0,0,0.0,6.732658369485695,7,0.2673416305143048
IU Indianapolis,Finley Woodward,5,11,0.45454545454545453,10.222778301243043,10,-0.22277830124304288,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.662540002832753,12,0.3374599971672474
IU Indianapolis,Maguire Mitchell,7,13,0.5384615384615384,14.37195904119805,20,5.62804095880195,2,2,1.0,1.4397617015897095,2,0.5602382984102905,15.81172074278776,22,6.1882792572122405
IU Indianapolis,Kameron Tinsley,0,6,0.0,6.4876877788280245,0,-6.4876877788280245,7,7,1.0,5.039165955563983,7,1.9608340444360168,11.526853734392008,7,-4.526853734392008
IU Indianapolis,Reece Hagy,0,1,0.0,0.8595544937687729,0,-0.8595544937687729,0,0,0.0,0.0,0,0.0,0.8595544937687729,0,-0.8595544937687729
IU Indianapolis,Matt Compas,10,17,0.5882352941176471,17.216108227659305,20,2.783891772340695,0,0,0.0,0.0,0,0.0,17.216108227659305,20,2.783891772340695
IU Indianapolis,Micah Davis,2,7,0.2857142857142857,6.632960113573006,6,-0.6329601135730059,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,8.072721815162716,6,-2.0727218151627156
IU Indianapolis,JP Dragas,0,2,0.0,2.0930088236266324,0,-2.0930088236266324,0,0,0.0,0.0,0,0.0,2.0930088236266324,0,-2.0930088236266324
IU Indianapolis,Kyler D'Augustino,5,12,0.4166666666666667,11.890983720787581,10,-1.890983720787581,0,0,0.0,0.0,0,0.0,11.890983720787581,10,-1.890983720787581
IU Indianapolis,Jaxon Edwards,5,8,0.625,7.993350251353961,10,2.006649748646039,3,5,0.6,3.599404253974274,3,-0.5994042539742739,11.592754505328235,13,1.4072454946717645
IU Indianapolis,Gabe Stewart,0,1,0.0,0.8943328045786683,0,-0.8943328045786683,0,0,0.0,0.0,0,0.0,0.8943328045786683,0,-0.8943328045786683
