Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Southern,Malek Abdelgowad,5,12,0.4166666666666667,11.900478768170634,11,-0.9004787681706343,0,0,0.0,0.0,0,0.0,11.900478768170634,11,-0.9004787681706343
Southern,Michael Jacobs,7,13,0.5384615384615384,12.545624778985786,14,1.4543752210142138,7,10,0.7,7.198808507948548,7,-0.19880850794854776,19.744433286934335,21,1.2555667130656651
Southern,AJ Barnes,5,9,0.5555555555555556,9.623698350442707,11,1.376301649557293,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,14.66286430600669,17,2.337135693993311
Southern,DaMariee Jones,5,8,0.625,7.725048210751177,10,2.2749517892488234,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,12.76421416631516,15,2.23578583368484
Southern,Cam Amboree,1,7,0.14285714285714285,7.342853800255508,2,-5.342853800255508,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,9.502496352640073,4,-5.5024963526400725
Southern,Joe Manning,1,4,0.25,3.527389802838356,3,-0.5273898028383561,0,0,0.0,0.0,0,0.0,3.527389802838356,3,-0.5273898028383561
Southern,Terrance Dixon Jr.,1,2,0.5,1.8912333308506728,2,0.1087666691493272,0,0,0.0,0.0,0,0.0,1.8912333308506728,2,0.1087666691493272
Southern,Jayce Depron,0,1,0.0,1.3540687713350632,0,-1.3540687713350632,0,0,0.0,0.0,0,0.0,1.3540687713350632,0,-1.3540687713350632
Southern,Ashton Magee,0,2,0.0,1.9727574551237335,0,-1.9727574551237335,0,0,0.0,0.0,0,0.0,1.9727574551237335,0,-1.9727574551237335
Southern,Fazl Oshodi,1,3,0.3333333333333333,3.130907561157353,3,-0.13090756115735314,0,0,0.0,0.0,0,0.0,3.130907561157353,3,-0.13090756115735314
Southern,Rondae Hill,1,2,0.5,1.663055249366531,3,1.336944750633469,0,0,0.0,0.0,0,0.0,1.663055249366531,3,1.336944750633469
Southern,Lionel Bell,1,1,1.0,1.0293515136844926,2,0.9706484863155074,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.469113215274202,3,0.5308867847257979
Marquette,Chase Ross,8,13,0.6153846153846154,12.284879827718367,17,4.715120172281633,6,9,0.6666666666666666,6.478927657153693,6,-0.4789276571536929,18.76380748487206,23,4.236192515127939
Marquette,Caedin Hamilton,5,6,0.8333333333333334,6.280296262867995,10,3.719703737132005,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.7200579644577045,12,4.2799420355422955
Marquette,Zaide Lowery,4,9,0.4444444444444444,8.588181077517142,11,2.4118189224828583,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,10.027942779106851,12,1.9720572208931486
Marquette,Sean Jones,4,7,0.5714285714285714,6.767684967577425,9,2.2323150324225747,3,3,1.0,2.159642552384564,3,0.8403574476154358,8.92732751996199,12,3.07267248003801
Marquette,Ben Gold,3,6,0.5,6.325833066481108,8,1.674166933518892,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.765594768070818,10,2.2344052319291823
Marquette,Royce Parham,3,8,0.375,8.484596747071794,7,-1.4845967470717945,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.924358448661504,9,-0.9243584486615042
Marquette,Nigel James Jr.,1,4,0.25,3.797091018836044,2,-1.7970910188360438,0,0,0.0,0.0,0,0.0,3.797091018836044,2,-1.7970910188360438
Marquette,Damarius Owens,1,4,0.25,4.098281810692046,3,-1.098281810692046,0,0,0.0,0.0,0,0.0,4.098281810692046,3,-1.098281810692046
Marquette,Tre Norman,1,2,0.5,1.8467362178773346,2,0.15326378212266545,0,0,0.0,0.0,0,0.0,1.8467362178773346,2,0.15326378212266545
Marquette,Adrien Stevens,2,5,0.4,5.4377463197196265,6,0.5622536802803735,0,0,0.0,0.0,0,0.0,5.4377463197196265,6,0.5622536802803735
Marquette,Joshua Clark,0,3,0.0,3.1384792573743194,0,-3.1384792573743194,0,0,0.0,0.0,0,0.0,3.1384792573743194,0,-3.1384792573743194
Marquette,Michael Phillips II,3,3,1.0,2.6579347613319033,9,6.342065238668097,0,0,0.0,0.0,0,0.0,2.6579347613319033,9,6.342065238668097
