Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Campbell,Muneer Newton,3,4,0.75,4.22594314664383,6,1.7740568533561696,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,4.945823997438685,6,1.0541760025613147
Campbell,Dovydas Butka,5,11,0.45454545454545453,9.779635210387607,10,0.22036478961239325,4,8,0.5,5.759046806358838,4,-1.759046806358838,15.538682016746446,14,-1.5386820167464457
Campbell,Jeremiah Johnson,2,8,0.25,8.085520095392804,4,-4.085520095392804,9,10,0.9,7.198808507948548,9,1.8011914920514522,15.28432860334135,13,-2.2843286033413506
Campbell,DJ Smith,3,14,0.21428571428571427,13.002310668563556,7,-6.002310668563556,4,5,0.8,3.599404253974274,4,0.4005957460257261,16.60171492253783,11,-5.60171492253783
Campbell,Tasos Cook,1,1,1.0,1.1058343609478665,2,0.8941656390521335,0,0,0.0,0.0,0,0.0,1.1058343609478665,2,0.8941656390521335
Campbell,Cam Gregory,2,4,0.5,4.862690531423993,5,0.13730946857600657,4,4,1.0,2.879523403179419,4,1.120476596820581,7.742213934603413,9,1.257786065396587
Campbell,Chris Fields Jr.,3,11,0.2727272727272727,10.9385177468776,6,-4.938517746877601,4,4,1.0,2.879523403179419,4,1.120476596820581,13.81804115005702,10,-3.81804115005702
Campbell,Dominykas Butka,0,1,0.0,0.9071947766061075,0,-0.9071947766061075,0,0,0.0,0.0,0,0.0,0.9071947766061075,0,-0.9071947766061075
West Virginia,Honor Huff,5,10,0.5,10.508722749601848,14,3.491277250398152,9,10,0.9,7.198808507948548,9,1.8011914920514522,17.707531257550396,23,5.2924687424496035
West Virginia,Brenen Lorient,2,8,0.25,7.199906451634989,4,-3.1999064516349893,8,10,0.8,7.198808507948548,8,0.8011914920514522,14.398714959583536,12,-2.398714959583536
West Virginia,Harlan Obioha,5,7,0.7142857142857143,7.491154934464213,10,2.5088450655357866,2,4,0.5,2.879523403179419,2,-0.879523403179419,10.370678337643632,12,1.629321662356368
West Virginia,Jasper Floyd,1,5,0.2,4.2886622399947525,2,-2.2886622399947525,0,0,0.0,0.0,0,0.0,4.2886622399947525,2,-2.2886622399947525
West Virginia,Treysen Eaglestaff,5,14,0.35714285714285715,13.460141782385552,12,-1.460141782385552,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,14.180022633180407,12,-2.180022633180407
West Virginia,Amir Jenkins,0,3,0.0,2.675277067720042,0,-2.675277067720042,0,0,0.0,0.0,0,0.0,2.675277067720042,0,-2.675277067720042
West Virginia,DJ Thomas,4,8,0.5,8.759175923404833,9,0.24082407659516747,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,10.198937624994542,10,-0.19893762499454226
West Virginia,Morris Ugusuk,1,2,0.5,1.795528697291573,2,0.20447130270842706,0,0,0.0,0.0,0,0.0,1.795528697291573,2,0.20447130270842706
