Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Denver,Julius Rollins,3,12,0.25,11.11117365021165,7,-4.111173650211651,3,4,0.75,2.879523403179419,3,0.12047659682058098,13.99069705339107,10,-3.99069705339107
Denver,Carson Johnson,4,12,0.3333333333333333,11.018397245485787,9,-2.0183972454857866,0,0,0.0,0.0,0,0.0,11.018397245485787,9,-2.0183972454857866
Denver,Jeremiah Burke,6,12,0.5,12.237633272691582,15,2.762366727308418,0,0,0.0,0.0,0,0.0,12.237633272691582,15,2.762366727308418
Denver,Logan Kinsey,8,12,0.6666666666666666,11.978163344614835,19,7.021836655385165,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,16.297448449383964,23,6.702551550616036
Denver,Shaun Wysocki,1,3,0.3333333333333333,2.800892662831959,2,-0.8008926628319588,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.240654364421668,3,-1.240654364421668
Denver,Gabe Oldham,4,4,1.0,3.4487318838772234,8,4.551268116122777,0,0,0.0,0.0,0,0.0,3.4487318838772234,8,4.551268116122777
Denver,Didier Maleng,1,3,0.3333333333333333,2.473052854214335,2,-0.47305285421433485,0,0,0.0,0.0,0,0.0,2.473052854214335,2,-0.47305285421433485
Denver,Josh Lee,0,2,0.0,1.9640440961405403,0,-1.9640440961405403,0,0,0.0,0.0,0,0.0,1.9640440961405403,0,-1.9640440961405403
Denver,Zane Nelson,0,1,0.0,1.1279979595551903,0,-1.1279979595551903,0,0,0.0,0.0,0,0.0,1.1279979595551903,0,-1.1279979595551903
Washington,Wesley Yates III,6,10,0.6,9.551040647113004,12,2.4489593528869964,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,11.710683199497568,13,1.2893168005024318
Washington,JJ Mandaquit,5,9,0.5555555555555556,7.821260396970189,11,3.178739603029811,0,0,0.0,0.0,0,0.0,7.821260396970189,11,3.178739603029811
Washington,Hannes Steinbach,5,12,0.4166666666666667,11.53509926657073,10,-1.5350992665707306,3,5,0.6,3.599404253974274,3,-0.5994042539742739,15.134503520545005,13,-2.134503520545005
Washington,Bryson Tucker,4,11,0.36363636363636365,10.651314530297327,11,0.3486854697026729,0,0,0.0,0.0,0,0.0,10.651314530297327,11,0.3486854697026729
Washington,Lathan Sommerville,5,5,1.0,4.566701258225278,10,5.433298741774722,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.286582109020133,11,5.713417890979867
Washington,Quimari Peterson,4,8,0.5,8.973833775741745,11,2.0261662242582545,0,0,0.0,0.0,0,0.0,8.973833775741745,11,2.0261662242582545
Washington,Zoom Diallo,3,8,0.375,7.316262993345564,6,-1.316262993345564,6,6,1.0,4.319285104769128,6,1.6807148952308717,11.635548098114693,12,0.36445190188530674
Washington,Franck Kepnang,1,2,0.5,2.125581132914225,2,-0.1255811329142249,0,0,0.0,0.0,0,0.0,2.125581132914225,2,-0.1255811329142249
