Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
North Florida,Kamrin Oriol,8,17,0.47058823529411764,16.640760625851723,19,2.3592393741482773,0,0,0.0,0.0,0,0.0,16.640760625851723,19,2.3592393741482773
North Florida,Kent Jackson,2,8,0.25,7.105423504754931,6,-1.1054235047549312,0,0,0.0,0.0,0,0.0,7.105423504754931,6,-1.1054235047549312
North Florida,Devin Hines,1,8,0.125,8.63152253458643,2,-6.631522534586431,4,5,0.8,3.599404253974274,4,0.4005957460257261,12.230926788560705,6,-6.230926788560705
North Florida,Dalton Gayman,1,5,0.2,4.517672298415702,2,-2.517672298415702,7,8,0.875,5.759046806358838,7,1.240953193641162,10.27671910477454,9,-1.2767191047745392
North Florida,BJ Plummer,0,3,0.0,3.1084373217984664,0,-3.1084373217984664,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.548199023388176,2,-2.548199023388176
North Florida,Trey Cady,4,11,0.36363636363636365,11.092910221210959,9,-2.0929102212109587,4,5,0.8,3.599404253974274,4,0.4005957460257261,14.692314475185233,13,-1.692314475185233
North Florida,Dante Oliver,2,3,0.6666666666666666,2.9939165942801917,5,2.0060834057198083,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.4336782958699015,7,2.5663217041300985
North Florida,Mason Lee,1,3,0.3333333333333333,3.1748354658522913,2,-1.1748354658522913,0,0,0.0,0.0,0,0.0,3.1748354658522913,2,-1.1748354658522913
North Florida,Nestor Dyachok,0,3,0.0,3.2397679696123944,0,-3.2397679696123944,0,0,0.0,0.0,0,0.0,3.2397679696123944,0,-3.2397679696123944
Florida,Alex Condon,8,12,0.6666666666666666,12.322312286651167,16,3.677687713348833,9,10,0.9,7.198808507948548,9,1.8011914920514522,19.521120794599714,25,5.478879205400286
Florida,Rueben Chinyelu,4,5,0.8,4.9459002459925765,8,3.0540997540074235,0,0,0.0,0.0,0,0.0,4.9459002459925765,8,3.0540997540074235
Florida,Thomas Haugh,4,9,0.4444444444444444,8.99510416978384,10,1.0048958302161601,2,4,0.5,2.879523403179419,2,-0.879523403179419,11.87462757296326,12,0.12537242703674067
Florida,Xaivian Lee,4,11,0.36363636363636365,11.747810979352248,10,-1.7478109793522485,0,0,0.0,0.0,0,0.0,11.747810979352248,10,-1.7478109793522485
Florida,Boogie Fland,4,7,0.5714285714285714,6.9798811956379065,8,1.0201188043620935,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,9.139523748022471,10,0.8604762519775289
Florida,Urban Klavzar,0,5,0.0,5.789281307902622,0,-5.789281307902622,0,0,0.0,0.0,0,0.0,5.789281307902622,0,-5.789281307902622
Florida,Micah Handlogten,7,9,0.7777777777777778,9.502759617845017,14,4.497240382154983,3,3,1.0,2.159642552384564,3,0.8403574476154358,11.662402170229582,17,5.337597829770418
Florida,CJ Ingram,2,4,0.5,4.2491089560991835,4,-0.2491089560991835,1,4,0.25,2.879523403179419,1,-1.879523403179419,7.128632359278603,5,-2.128632359278603
Florida,Alex Lloyd,1,5,0.2,5.0227688884331725,3,-2.0227688884331725,1,4,0.25,2.879523403179419,1,-1.879523403179419,7.902292291612591,4,-3.902292291612591
Florida,Isaiah Brown,4,11,0.36363636363636365,11.470352891558786,9,-2.470352891558786,0,0,0.0,0.0,0,0.0,11.470352891558786,9,-2.470352891558786
Florida,Viktor Mikic,2,3,0.6666666666666666,3.2772973054594683,4,0.7227026945405317,0,0,0.0,0.0,0,0.0,3.2772973054594683,4,0.7227026945405317
