Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Northeastern,Youri Fritz,8,9,0.8888888888888888,8.561454517717891,16,7.438545482282109,5,11,0.45454545454545453,7.918689358743403,5,-2.9186893587434026,16.480143876461295,21,4.519856123538705
Northeastern,Xander Alarie,3,6,0.5,5.348148453052057,6,0.6518515469479427,7,7,1.0,5.039165955563983,7,1.9608340444360168,10.38731440861604,13,2.6126855913839595
Northeastern,Miles Newton,4,9,0.4444444444444444,9.406557223886065,10,0.5934427761139354,0,0,0.0,0.0,0,0.0,9.406557223886065,10,0.5934427761139354
Northeastern,LA Pratt,4,11,0.36363636363636365,11.397156994176388,9,-2.397156994176388,4,5,0.8,3.599404253974274,4,0.4005957460257261,14.996561248150662,13,-1.9965612481506625
Northeastern,William Kermoury,0,5,0.0,5.23013613815262,0,-5.23013613815262,0,0,0.0,0.0,0,0.0,5.23013613815262,0,-5.23013613815262
Northeastern,Mike Loughnane,3,12,0.25,12.135182289748313,7,-5.135182289748313,0,0,0.0,0.0,0,0.0,12.135182289748313,7,-5.135182289748313
Northeastern,Ty Francis,0,2,0.0,2.096676363180492,0,-2.096676363180492,0,0,0.0,0.0,0,0.0,2.096676363180492,0,-2.096676363180492
Northeastern,JB Frankel,0,2,0.0,1.6365925201066847,0,-1.6365925201066847,0,0,0.0,0.0,0,0.0,1.6365925201066847,0,-1.6365925201066847
Northeastern,Liam Koelsch,0,2,0.0,2.0445126606039787,0,-2.0445126606039787,0,0,0.0,0.0,0,0.0,2.0445126606039787,0,-2.0445126606039787
Northeastern,Xavier Abreu,1,1,1.0,1.0008404688278574,2,0.9991595311721426,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.440602170417567,4,1.5593978295824331
Colgate,Andrew Alekseyenko,2,7,0.2857142857142857,6.592876868308288,4,-2.592876868308288,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.032638569897998,6,-2.0326385698979976
Colgate,Sam Wright,6,9,0.6666666666666666,8.89636606050041,12,3.1036339394995895,4,4,1.0,2.879523403179419,4,1.120476596820581,11.77588946367983,16,4.22411053632017
Colgate,Brady Cummins,0,6,0.0,4.879044658532002,0,-4.879044658532002,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.3188063601217115,1,-5.3188063601217115
Colgate,Jalen Cox,2,3,0.6666666666666666,2.4590754987149266,4,1.5409245012850734,3,4,0.75,2.879523403179419,3,0.12047659682058098,5.338598901894345,7,1.6614010981056548
Colgate,Ben Tweedy,3,9,0.3333333333333333,8.45365240249009,6,-2.453652402490089,0,0,0.0,0.0,0,0.0,8.45365240249009,6,-2.453652402490089
Colgate,Kyle Carlesimo,5,12,0.4166666666666667,13.212883613802585,14,0.7871163861974146,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.652645315392295,16,1.347354684607705
Colgate,Cooper Wright,3,5,0.6,4.8608285520524355,6,1.1391714479475645,0,0,0.0,0.0,0,0.0,4.8608285520524355,6,1.1391714479475645
Colgate,Josh Ahayere,2,3,0.6666666666666666,2.7378581733406038,4,1.2621418266593962,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.177619874930313,5,0.8223801250696869
Colgate,Ayomi Odetoyinbo,1,5,0.2,5.054528828626016,2,-3.054528828626016,0,0,0.0,0.0,0,0.0,5.054528828626016,2,-3.054528828626016
