Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UC Riverside,Marqui Worthy Jr.,6,9,0.6666666666666666,8.61299820131652,12,3.38700179868348,9,11,0.8181818181818182,7.918689358743403,9,1.0813106412565974,16.531687560059922,21,4.468312439940078
UC Riverside,BJ Kolly,0,1,0.0,1.004952404681162,0,-1.004952404681162,0,0,0.0,0.0,0,0.0,1.004952404681162,0,-1.004952404681162
UC Riverside,Osiris Grady,6,11,0.5454545454545454,9.778367806394733,12,2.2216321936052665,7,8,0.875,5.759046806358838,7,1.240953193641162,15.537414612753572,19,3.4625853872464276
UC Riverside,Jailen Daniel-Dalton,4,6,0.6666666666666666,6.049727551751597,8,1.9502724482484028,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,8.20937010413616,10,1.7906298958638391
UC Riverside,Dylan Godfrey,3,7,0.42857142857142855,7.524397960961483,7,-0.5243979609614833,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,8.244278811756338,7,-1.2442788117563381
UC Riverside,De'Undrae Perteete Jr.,1,1,1.0,1.0132192687246513,3,1.9867807312753487,0,0,0.0,0.0,0,0.0,1.0132192687246513,3,1.9867807312753487
UC Riverside,Ben Waller,1,3,0.3333333333333333,3.250823843446586,2,-1.250823843446586,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.690585545036296,4,-0.6905855450362957
UC Riverside,Andrew Henderson,3,4,0.75,3.9786004965635655,8,4.0213995034364345,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.418362198153275,10,4.581637801846725
UC Riverside,Tyler Jones,0,1,0.0,1.046410866468221,0,-1.046410866468221,0,0,0.0,0.0,0,0.0,1.046410866468221,0,-1.046410866468221
North Dakota,Eli King,5,9,0.5555555555555556,8.949312537513517,11,2.050687462486483,1,4,0.25,2.879523403179419,1,-1.879523403179419,11.828835940692937,12,0.17116405930706335
North Dakota,George Natsvishvili,3,7,0.42857142857142855,6.280417164925608,6,-0.2804171649256082,2,5,0.4,3.599404253974274,2,-1.5994042539742739,9.879821418899882,8,-1.8798214188998816
North Dakota,Zach Kraft,4,7,0.5714285714285714,7.991536866265964,12,4.008463133734036,0,0,0.0,0.0,0,0.0,7.991536866265964,12,4.008463133734036
North Dakota,Anthony Smith III,6,11,0.5454545454545454,10.586396734388881,13,2.413603265611119,4,4,1.0,2.879523403179419,4,1.120476596820581,13.4659201375683,17,3.5340798624316996
North Dakota,Josh Jones,4,9,0.4444444444444444,7.643696150776993,8,0.35630384922300706,2,5,0.4,3.599404253974274,2,-1.5994042539742739,11.243100404751267,10,-1.2431004047512673
North Dakota,Matthew Bothun,0,2,0.0,1.7560370870099655,0,-1.7560370870099655,0,0,0.0,0.0,0,0.0,1.7560370870099655,0,-1.7560370870099655
North Dakota,Anthony Doppler,0,1,0.0,0.7806044566304238,0,-0.7806044566304238,0,0,0.0,0.0,0,0.0,0.7806044566304238,0,-0.7806044566304238
North Dakota,Greyson Uelmen,2,5,0.4,5.12932827419932,4,-1.1293282741993202,2,4,0.5,2.879523403179419,2,-0.879523403179419,8.00885167737874,6,-2.0088516773787397
North Dakota,Garrett Anderson,2,7,0.2857142857142857,7.178987669701128,4,-3.1789876697011277,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.618749371290837,5,-3.6187493712908374
North Dakota,Marley Curtis,0,1,0.0,1.155981300873314,0,-1.155981300873314,0,0,0.0,0.0,0,0.0,1.155981300873314,0,-1.155981300873314
