Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Alabama State,Cameron Palesse,1,7,0.14285714285714285,6.445077428310227,3,-3.445077428310227,0,0,0.0,0.0,0,0.0,6.445077428310227,3,-3.445077428310227
Alabama State,Micah Simpson,3,10,0.3,10.30808500999565,7,-3.3080850099956507,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,12.467727562380215,9,-3.4677275623802153
Alabama State,Jerquarius Stanback,0,2,0.0,1.7658994736031923,0,-1.7658994736031923,0,0,0.0,0.0,0,0.0,1.7658994736031923,0,-1.7658994736031923
Alabama State,Trey Miller,4,14,0.2857142857142857,12.342928312473097,9,-3.342928312473097,0,0,0.0,0.0,0,0.0,12.342928312473097,9,-3.342928312473097
Alabama State,Tyler Mason,3,8,0.375,7.098894752246229,7,-0.09889475224622934,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.538656453835939,8,-0.5386564538359391
Alabama State,Asjon Anderson,5,12,0.4166666666666667,11.82598794592132,13,1.1740120540786805,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.705511349100739,16,1.294488650899261
Alabama State,R'Chaun King,3,3,1.0,2.96865370377584,6,3.03134629622416,2,6,0.3333333333333333,4.319285104769128,2,-2.3192851047691283,7.287938808544968,8,0.7120611914550317
Alabama State,Damarien Yates,2,5,0.4,4.770545105255151,4,-0.7705451052551506,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.21030680684486,5,-1.2103068068448604
Alabama State,Mario Andrews,1,1,1.0,1.0134220899495399,2,0.9865779100504601,0,0,0.0,0.0,0,0.0,1.0134220899495399,2,0.9865779100504601
Alabama State,Tyler Byrd,1,3,0.3333333333333333,2.6059315145162487,2,-0.6059315145162487,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.045693216105958,4,-0.045693216105958
Florida State,Kobe MaGee,4,9,0.4444444444444444,9.376760702947385,12,2.6232392970526153,4,4,1.0,2.879523403179419,4,1.120476596820581,12.256284106126804,16,3.743715893873196
Florida State,Lajae Jones,8,10,0.8,11.458233672669193,20,8.541766327330807,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,12.178114523464048,20,7.821885476535952
Florida State,Alex Steen,2,5,0.4,5.047286306616013,4,-1.0472863066160132,5,5,1.0,3.599404253974274,5,1.4005957460257261,8.646690560590287,9,0.3533094394097134
Florida State,Robert McCray V,6,12,0.5,11.691673164236462,12,0.3083268357635376,0,0,0.0,0.0,0,0.0,11.691673164236462,12,0.3083268357635376
Florida State,Martin Somerville,5,9,0.5555555555555556,7.895138849208908,14,6.104861150791092,0,0,0.0,0.0,0,0.0,7.895138849208908,14,6.104861150791092
Florida State,Cam Miles,1,8,0.125,7.8270032946950465,3,-4.8270032946950465,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.266764996284756,5,-4.266764996284756
Florida State,Thomas Bassong,3,4,0.75,4.2349031434790385,8,3.7650968565209615,0,0,0.0,0.0,0,0.0,4.2349031434790385,8,3.7650968565209615
Florida State,Chauncey Wiggins,4,13,0.3076923076923077,13.168833857146574,10,-3.1688338571465735,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.608595558736283,12,-2.6085955587362832
Florida State,Alier Maluk,1,3,0.3333333333333333,3.036330719681896,2,-1.0363307196818958,0,0,0.0,0.0,0,0.0,3.036330719681896,2,-1.0363307196818958
Florida State,Jalen Crawford,1,1,1.0,1.155981300873314,3,1.844018699126686,0,0,0.0,0.0,0,0.0,1.155981300873314,3,1.844018699126686
