Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Bucknell,Amon Dörries,7,14,0.5,13.883279276073688,15,1.1167207239263117,0,0,0.0,0.0,0,0.0,13.883279276073688,15,1.1167207239263117
Bucknell,Jayden Williams,4,8,0.5,7.8051629336441355,10,2.1948370663558645,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,9.9648054860287,12,2.0351945139713
Bucknell,Achile Spadone,3,6,0.5,6.144520772488111,7,0.8554792275118892,4,8,0.5,5.759046806358838,4,-1.759046806358838,11.90356757884695,11,-0.9035675788469497
Bucknell,Ruot Bijiek,4,13,0.3076923076923077,12.283671717404111,11,-1.2836717174041112,4,4,1.0,2.879523403179419,4,1.120476596820581,15.16319512058353,15,-0.1631951205835307
Bucknell,Grgur Brcic,2,3,0.6666666666666666,2.8591599568816326,4,1.1408400431183674,3,6,0.5,4.319285104769128,3,-1.3192851047691283,7.178445061650761,7,-0.1784450616507609
Bucknell,Pat Curtin,4,10,0.4,8.74384529597001,8,-0.7438452959700097,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.18360699755972,10,-0.18360699755971943
Bucknell,Quin Berger,0,2,0.0,2.3277678297316973,0,-2.3277678297316973,0,0,0.0,0.0,0,0.0,2.3277678297316973,0,-2.3277678297316973
Bucknell,Brandon McCreesh,1,2,0.5,2.3393004702361235,3,0.6606995297638765,0,0,0.0,0.0,0,0.0,2.3393004702361235,3,0.6606995297638765
Mount St. Mary's,Trey Deveaux,1,9,0.1111111111111111,9.313937998472625,2,-7.313937998472625,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.753699700062334,4,-6.753699700062334
Mount St. Mary's,Anastasios Rozakeas,3,8,0.375,8.86690796959152,7,-1.8669079695915194,3,3,1.0,2.159642552384564,3,0.8403574476154358,11.026550521976084,10,-1.026550521976084
Mount St. Mary's,Luke McEldon,9,12,0.75,11.911780369398873,18,6.088219630601127,3,5,0.6,3.599404253974274,3,-0.5994042539742739,15.511184623373147,21,5.488815376626853
Mount St. Mary's,Xavier Lipscomb,5,10,0.5,10.531997662487901,13,2.4680023375120985,3,3,1.0,2.159642552384564,3,0.8403574476154358,12.691640214872466,16,3.308359785127534
Mount St. Mary's,Patrick Haigh,0,4,0.0,4.0886429618594144,0,-4.0886429618594144,0,0,0.0,0.0,0,0.0,4.0886429618594144,0,-4.0886429618594144
Mount St. Mary's,Justin Amadi,2,3,0.6666666666666666,3.05440153785232,4,0.9455984621476801,5,8,0.625,5.759046806358838,5,-0.759046806358838,8.813448344211158,9,0.18655165578884159
Mount St. Mary's,Elijah Espinosa,0,0,0.0,0.0,0,0.0,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,1.4397617015897095,0,-1.4397617015897095
Mount St. Mary's,Mason So,0,5,0.0,5.039072233686549,0,-5.039072233686549,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.478833935276259,2,-4.478833935276259
