Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Long Beach State,Petar Majstorovic,4,10,0.4,10.136647512280604,8,-2.1366475122806037,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,11.576409213870313,9,-2.5764092138703134
Long Beach State,Isaiah Lewis,1,6,0.16666666666666666,6.0757427052432575,2,-4.0757427052432575,8,10,0.8,7.198808507948548,8,0.8011914920514522,13.274551213191806,10,-3.274551213191806
Long Beach State,Cole Farrell,0,3,0.0,2.7932376594087014,0,-2.7932376594087014,0,0,0.0,0.0,0,0.0,2.7932376594087014,0,-2.7932376594087014
Long Beach State,Dallas Washington,2,8,0.25,8.2241942831341,5,-3.2241942831341,1,1,1.0,0.7198808507948548,1,0.28011914920514525,8.944075133928955,6,-2.944075133928955
Long Beach State,Gavin Sykes,4,9,0.4444444444444444,8.756196170776946,9,0.24380382922305444,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.195957872366655,11,0.8040421276333447
Long Beach State,Rob Diaz III,3,7,0.42857142857142855,6.698133324565224,7,0.3018666754347761,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.577656727744642,10,0.4223432722553575
Long Beach State,Leopold Levillain,2,3,0.6666666666666666,3.167132570436865,4,0.8328674295631351,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.606894272026574,6,1.3931057279734258
Long Beach State,Shaquil Bender,4,6,0.6666666666666666,5.40312338834143,9,3.59687661165857,0,0,0.0,0.0,0,0.0,5.40312338834143,9,3.59687661165857
Long Beach State,Derrick Michael Xzavierro,0,1,0.0,1.0033480524887604,0,-1.0033480524887604,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.4431097540784696,1,-1.4431097540784696
Fresno State,Zaon Collins,4,7,0.5714285714285714,6.860086285550693,8,1.1399137144493068,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,11.899252241114677,12,0.10074775888532272
Fresno State,DeShawn Gory,2,4,0.5,4.168313975032966,5,0.8316860249670341,0,0,0.0,0.0,0,0.0,4.168313975032966,5,0.8316860249670341
Fresno State,Wilson Jacques,4,7,0.5714285714285714,6.939189054257009,8,1.0608109457429906,4,5,0.8,3.599404253974274,4,0.4005957460257261,10.538593308231283,12,1.4614066917687172
Fresno State,Cameron Faas,3,8,0.375,8.699953409298931,9,0.30004659070106854,0,0,0.0,0.0,0,0.0,8.699953409298931,9,0.30004659070106854
Fresno State,Jake Heidbreder,8,13,0.6153846153846154,12.821987433375678,18,5.1780125666243215,6,6,1.0,4.319285104769128,6,1.6807148952308717,17.141272538144808,24,6.858727461855192
Fresno State,Bastien Rieber,1,2,0.5,2.2721190268547202,3,0.7278809731452798,0,0,0.0,0.0,0,0.0,2.2721190268547202,3,0.7278809731452798
Fresno State,DJ Stickman,2,4,0.5,4.09627332533448,4,-0.0962733253344803,0,0,0.0,0.0,0,0.0,4.09627332533448,4,-0.0962733253344803
Fresno State,Gasper Kocevar,1,2,0.5,2.085924795983612,3,0.9140752040163882,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,6.40520990075274,7,0.5947900992472599
Fresno State,Jac Mani,1,1,1.0,1.0509014862294819,3,1.9490985137705181,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.4906631878191914,5,2.5093368121808086
Fresno State,Makhan Diouf,0,3,0.0,2.945757261307831,0,-2.945757261307831,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.385518962897541,1,-3.3855189628975406
Fresno State,Troy Jenkins,0,1,0.0,0.972868022368449,0,-0.972868022368449,0,0,0.0,0.0,0,0.0,0.972868022368449,0,-0.972868022368449
