Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Monmouth,Jack Collins,1,8,0.125,8.3623696869981,2,-6.3623696869981,3,3,1.0,2.159642552384564,3,0.8403574476154358,10.522012239382665,5,-5.522012239382665
Monmouth,Jason Rivera-Torres,8,12,0.6666666666666666,11.136255981698332,19,7.863744018301668,1,4,0.25,2.879523403179419,1,-1.879523403179419,14.015779384877751,20,5.984220615122249
Monmouth,Stefanos Spartalis,2,6,0.3333333333333333,5.912585257757025,4,-1.9125852577570246,3,4,0.75,2.879523403179419,3,0.12047659682058098,8.792108660936444,7,-1.792108660936444
Monmouth,Justin Ray,2,5,0.4,5.827012829478105,5,-0.8270128294781047,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.2667745310678145,6,-1.2667745310678145
Monmouth,Andrew Ball,7,14,0.5,14.388515722813228,15,0.6114842771867721,0,0,0.0,0.0,0,0.0,14.388515722813228,15,0.6114842771867721
Monmouth,Dok Muordar,1,2,0.5,1.8399146329215288,2,0.1600853670784712,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.2796763345112385,4,0.7203236654887615
Monmouth,Cornelius Robinson III,1,4,0.25,4.096784898714262,2,-2.0967848987142617,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.536546600303971,3,-2.5365466003039714
Monmouth,Jinup Dobuol,0,1,0.0,1.1135459671169976,0,-1.1135459671169976,0,0,0.0,0.0,0,0.0,1.1135459671169976,0,-1.1135459671169976
La Salle,Ashton Walker,3,9,0.3333333333333333,8.234593491082158,6,-2.2345934910821583,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,8.954474341877013,6,-2.954474341877013
La Salle,Rob Dockery,1,4,0.25,3.8111685399850828,3,-0.8111685399850828,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.2509302415747925,4,-1.2509302415747925
La Salle,Josiah Harris,4,8,0.5,7.795290739797611,8,0.20470926020238878,3,4,0.75,2.879523403179419,3,0.12047659682058098,10.67481414297703,11,0.3251858570229693
La Salle,Jaeden Marshall,6,15,0.4,15.836884014033224,14,-1.8368840140332239,12,12,1.0,8.638570209538257,12,3.3614297904617434,24.475454223571482,26,1.5245457764285177
La Salle,Damon Strand,2,5,0.4,5.7197013973135675,6,0.2802986026864325,0,0,0.0,0.0,0,0.0,5.7197013973135675,6,0.2802986026864325
La Salle,Edwin Daniel,2,5,0.4,4.743609495980188,4,-0.7436094959801878,0,0,0.0,0.0,0,0.0,4.743609495980188,4,-0.7436094959801878
La Salle,Justin Archer,2,6,0.3333333333333333,6.210228636247214,4,-2.210228636247214,2,5,0.4,3.599404253974274,2,-1.5994042539742739,9.809632890221488,6,-3.809632890221488
La Salle,Jerome Brewer Jr.,3,7,0.42857142857142855,7.331359032072676,7,-0.33135903207267603,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.771120733662386,9,0.22887926633761424
La Salle,Eric Acker,0,3,0.0,2.9176972006544832,0,-2.9176972006544832,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.3574589022441925,1,-3.3574589022441925
