Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Providence,Corey Floyd Jr.,1,4,0.25,3.992341622423711,2,-1.992341622423711,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.43210332401342,3,-2.43210332401342
Providence,Duncan Powell,1,5,0.2,5.39211734887732,3,-2.3921173488773197,3,4,0.75,2.879523403179419,3,0.12047659682058098,8.271640752056738,6,-2.2716407520567383
Providence,Jaylin Sellers,9,19,0.47368421052631576,19.99682044108005,22,2.0031795589199497,4,5,0.8,3.599404253974274,4,0.4005957460257261,23.596224695054325,26,2.4037753049456754
Providence,Jason Edwards,10,19,0.5263157894736842,18.19733910036678,22,3.8026608996332207,6,6,1.0,4.319285104769128,6,1.6807148952308717,22.51662420513591,28,5.4833757948640915
Providence,Oswin Erhunmwunse,3,3,1.0,3.199829257111002,6,2.800170742888998,5,5,1.0,3.599404253974274,5,1.4005957460257261,6.799233511085276,11,4.200766488914724
Providence,Ryan Mela,3,8,0.375,7.968310539384284,6,-1.9683105393842837,0,0,0.0,0.0,0,0.0,7.968310539384284,6,-1.9683105393842837
Providence,Jamier Jones,2,3,0.6666666666666666,3.068948591231349,4,0.931051408768651,0,0,0.0,0.0,0,0.0,3.068948591231349,4,0.931051408768651
Providence,Stefan Vaaks,5,13,0.38461538461538464,12.74059993323209,14,1.2594000667679097,3,3,1.0,2.159642552384564,3,0.8403574476154358,14.900242485616655,17,2.099757514383345
Providence,Daquan Davis,0,2,0.0,2.1013276523723947,0,-2.1013276523723947,0,0,0.0,0.0,0,0.0,2.1013276523723947,0,-2.1013276523723947
Virginia Tech,Tobi Lawal,2,5,0.4,4.844016754627055,4,-0.8440167546270549,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.7235401578064735,7,-0.7235401578064735
Virginia Tech,Neoklis Avdalas,13,23,0.5652173913043478,22.323675329332342,31,8.676324670667658,2,4,0.5,2.879523403179419,2,-0.879523403179419,25.203198732511762,33,7.796801267488238
Virginia Tech,Tyler Johnson,4,7,0.5714285714285714,7.301668589312289,9,1.698331410687711,3,5,0.6,3.599404253974274,3,-0.5994042539742739,10.901072843286563,12,1.0989271567134367
Virginia Tech,Jailen Bedford,7,11,0.6363636363636364,10.632197285264585,17,6.367802714735415,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,12.071958986854295,18,5.928041013145705
Virginia Tech,Jaden Schutt,4,6,0.6666666666666666,6.061978637231181,10,3.9380213627688194,0,0,0.0,0.0,0,0.0,6.061978637231181,10,3.9380213627688194
Virginia Tech,Amani Hansberry,6,15,0.4,14.46262523012103,13,-1.4626252301210307,4,5,0.8,3.599404253974274,4,0.4005957460257261,18.062029484095305,17,-1.062029484095305
Virginia Tech,Ben Hammond,3,10,0.3,9.009725999586458,6,-3.0097259995864576,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.449487701176167,8,-2.4494877011761673
Virginia Tech,Christian Gurdak,1,1,1.0,0.9901358384180627,2,1.0098641615819373,0,0,0.0,0.0,0,0.0,0.9901358384180627,2,1.0098641615819373
Virginia Tech,Izaiah Pasha,0,1,0.0,0.808229707655663,0,-0.808229707655663,0,0,0.0,0.0,0,0.0,0.808229707655663,0,-0.808229707655663
