Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Western Carolina,Cord Stansberry,3,14,0.21428571428571427,13.735990694179788,6,-7.7359906941797885,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,15.175752395769498,7,-8.175752395769498
Western Carolina,CJ Hyland,0,4,0.0,3.1273502663036705,0,-3.1273502663036705,4,5,0.8,3.599404253974274,4,0.4005957460257261,6.726754520277945,4,-2.726754520277945
Western Carolina,Marcus Kell,5,12,0.4166666666666667,11.386875730692507,10,-1.3868757306925072,1,1,1.0,0.7198808507948548,1,0.28011914920514525,12.106756581487362,11,-1.1067565814873621
Western Carolina,Julien Soumaoro,5,12,0.4166666666666667,11.943577425245797,14,2.056422574754203,0,0,0.0,0.0,0,0.0,11.943577425245797,14,2.056422574754203
Western Carolina,Justin Johnson,2,8,0.25,7.160747269248391,4,-3.1607472692483913,0,3,0.0,2.159642552384564,0,-2.159642552384564,9.320389821632956,4,-5.320389821632956
Western Carolina,Tahlan Pettway,0,4,0.0,4.002656570337268,0,-4.002656570337268,0,0,0.0,0.0,0,0.0,4.002656570337268,0,-4.002656570337268
Western Carolina,Samuel Dada,0,3,0.0,2.4921952393363886,0,-2.4921952393363886,0,0,0.0,0.0,0,0.0,2.4921952393363886,0,-2.4921952393363886
Western Carolina,Tidjiane Dioumassi,1,4,0.25,4.368143981954406,2,-2.3681439819544057,0,0,0.0,0.0,0,0.0,4.368143981954406,2,-2.3681439819544057
Western Carolina,Abdulai Fanta Kabba,5,6,0.8333333333333334,6.398863148282043,10,3.601136851717957,0,0,0.0,0.0,0,0.0,6.398863148282043,10,3.601136851717957
Western Carolina,Fischer Brown,0,3,0.0,2.839477512569046,0,-2.839477512569046,0,0,0.0,0.0,0,0.0,2.839477512569046,0,-2.839477512569046
Western Carolina,Chase McKey,1,1,1.0,1.0134220899495399,2,0.9865779100504601,0,0,0.0,0.0,0,0.0,1.0134220899495399,2,0.9865779100504601
Western Carolina,Drew Hollifield,0,1,0.0,1.1783350176441882,0,-1.1783350176441882,0,0,0.0,0.0,0,0.0,1.1783350176441882,0,-1.1783350176441882
Duke,Isaiah Evans,1,8,0.125,8.742519606740986,2,-6.742519606740986,5,5,1.0,3.599404253974274,5,1.4005957460257261,12.34192386071526,7,-5.34192386071526
Duke,Cameron Boozer,8,15,0.5333333333333333,15.982036202168933,20,4.017963797831067,5,5,1.0,3.599404253974274,5,1.4005957460257261,19.581440456143206,25,5.418559543856794
Duke,Caleb Foster,4,7,0.5714285714285714,7.419828559427092,9,1.580171440572908,0,0,0.0,0.0,0,0.0,7.419828559427092,9,1.580171440572908
Duke,Maliq Brown,4,4,1.0,4.272330273438322,9,4.727669726561678,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.712091975028032,10,4.287908024971968
Duke,Nikolas Khamenia,2,6,0.3333333333333333,5.903820621314566,6,0.09617937868543436,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,8.06346317369913,8,-0.06346317369913024
Duke,Cayden Boozer,4,8,0.5,7.11988046001567,9,1.8801195399843298,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,12.159046415579652,14,1.8409535844203475
Duke,Patrick Ngongba II,4,6,0.6666666666666666,6.078123116597185,8,1.921876883402815,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.517884818186895,10,2.4821151818131053
Duke,Dame Sarr,0,4,0.0,4.844297084058926,0,-4.844297084058926,2,5,0.4,3.599404253974274,2,-1.5994042539742739,8.4437013380332,2,-6.4437013380332
Duke,Darren Harris,1,1,1.0,0.987052559522434,2,1.012947440477566,3,3,1.0,2.159642552384564,3,0.8403574476154358,3.146695111906998,5,1.8533048880930019
Duke,Cameron Sheffield,0,2,0.0,2.046577233421441,0,-2.046577233421441,0,0,0.0,0.0,0,0.0,2.046577233421441,0,-2.046577233421441
Duke,Jack Scott,1,2,0.5,1.9881726963840287,3,1.0118273036159713,0,0,0.0,0.0,0,0.0,1.9881726963840287,3,1.0118273036159713
Duke,Ifeanyi Ufochukwu,1,1,1.0,1.004952404681162,2,0.995047595318838,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,1.7248332554760166,2,0.2751667445239834
