Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Arkansas,Darius Acuff Jr.,5,16,0.3125,15.91212740720836,12,-3.9121274072083594,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,20.951293362772343,16,-4.951293362772343
Arkansas,Trevon Brazile,1,5,0.2,4.707388562226468,2,-2.707388562226468,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.147150263816178,3,-3.1471502638161777
Arkansas,Billy Richmond III,3,8,0.375,8.453595128338268,7,-1.453595128338268,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.893356829927978,8,-1.8933568299279777
Arkansas,Nick Pringle,2,2,1.0,2.071884716939732,4,1.9281152830602681,2,4,0.5,2.879523403179419,2,-0.879523403179419,4.951408120119151,6,1.0485918798808491
Arkansas,D.J. Wagner,4,6,0.6666666666666666,6.725263906742553,10,3.274736093257447,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.604787309921972,13,3.3952126900780275
Arkansas,Meleek Thomas,5,15,0.3333333333333333,15.01713643966973,12,-3.0171364396697307,4,4,1.0,2.879523403179419,4,1.120476596820581,17.89665984284915,16,-1.8966598428491501
Arkansas,Karter Knox,0,1,0.0,1.1843352770699456,0,-1.1843352770699456,0,0,0.0,0.0,0,0.0,1.1843352770699456,0,-1.1843352770699456
Arkansas,Malique Ewin,2,3,0.6666666666666666,2.5684451775109274,4,1.4315548224890726,0,0,0.0,0.0,0,0.0,2.5684451775109274,4,1.4315548224890726
Michigan State,Jeremy Fears Jr.,0,7,0.0,6.258791566964698,0,-6.258791566964698,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,10.578076671733825,4,-6.578076671733825
Michigan State,Coen Carr,4,7,0.5714285714285714,6.877139539432683,8,1.122860460567317,7,8,0.875,5.759046806358838,7,1.240953193641162,12.636186345791522,15,2.363813654208478
Michigan State,Trey Fort,2,6,0.3333333333333333,6.329516398303435,5,-1.3295163983034346,0,0,0.0,0.0,0,0.0,6.329516398303435,5,-1.3295163983034346
Michigan State,Carson Cooper,3,5,0.6,4.541179436762144,6,1.4588205632378557,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.420702839941564,9,1.5792971600584362
Michigan State,Cam Ward,8,13,0.6153846153846154,13.24926394215069,16,2.750736057849309,2,4,0.5,2.879523403179419,2,-0.879523403179419,16.12878734533011,18,1.8712126546698897
Michigan State,Jaxon Kohler,5,13,0.38461538461538464,11.945663378429254,10,-1.9456633784292539,0,0,0.0,0.0,0,0.0,11.945663378429254,10,-1.9456633784292539
Michigan State,Kur Teng,0,2,0.0,2.3562512058013736,0,-2.3562512058013736,0,0,0.0,0.0,0,0.0,2.3562512058013736,0,-2.3562512058013736
Michigan State,Jesse McCulloch,1,2,0.5,1.8388923831212536,2,0.16110761687874642,0,0,0.0,0.0,0,0.0,1.8388923831212536,2,0.16110761687874642
Michigan State,Jordan Scott,2,4,0.5,4.251508760299277,4,-0.25150876029927716,2,4,0.5,2.879523403179419,2,-0.879523403179419,7.131032163478697,6,-1.1310321634786966
Michigan State,Divine Ugochukwu,0,2,0.0,1.9212071628367626,0,-1.9212071628367626,0,0,0.0,0.0,0,0.0,1.9212071628367626,0,-1.9212071628367626
