Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Weber State,Malek Gomma,6,9,0.6666666666666666,9.069080744305898,12,2.9309192556941017,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,11.228723296690463,14,2.771276703309537
Weber State,Jace Whiting,6,11,0.5454545454545454,10.954862039588074,13,2.0451379604119264,2,5,0.4,3.599404253974274,2,-1.5994042539742739,14.554266293562348,15,0.4457337064376521
Weber State,Nigel Burris,3,7,0.42857142857142855,6.813831220034722,6,-0.8138312200347224,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.253592921624431,7,-1.2535929216244313
Weber State,Tijan Saine,4,11,0.36363636363636365,11.086268929206087,9,-2.0862689292060868,4,4,1.0,2.879523403179419,4,1.120476596820581,13.965792332385506,13,-0.9657923323855062
Weber State,Declan Cutler,1,1,1.0,0.9430285640802888,2,1.0569714359197113,0,0,0.0,0.0,0,0.0,0.9430285640802888,2,1.0569714359197113
Weber State,Trevor Hennig,5,13,0.38461538461538464,12.706576956411654,12,-0.706576956411654,2,4,0.5,2.879523403179419,2,-0.879523403179419,15.586100359591073,14,-1.5861003595910734
Weber State,David Hansen,1,4,0.25,4.282961558114838,3,-1.2829615581148381,0,0,0.0,0.0,0,0.0,4.282961558114838,3,-1.2829615581148381
Weber State,ArDarius Grayson,2,5,0.4,5.039941645573608,4,-1.0399416455736077,0,0,0.0,0.0,0,0.0,5.039941645573608,4,-1.0399416455736077
Weber State,Edwin Suarez Jr.,2,6,0.3333333333333333,5.905971252262068,4,-1.9059712522620682,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.345732953851778,5,-2.345732953851778
Weber State,Viljami Vartiainen,2,5,0.4,4.785911714949009,5,0.2140882850509911,5,8,0.625,5.759046806358838,5,-0.759046806358838,10.544958521307848,10,-0.5449585213078478
Weber State,Bourgeois Tshilobo,1,1,1.0,0.9901358384180627,2,1.0098641615819373,0,0,0.0,0.0,0,0.0,0.9901358384180627,2,1.0098641615819373
Utah,Keanu Dawes,4,7,0.5714285714285714,6.974675220192331,9,2.0253247798076686,2,4,0.5,2.879523403179419,2,-0.879523403179419,9.854198623371751,11,1.145801376628249
Utah,Seydou Traore,0,8,0.0,8.970149821712376,0,-8.970149821712376,0,0,0.0,0.0,0,0.0,8.970149821712376,0,-8.970149821712376
Utah,Don McHenry,8,22,0.36363636363636365,22.693546711854207,20,-2.693546711854207,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,27.73271266741819,26,-1.7327126674181912
Utah,Terrence Brown,13,23,0.5652173913043478,23.65874835380833,26,2.341251646191669,10,15,0.6666666666666666,10.798212761922821,10,-0.7982127619228212,34.456961115731154,36,1.5430388842688458
Utah,Josh Hayes,1,3,0.3333333333333333,2.9810886189255648,2,-0.9810886189255648,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.4208503205152745,4,-0.4208503205152745
Utah,Obomate Abbey,0,1,0.0,0.8912564452854592,0,-0.8912564452854592,0,0,0.0,0.0,0,0.0,0.8912564452854592,0,-0.8912564452854592
Utah,Jacob Patrick,3,5,0.6,5.101893702561387,8,2.8981062974386127,0,0,0.0,0.0,0,0.0,5.101893702561387,8,2.8981062974386127
Utah,Kendyl Sanders,2,6,0.3333333333333333,7.3088167891062525,6,-1.3088167891062525,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,8.748578490695962,6,-2.7485784906959623
Utah,Jahki Howard,0,2,0.0,2.2499531309487706,0,-2.2499531309487706,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.6897148325384803,1,-2.6897148325384803
