Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Columbia,Blair Thompson,4,8,0.5,7.650181748315753,10,2.3498182516842467,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,8.370062599110607,10,1.6299374008893928
Columbia,Kenny Noland,3,11,0.2727272727272727,11.315088750559907,7,-4.315088750559907,1,1,1.0,0.7198808507948548,1,0.28011914920514525,12.034969601354762,8,-4.034969601354762
Columbia,Zine Eddine Bedri,3,9,0.3333333333333333,9.264304257247057,7,-2.2643042572470566,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.704065958836766,9,-1.7040659588367664
Columbia,Avery Brown,0,2,0.0,2.0661287810788616,0,-2.0661287810788616,0,0,0.0,0.0,0,0.0,2.0661287810788616,0,-2.0661287810788616
Columbia,Miles Franklin,5,8,0.625,7.7351146195993055,10,2.2648853804006945,0,0,0.0,0.0,0,0.0,7.7351146195993055,10,2.2648853804006945
Columbia,Ryan Soulis,1,3,0.3333333333333333,2.9474052468286986,2,-0.9474052468286986,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.387166948418408,3,-1.3871669484184084
Columbia,Richard Nweke,0,1,0.0,0.8166057208592482,0,-0.8166057208592482,0,0,0.0,0.0,0,0.0,0.8166057208592482,0,-0.8166057208592482
Columbia,Gerard O'Keefe,1,7,0.14285714285714285,6.614207134551519,3,-3.6142071345515188,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.493730537730938,6,-3.4937305377309382
Columbia,Mason Ritter,1,3,0.3333333333333333,3.0471622385872754,2,-1.0471622385872754,0,0,0.0,0.0,0,0.0,3.0471622385872754,2,-1.0471622385872754
Columbia,Connor Igoe,2,3,0.6666666666666666,2.8229320075170645,4,1.1770679924829355,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,7.142217112286193,9,1.8577828877138067
Columbia,Josiah Cunningham,1,1,1.0,1.0535001390728422,2,0.9464998609271578,0,0,0.0,0.0,0,0.0,1.0535001390728422,2,0.9464998609271578
Columbia,Hampton Sanders,0,0,0.0,0.0,0,0.0,3,4,0.75,2.879523403179419,3,0.12047659682058098,2.879523403179419,3,0.12047659682058098
UConn,Solo Ball,7,15,0.4666666666666667,15.302545816529658,17,1.6974541834703416,6,8,0.75,5.759046806358838,6,0.24095319364116197,21.061592622888497,23,1.9384073771115027
UConn,Alex Karaban,7,11,0.6363636363636364,11.044665475140455,16,4.955334524859545,4,5,0.8,3.599404253974274,4,0.4005957460257261,14.64406972911473,20,5.3559302708852705
UConn,Tarris Reed Jr.,6,9,0.6666666666666666,8.957127424174153,12,3.0428725758258466,7,10,0.7,7.198808507948548,7,-0.19880850794854776,16.155935932122702,19,2.844064067877298
UConn,Silas Demary Jr.,2,4,0.5,3.7969661042013483,4,0.20303389579865172,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,5.956608656585912,5,-0.956608656585912
UConn,Eric Reibe,2,4,0.5,4.186141729635764,4,-0.18614172963576436,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,4.906022580430619,4,-0.9060225804306192
UConn,Malachi Smith,2,4,0.5,3.599986278029931,5,1.400013721970069,0,0,0.0,0.0,0,0.0,3.599986278029931,5,1.400013721970069
UConn,Jayden Ross,3,3,1.0,3.150049472303485,9,5.849950527696516,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.589811173893194,10,5.410188826106806
UConn,Jaylin Stewart,1,3,0.3333333333333333,2.850644619204468,3,0.1493553807955319,0,0,0.0,0.0,0,0.0,2.850644619204468,3,0.1493553807955319
