Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Iona,Kosy Akametu,8,15,0.5333333333333333,15.135136850236746,19,3.864863149763254,3,3,1.0,2.159642552384564,3,0.8403574476154358,17.29477940262131,22,4.705220597378691
Iona,Lamin Sabally,6,10,0.6,9.818961539773863,12,2.1810384602261372,3,5,0.6,3.599404253974274,3,-0.5994042539742739,13.418365793748137,15,1.581634206251863
Iona,Denver Anglin,2,8,0.25,7.6589737619886575,5,-2.6589737619886575,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.098735463578366,7,-2.0987354635783664
Iona,Toby Harris,7,10,0.7,10.897880812468562,20,9.102119187531438,0,0,0.0,0.0,0,0.0,10.897880812468562,20,9.102119187531438
Iona,CJ Anthony,3,7,0.42857142857142855,7.606631149791625,6,-1.6066311497916246,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,9.76627370217619,7,-2.766273702176189
Iona,Alliou Fall,2,3,0.6666666666666666,3.1403901470160775,4,0.8596098529839225,0,0,0.0,0.0,0,0.0,3.1403901470160775,4,0.8596098529839225
Iona,Khalil Badru,2,4,0.5,3.3850068415229693,4,0.6149931584770307,0,0,0.0,0.0,0,0.0,3.3850068415229693,4,0.6149931584770307
Iona,Keshawn Williams,9,13,0.6923076923076923,11.696068964966836,20,8.303931035033164,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,12.41594981576169,20,7.5840501842383095
Iona,Chase Cormier,1,1,1.0,1.113468466528904,3,1.886531533471096,0,0,0.0,0.0,0,0.0,1.113468466528904,3,1.886531533471096
Iona,Luke Jungers,1,1,1.0,1.017525659677516,3,1.982474340322484,0,0,0.0,0.0,0,0.0,1.017525659677516,3,1.982474340322484
Kansas City,Karmello Branch,3,12,0.25,11.480980870349898,7,-4.480980870349898,0,0,0.0,0.0,0,0.0,11.480980870349898,7,-4.480980870349898
Kansas City,Jerome Palm,5,7,0.7142857142857143,6.844387458798655,10,3.1556125412013447,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.284149160388365,11,2.715850839611635
Kansas City,CJ Evans,10,14,0.7142857142857143,12.599597094713388,20,7.400402905286612,3,5,0.6,3.599404253974274,3,-0.5994042539742739,16.199001348687663,23,6.800998651312337
Kansas City,Chris Dockery,1,4,0.25,4.165448558000401,2,-2.165448558000401,0,0,0.0,0.0,0,0.0,4.165448558000401,2,-2.165448558000401
Kansas City,Jayson Petty,7,15,0.4666666666666667,15.534001892061658,16,0.46599810793834173,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,17.69364444444622,18,0.3063555555537789
Kansas City,Kernan Bundy,2,7,0.2857142857142857,7.0959824970780225,5,-2.0959824970780225,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,9.255625049462587,6,-3.255625049462587
Kansas City,Kasheem Grady II,4,7,0.5714285714285714,6.549856994499182,8,1.4501430055008182,6,6,1.0,4.319285104769128,6,1.6807148952308717,10.86914209926831,14,3.130857900731691
Kansas City,Jamaria Clark,2,5,0.4,4.682425292890491,4,-0.6824252928904908,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.1221869944802005,6,-0.12218699448020054
Kansas City,Addarin Scott,1,1,1.0,1.0134220899495399,2,0.9865779100504601,0,0,0.0,0.0,0,0.0,1.0134220899495399,2,0.9865779100504601
Kansas City,Trey Booker-Lowery,1,2,0.5,1.7208621487960887,2,0.2791378512039113,0,0,0.0,0.0,0,0.0,1.7208621487960887,2,0.2791378512039113
