Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Eastern Illinois,Kooper Jacobi,8,16,0.5,17.036961543651536,20,2.963038456348464,0,0,0.0,0.0,0,0.0,17.036961543651536,20,2.963038456348464
Eastern Illinois,Preston Turner,4,9,0.4444444444444444,9.177045730215726,8,-1.1770457302157258,6,6,1.0,4.319285104769128,6,1.6807148952308717,13.496330834984853,14,0.5036691650151468
Eastern Illinois,Zion Fruster,4,14,0.2857142857142857,12.567482567343308,8,-4.567482567343308,3,4,0.75,2.879523403179419,3,0.12047659682058098,15.447005970522728,11,-4.447005970522728
Eastern Illinois,Prince Johnson,1,3,0.3333333333333333,2.7379926631627938,2,-0.7379926631627938,0,0,0.0,0.0,0,0.0,2.7379926631627938,2,-0.7379926631627938
Eastern Illinois,Andrew Austin,0,3,0.0,2.8230815950520975,0,-2.8230815950520975,0,0,0.0,0.0,0,0.0,2.8230815950520975,0,-2.8230815950520975
Eastern Illinois,Terry McMorris,1,5,0.2,4.048315401266776,2,-2.048315401266776,0,0,0.0,0.0,0,0.0,4.048315401266776,2,-2.048315401266776
Eastern Illinois,Markus Blackwell,1,2,0.5,2.329083423731609,3,0.6709165762683909,0,0,0.0,0.0,0,0.0,2.329083423731609,3,0.6709165762683909
Eastern Illinois,Meechie White,2,2,1.0,1.9091497137259077,5,3.090850286274092,0,0,0.0,0.0,0,0.0,1.9091497137259077,5,3.090850286274092
Eastern Illinois,Malik Olafioye,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,1.4397617015897095,1,-0.4397617015897095
Notre Dame,Sir Mohammed,2,6,0.3333333333333333,6.062246488815102,4,-2.062246488815102,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,6.782127339609957,4,-2.782127339609957
Notre Dame,Markus Burton,8,19,0.42105263157894735,17.899490192507876,17,-0.8994901925078764,4,4,1.0,2.879523403179419,4,1.120476596820581,20.779013595687296,21,0.2209864043127041
Notre Dame,Braeden Shrewsberry,6,9,0.6666666666666666,8.26078578589495,18,9.73921421410505,0,0,0.0,0.0,0,0.0,8.26078578589495,18,9.73921421410505
Notre Dame,Carson Towt,2,6,0.3333333333333333,5.878464717806447,4,-1.8784647178064473,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.318226419396157,5,-2.318226419396157
Notre Dame,Kebba Njie,1,1,1.0,1.0535001390728422,2,0.9464998609271578,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.4932618406625515,3,0.5067381593374485
Notre Dame,Jalen Haralson,6,6,1.0,6.135558070965063,12,5.864441929034937,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,10.45484317573419,17,6.54515682426581
Notre Dame,Cole Certa,0,3,0.0,3.132670021587337,0,-3.132670021587337,0,0,0.0,0.0,0,0.0,3.132670021587337,0,-3.132670021587337
Notre Dame,Logan Imes,2,7,0.2857142857142857,7.2357270280759955,5,-2.2357270280759955,0,0,0.0,0.0,0,0.0,7.2357270280759955,5,-2.2357270280759955
Notre Dame,Ryder Frost,0,1,0.0,0.6755899094184207,0,-0.6755899094184207,0,0,0.0,0.0,0,0.0,0.6755899094184207,0,-0.6755899094184207
Notre Dame,Garrett Sundra,2,2,1.0,1.7995849511154152,5,3.200415048884585,0,0,0.0,0.0,0,0.0,1.7995849511154152,5,3.200415048884585
