Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Florida A&M,Antonio Baker Jr.,2,8,0.25,7.595530543667261,4,-3.5955305436672607,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,9.755173096051825,6,-3.7551730960518253
Florida A&M,Jaquan Sanders,2,6,0.3333333333333333,5.455434678722643,4,-1.4554346787226429,1,1,1.0,0.7198808507948548,1,0.28011914920514525,6.175315529517498,5,-1.1753155295174977
Florida A&M,Tyler Shirley,1,4,0.25,3.874340880239145,3,-0.8743408802391448,0,0,0.0,0.0,0,0.0,3.874340880239145,3,-0.8743408802391448
Florida A&M,Anquan Boldin Jr,1,7,0.14285714285714285,6.3939332173780175,2,-4.3939332173780175,2,4,0.5,2.879523403179419,2,-0.879523403179419,9.273456620557436,4,-5.273456620557436
Florida A&M,Devere Palmer Jr,2,4,0.5,3.899859099249654,4,0.10014090075034598,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,8.939025054813637,9,0.06097494518636282
Florida A&M,Kaleb Washington,1,4,0.25,3.6444487392779257,2,-1.6444487392779257,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,5.084210440867635,2,-3.0842104408676354
Florida A&M,Miles Ndalama,4,6,0.6666666666666666,6.033620815311524,8,1.966379184688476,0,3,0.0,2.159642552384564,0,-2.159642552384564,8.193263367696089,8,-0.19326336769608865
Florida A&M,Jordan Chatman,1,4,0.25,3.71400910042649,3,-0.7140091004264901,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.1537708020162,5,-0.15377080201619986
Florida A&M,Lenard Taylor Jr.,1,2,0.5,2.155314477414226,2,-0.1553144774142261,0,0,0.0,0.0,0,0.0,2.155314477414226,2,-0.1553144774142261
Florida A&M,Anthony Knowles,4,8,0.5,8.19051279110686,12,3.80948720889314,0,0,0.0,0.0,0,0.0,8.19051279110686,12,3.80948720889314
Florida A&M,Amir Rahman,2,2,1.0,2.1208582765262065,4,1.8791417234737935,0,0,0.0,0.0,0,0.0,2.1208582765262065,4,1.8791417234737935
UCF,Themus Fulks,3,9,0.3333333333333333,8.696115542723655,6,-2.696115542723655,0,0,0.0,0.0,0,0.0,8.696115542723655,6,-2.696115542723655
UCF,John Bol,4,5,0.8,4.862780631086825,8,3.1372193689131747,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.58266148188168,9,3.41733851811832
UCF,Jamichael Stillwell,2,4,0.5,4.074611808791442,5,0.9253881912085582,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.5143735103811515,6,0.48562648961884847
UCF,Riley Kugel,6,10,0.6,9.037965822454915,15,5.962034177545085,1,1,1.0,0.7198808507948548,1,0.28011914920514525,9.75784667324977,16,6.2421533267502305
UCF,Jeremy Foumena,2,3,0.6666666666666666,2.649109620732708,4,1.350890379267292,2,4,0.5,2.879523403179419,2,-0.879523403179419,5.528633023912127,6,0.47136697608787337
UCF,Devan Cambridge,3,3,1.0,3.286396583751048,7,3.713603416248952,1,1,1.0,0.7198808507948548,1,0.28011914920514525,4.006277434545902,8,3.9937225654540978
UCF,Carmelo Pacheco,5,7,0.7142857142857143,7.465124746434291,15,7.534875253565709,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.904886448024,17,8.095113551976
UCF,Chris Johnson,1,4,0.25,4.101351532558505,2,-2.101351532558505,1,1,1.0,0.7198808507948548,1,0.28011914920514525,4.82123238335336,3,-1.82123238335336
UCF,George Beale Jr.,4,7,0.5714285714285714,6.927346557002949,10,3.0726534429970513,0,0,0.0,0.0,0,0.0,6.927346557002949,10,3.0726534429970513
UCF,Kris Parker,2,3,0.6666666666666666,3.1819330751647135,5,1.8180669248352865,0,0,0.0,0.0,0,0.0,3.1819330751647135,5,1.8180669248352865
UCF,Jordan Burks,3,8,0.375,8.284814109432938,6,-2.284814109432938,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.164337512612358,9,-2.1643375126123576
UCF,Poohpha Warakulnukroh,1,3,0.3333333333333333,2.4223851395726226,2,-0.4223851395726226,0,0,0.0,0.0,0,0.0,2.4223851395726226,2,-0.4223851395726226
