Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Kentucky,Collin Chandler,4,7,0.5714285714285714,7.635908576807511,12,4.364091423192489,0,0,0.0,0.0,0,0.0,7.635908576807511,12,4.364091423192489
Kentucky,Brandon Garrison,1,2,0.5,1.7551147286510265,2,0.24488527134897353,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.194876430240736,3,-0.1948764302407362
Kentucky,Otega Oweh,4,13,0.3076923076923077,13.219218041184801,9,-4.219218041184801,3,4,0.75,2.879523403179419,3,0.12047659682058098,16.09874144436422,12,-4.098741444364219
Kentucky,Mouhamed Dioubate,3,6,0.5,6.286988917594878,6,-0.2869889175948783,1,1,1.0,0.7198808507948548,1,0.28011914920514525,7.006869768389733,7,-0.0068697683897331885
Kentucky,Denzel Aberdeen,10,20,0.5,20.011954783101793,24,3.9880452168982075,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,22.171597335486357,26,3.828402664513643
Kentucky,Malachi Moreno,3,3,1.0,2.9977928279032398,6,3.0022071720967602,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.4375545294929495,8,3.5624454705070505
Kentucky,Andrija Jelavić,3,3,1.0,3.1386070494382077,6,2.8613929505617923,0,0,0.0,0.0,0,0.0,3.1386070494382077,6,2.8613929505617923
Kentucky,Jasper Johnson,0,4,0.0,4.3908232231497415,0,-4.3908232231497415,0,0,0.0,0.0,0,0.0,4.3908232231497415,0,-4.3908232231497415
Kentucky,Jaland Lowe,2,8,0.25,7.792947701002512,6,-1.7929477010025119,3,4,0.75,2.879523403179419,3,0.12047659682058098,10.67247110418193,9,-1.6724711041819305
Kentucky,Kam Williams,2,2,1.0,1.761473180105843,5,3.2385268198941572,0,0,0.0,0.0,0,0.0,1.761473180105843,5,3.2385268198941572
Louisville,Ryan Conwell,6,16,0.375,16.306736478027254,16,-0.3067364780272541,8,12,0.6666666666666666,8.638570209538257,8,-0.6385702095382566,24.945306687565513,24,-0.9453066875655125
Louisville,Isaac McKneely,3,8,0.375,8.875225561223607,9,0.12477443877639338,0,0,0.0,0.0,0,0.0,8.875225561223607,9,0.12477443877639338
Louisville,Mikel Brown Jr.,8,16,0.5,16.108422546134683,19,2.8915774538653167,10,11,0.9090909090909091,7.918689358743403,10,2.0813106412565974,24.027111904878087,29,4.972888095121913
Louisville,Adrian Wooley,3,11,0.2727272727272727,10.567789382928114,8,-2.5677893829281135,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,12.007551084517823,9,-3.0075510845178233
Louisville,Aly Khalifa,2,4,0.5,4.080523947882643,4,-0.08052394788264294,0,0,0.0,0.0,0,0.0,4.080523947882643,4,-0.08052394788264294
Louisville,J'Vonne Hadley,4,6,0.6666666666666666,5.93822302010954,9,3.0617769798904604,0,4,0.0,2.879523403179419,0,-2.879523403179419,8.817746423288959,9,0.18225357671104092
Louisville,Sananda Fru,4,4,1.0,4.245648176887317,8,3.7543518231126827,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.685409878477027,10,4.314590121522973
Louisville,Kobe Rodgers,1,3,0.3333333333333333,3.0066714523031726,2,-1.0066714523031726,0,0,0.0,0.0,0,0.0,3.0066714523031726,2,-1.0066714523031726
Louisville,Khani Rooths,0,1,0.0,1.0357367569709441,0,-1.0357367569709441,0,0,0.0,0.0,0,0.0,1.0357367569709441,0,-1.0357367569709441
