Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Milwaukee,Esyah Pippa-White,2,5,0.4,4.557818350592711,5,0.44218164940728943,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,5.99758005218242,5,-0.9975800521824203
Milwaukee,Danilo Jovanovich,8,11,0.7272727272727273,9.659590939087456,16,6.340409060912544,2,4,0.5,2.879523403179419,2,-0.879523403179419,12.539114342266876,18,5.460885657733124
Milwaukee,Faizon Fields,1,1,1.0,1.125764614752841,2,0.8742353852471589,2,6,0.3333333333333333,4.319285104769128,2,-2.3192851047691283,5.445049719521969,4,-1.4450497195219691
Milwaukee,Seth Hubbard,8,18,0.4444444444444444,15.575175259403952,16,0.4248247405960477,1,4,0.25,2.879523403179419,1,-1.879523403179419,18.45469866258337,17,-1.4546986625833718
Milwaukee,Stevie Elam,0,4,0.0,3.522500195081248,0,-3.522500195081248,0,0,0.0,0.0,0,0.0,3.522500195081248,0,-3.522500195081248
Milwaukee,Amar Augillard,5,12,0.4166666666666667,11.496986505335558,13,1.503013494664442,1,1,1.0,0.7198808507948548,1,0.28011914920514525,12.216867356130413,14,1.7831326438695871
Milwaukee,Aaron Franklin,1,4,0.25,3.977106151608707,2,-1.977106151608707,0,0,0.0,0.0,0,0.0,3.977106151608707,2,-1.977106151608707
Milwaukee,Josh Dixon,3,6,0.5,5.25887366385964,7,1.7411263361403604,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.9787545146544945,8,2.0212454853455055
Milwaukee,Sekou Konneh,1,1,1.0,0.8772666356533273,2,1.1227333643466726,0,0,0.0,0.0,0,0.0,0.8772666356533273,2,1.1227333643466726
Indiana,Lamar Wilkerson,7,12,0.5833333333333334,11.213269019686681,19,7.786730980313319,5,8,0.625,5.759046806358838,5,-0.759046806358838,16.97231582604552,24,7.02768417395448
Indiana,Tucker DeVries,4,10,0.4,10.216369205174567,10,-0.21636920517456737,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.656130906764277,12,0.3438690932357229
Indiana,Tayton Conerway,8,11,0.7272727272727273,10.651204313566275,17,6.348795686433725,4,4,1.0,2.879523403179419,4,1.120476596820581,13.530727716745695,21,7.4692722832543055
Indiana,Reed Bailey,4,6,0.6666666666666666,6.119967284842851,9,2.8800327151571494,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,10.43925238961198,14,3.5607476103880202
Indiana,Trent Sisley,2,3,0.6666666666666666,3.474456197882186,6,2.525543802117814,0,0,0.0,0.0,0,0.0,3.474456197882186,6,2.525543802117814
Indiana,Conor Enright,2,5,0.4,4.437947047169207,5,0.5620529528307934,0,0,0.0,0.0,0,0.0,4.437947047169207,5,0.5620529528307934
Indiana,Nick Dorn,3,6,0.5,6.124223642665256,7,0.8757763573347441,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.563985344254966,8,0.4360146557450344
Indiana,Jasai Miles,2,4,0.5,4.170555317596746,5,0.8294446824032544,1,4,0.25,2.879523403179419,1,-1.879523403179419,7.050078720776165,6,-1.050078720776165
Indiana,Sam Alexis,1,2,0.5,2.129370490114538,2,-0.12937049011453805,1,1,1.0,0.7198808507948548,1,0.28011914920514525,2.849251340909393,3,0.15074865909060708
Indiana,Ian Stephens,1,1,1.0,1.0524770982450606,2,0.9475229017549394,0,0,0.0,0.0,0,0.0,1.0524770982450606,2,0.9475229017549394
