Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UNC Greensboro,Donald Whitehead Jr.,6,14,0.42857142857142855,13.84785922527642,16,2.1521407747235806,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,18.887025180840403,21,2.1129748191595965
UNC Greensboro,KJ Younger,1,6,0.16666666666666666,5.38645488668882,2,-3.3864548866888198,5,13,0.38461538461538464,9.358451060333111,5,-4.3584510603331115,14.74490594702193,7,-7.74490594702193
UNC Greensboro,Lilian Marville,3,9,0.3333333333333333,7.798886253350023,7,-0.7988862533500232,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.238647954939733,9,-0.2386479549397329
UNC Greensboro,Justin Neely,1,3,0.3333333333333333,2.8063945996139488,2,-0.8063945996139488,7,8,0.875,5.759046806358838,7,1.240953193641162,8.565441405972788,9,0.4345585940272123
UNC Greensboro,Clinton Efinda,0,3,0.0,3.134803826197147,0,-3.134803826197147,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.574565527786857,2,-2.5745655277868567
UNC Greensboro,Valentino Pinedo,0,2,0.0,1.7382904633092155,0,-1.7382904633092155,1,4,0.25,2.879523403179419,1,-1.879523403179419,4.617813866488635,1,-3.6178138664886346
UNC Greensboro,Noah Norgaard,1,3,0.3333333333333333,3.1477241617245797,3,-0.1477241617245797,4,5,0.8,3.599404253974274,4,0.4005957460257261,6.747128415698853,7,0.25287158430114687
UNC Greensboro,Landon King,1,2,0.5,2.2889041637259027,3,0.7110958362740973,0,0,0.0,0.0,0,0.0,2.2889041637259027,3,0.7110958362740973
UNC Greensboro,Assane Mandian,1,4,0.25,4.031478774102391,3,-1.031478774102391,0,0,0.0,0.0,0,0.0,4.031478774102391,3,-1.031478774102391
UNC Greensboro,Antwann Jones,1,1,1.0,1.0436836574253707,2,0.9563163425746293,0,0,0.0,0.0,0,0.0,1.0436836574253707,2,0.9563163425746293
NC State,Darrion Williams,12,19,0.631578947368421,17.340064431215467,30,12.659935568784533,2,2,1.0,1.4397617015897095,2,0.5602382984102905,18.779826132805177,32,13.220173867194823
NC State,Paul McNeil,8,16,0.5,15.85885755590673,22,6.141142444093269,5,5,1.0,3.599404253974274,5,1.4005957460257261,19.458261809881005,27,7.541738190118995
NC State,Ven-Allen Lubin,1,2,0.5,1.6372457318462983,2,0.3627542681537017,4,5,0.8,3.599404253974274,4,0.4005957460257261,5.236649985820572,6,0.7633500141794283
NC State,Matt Able,3,9,0.3333333333333333,8.892578711257169,8,-0.892578711257169,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.332340412846879,10,-0.33234041284687876
NC State,Quadir Copeland,5,7,0.7142857142857143,6.945170523531856,11,4.054829476468144,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.384932225121565,13,4.615067774878435
NC State,Alyn Breed,1,1,1.0,1.014282074125491,2,0.985717925874509,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,3.173924626510055,4,0.8260753734899451
NC State,Jerry Deng,4,9,0.4444444444444444,9.287203568388682,9,-0.2872035683886818,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,10.007084419183537,9,-1.0070844191835366
NC State,Musa Sagnia,3,4,0.75,3.785479687651941,6,2.214520312348059,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,4.505360538446796,6,1.494639461553204
NC State,Scottie Ebube,1,1,1.0,1.1102827113432856,2,0.8897172886567144,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.550044412932995,3,0.4499555870670049
