Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Weber State,Viljami Vartiainen,2,10,0.2,9.434626146316754,6,-3.434626146316754,0,0,0.0,0.0,0,0.0,9.434626146316754,6,-3.434626146316754
Weber State,Trevor Hennig,7,14,0.5,13.377181715777477,16,2.6228182842225234,3,6,0.5,4.319285104769128,3,-1.3192851047691283,17.696466820546604,19,1.303533179453396
Weber State,Malek Gomma,0,1,0.0,1.0309479312469736,0,-1.0309479312469736,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.470709632836683,1,-1.4707096328366829
Weber State,Edwin Suarez Jr.,2,5,0.4,4.807105718136062,4,-0.8071057181360617,3,5,0.6,3.599404253974274,3,-0.5994042539742739,8.406509972110335,7,-1.4065099721103351
Weber State,Nigel Burris,4,7,0.5714285714285714,7.255894865327159,8,0.7441051346728411,7,7,1.0,5.039165955563983,7,1.9608340444360168,12.295060820891141,15,2.704939179108859
Weber State,Jace Whiting,3,6,0.5,6.764318991407325,8,1.2356810085926746,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.204080692997035,10,1.7959193070029649
Weber State,David Hansen,2,5,0.4,5.0110947931990415,6,0.9889052068009585,4,4,1.0,2.879523403179419,4,1.120476596820581,7.89061819637846,10,2.10938180362154
Weber State,Tijan Saine,1,8,0.125,8.206305096403582,2,-6.206305096403582,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.646066797993292,3,-6.646066797993292
Weber State,ArDarius Grayson,1,1,1.0,1.0901306055569142,2,0.9098693944430858,0,0,0.0,0.0,0,0.0,1.0901306055569142,2,0.9098693944430858
Utah State,MJ Collins Jr.,3,9,0.3333333333333333,9.128145021019268,7,-2.128145021019268,0,0,0.0,0.0,0,0.0,9.128145021019268,7,-2.128145021019268
Utah State,Karson Templin,7,14,0.5,13.073091590286309,14,0.9269084097136915,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.512853291876018,16,1.4871467081239818
Utah State,Mason Falslev,3,11,0.2727272727272727,10.523830487260312,6,-4.523830487260312,4,4,1.0,2.879523403179419,4,1.120476596820581,13.403353890439732,10,-3.403353890439732
Utah State,Drake Allen,0,0,0.0,0.0,0,0.0,3,4,0.75,2.879523403179419,3,0.12047659682058098,2.879523403179419,3,0.12047659682058098
Utah State,Garry Clark,5,5,1.0,4.676698208021982,10,5.323301791978018,3,5,0.6,3.599404253974274,3,-0.5994042539742739,8.276102461996256,13,4.723897538003744
Utah State,Kolby King,5,11,0.45454545454545453,11.060701773844345,11,-0.06070177384434494,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,15.379986878613472,15,-0.37998687861347236
Utah State,Tucker Anderson,2,7,0.2857142857142857,7.166190594449726,5,-2.166190594449726,4,4,1.0,2.879523403179419,4,1.120476596820581,10.045713997629145,9,-1.0457139976291447
Utah State,Elijah Perryman,2,3,0.6666666666666666,3.060857738592298,4,0.9391422614077021,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.500619440182008,6,1.4993805598179923
Utah State,Adlan Elamin,0,0,0.0,0.0,0,0.0,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,1.4397617015897095,0,-1.4397617015897095
Utah State,Jordy Barnes,0,1,0.0,0.885408975085874,0,-0.885408975085874,0,0,0.0,0.0,0,0.0,0.885408975085874,0,-0.885408975085874
Utah State,Zach Keller,2,3,0.6666666666666666,2.6563369546329576,4,1.3436630453670424,0,0,0.0,0.0,0,0.0,2.6563369546329576,4,1.3436630453670424
