Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
IU Indianapolis,Matt Compas,3,4,0.75,4.132072765293329,7,2.867927234706671,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.571834466883039,8,2.428165533116961
IU Indianapolis,Reece Hagy,2,5,0.4,5.263884131426785,4,-1.263884131426785,0,0,0.0,0.0,0,0.0,5.263884131426785,4,-1.263884131426785
IU Indianapolis,Finley Woodward,5,9,0.5555555555555556,8.94733927786557,10,1.05266072213443,0,0,0.0,0.0,0,0.0,8.94733927786557,10,1.05266072213443
IU Indianapolis,Jaxon Edwards,2,4,0.5,4.308459531927663,4,-0.30845953192766284,0,0,0.0,0.0,0,0.0,4.308459531927663,4,-0.30845953192766284
IU Indianapolis,Aiden Miller,2,4,0.5,3.8394092645782205,6,2.1605907354217795,0,0,0.0,0.0,0,0.0,3.8394092645782205,6,2.1605907354217795
IU Indianapolis,Micah Davis,6,11,0.5454545454545454,11.244334886381612,14,2.755665113618388,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.684096587971322,16,3.3159034120286783
IU Indianapolis,Kyler D'Augustino,7,12,0.5833333333333334,12.698404171850287,14,1.301595828149713,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,14.858046724234852,16,1.1419532757651485
IU Indianapolis,Maguire Mitchell,7,12,0.5833333333333334,13.447810511797677,18,4.552189488202323,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,14.887572213387386,19,4.1124277866126135
IU Indianapolis,JP Dragas,0,1,0.0,1.166660004246284,0,-1.166660004246284,4,4,1.0,2.879523403179419,4,1.120476596820581,4.046183407425703,4,-0.04618340742570304
IU Indianapolis,Kameron Tinsley,1,2,0.5,2.2372203741012635,3,0.7627796258987365,0,0,0.0,0.0,0,0.0,2.2372203741012635,3,0.7627796258987365
Eastern Michigan,Carlos Hart,2,12,0.16666666666666666,13.357953699430432,6,-7.357953699430432,3,4,0.75,2.879523403179419,3,0.12047659682058098,16.23747710260985,9,-7.237477102609851
Eastern Michigan,Mohammad Habhab,7,15,0.4666666666666667,14.726247206249047,14,-0.726247206249047,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,16.166008907838755,15,-1.166008907838755
Eastern Michigan,Godslove Nwabude,4,6,0.6666666666666666,6.189629695435388,8,1.8103703045646116,0,0,0.0,0.0,0,0.0,6.189629695435388,8,1.8103703045646116
Eastern Michigan,Jon Sanders II,5,11,0.45454545454545453,11.246247937597467,11,-0.24624793759746666,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,15.565533042366596,16,0.43446695763340415
Eastern Michigan,Addison Patterson,8,10,0.8,10.845601634586853,20,9.154398365413147,3,5,0.6,3.599404253974274,3,-0.5994042539742739,14.445005888561127,23,8.554994111438873
Eastern Michigan,Merritt Alderink,2,6,0.3333333333333333,6.462923208714362,4,-2.462923208714362,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.902684910304072,6,-1.902684910304072
Eastern Michigan,Braelon Green,0,4,0.0,3.9753082087404317,0,-3.9753082087404317,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.415069910330141,2,-3.415069910330141
Eastern Michigan,Mak Manciel,2,5,0.4,5.823650626280434,4,-1.8236506262804344,0,0,0.0,0.0,0,0.0,5.823650626280434,4,-1.8236506262804344
Eastern Michigan,Mehki Ellison,0,2,0.0,1.937764018135352,0,-1.937764018135352,0,0,0.0,0.0,0,0.0,1.937764018135352,0,-1.937764018135352
Eastern Michigan,Aidan Rubio,0,2,0.0,2.2675147985933295,0,-2.2675147985933295,0,0,0.0,0.0,0,0.0,2.2675147985933295,0,-2.2675147985933295
