Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Arkansas-Pine Bluff,Quion Williams,6,14,0.42857142857142855,12.102794657195165,12,-0.10279465719516523,8,10,0.8,7.198808507948548,8,0.8011914920514522,19.301603165143714,20,0.6983968348562861
Arkansas-Pine Bluff,Trevon Payton,7,11,0.6363636363636364,8.93128899642532,19,10.06871100357468,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.810812399604739,22,10.189187600395261
Arkansas-Pine Bluff,Ahmad Johnson,2,3,0.6666666666666666,2.8585148459115777,5,2.1414851540884223,0,0,0.0,0.0,0,0.0,2.8585148459115777,5,2.1414851540884223
Arkansas-Pine Bluff,Jaquan Scott,2,8,0.25,6.521676005763886,5,-1.5216760057638856,0,0,0.0,0.0,0,0.0,6.521676005763886,5,-1.5216760057638856
Arkansas-Pine Bluff,Milhan Charles,2,10,0.2,8.434567376115144,4,-4.434567376115144,2,4,0.5,2.879523403179419,2,-0.879523403179419,11.314090779294563,6,-5.314090779294563
Arkansas-Pine Bluff,Alex Mirhosseini,1,5,0.2,4.279666550397739,3,-1.2796665503977387,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.719428251987448,5,-0.7194282519874484
Arkansas-Pine Bluff,Jaichaunn Hayes,2,3,0.6666666666666666,3.307397590915561,5,1.6926024090844392,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.747159292505271,6,1.2528407074947294
Arkansas-Pine Bluff,Kyle Brown,1,2,0.5,1.5536379405329326,3,1.4463620594670674,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.9933996421226423,5,2.0066003578773577
Arkansas-Pine Bluff,Dennis Asoro,0,1,0.0,0.812810640272993,0,-0.812810640272993,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.2525723418627024,1,-1.2525723418627024
Vanderbilt,AK Okereke,3,7,0.42857142857142855,6.045948328665902,7,0.9540516713340983,7,8,0.875,5.759046806358838,7,1.240953193641162,11.80499513502474,14,2.1950048649752603
Vanderbilt,Tyler Tanner,4,11,0.36363636363636365,8.953092555447899,8,-0.9530925554478991,4,5,0.8,3.599404253974274,4,0.4005957460257261,12.552496809422173,12,-0.5524968094221734
Vanderbilt,Tyler Nickel,3,9,0.3333333333333333,8.597872690774032,9,0.4021273092259676,2,4,0.5,2.879523403179419,2,-0.879523403179419,11.477396093953452,11,-0.47739609395345184
Vanderbilt,Devin McGlockton,8,10,0.8,9.140747411206638,17,7.859252588793362,0,0,0.0,0.0,0,0.0,9.140747411206638,17,7.859252588793362
Vanderbilt,Duke Miles,6,13,0.46153846153846156,11.629061295014386,14,2.3709387049856137,6,9,0.6666666666666666,6.478927657153693,6,-0.4789276571536929,18.10798895216808,20,1.8920110478319216
Vanderbilt,Jalen Washington,1,3,0.3333333333333333,2.650697254553747,2,-0.650697254553747,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.090458956143457,4,-0.09045895614345678
Vanderbilt,Tyler Harris,4,10,0.4,8.999904324870869,11,2.0000956751291312,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.439666026460579,13,2.5603339735394215
Vanderbilt,Chandler Bing,3,6,0.5,5.905854163842744,6,0.09414583615725558,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,8.065496716227308,8,-0.06549671622730813
Vanderbilt,Mike James,2,2,1.0,1.7204751436656633,5,3.2795248563343367,0,0,0.0,0.0,0,0.0,1.7204751436656633,5,3.2795248563343367
