Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Detroit Mercy,TJ Nadeau,6,10,0.6,9.767956783257493,15,5.2320432167425075,0,0,0.0,0.0,0,0.0,9.767956783257493,15,5.2320432167425075
Detroit Mercy,Tyler Spratt,3,10,0.3,9.701206370601398,6,-3.7012063706013976,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.140968072191107,8,-3.1409680721911073
Detroit Mercy,Nate Johnson,1,6,0.16666666666666666,5.95715901144201,2,-3.95715901144201,0,0,0.0,0.0,0,0.0,5.95715901144201,2,-3.95715901144201
Detroit Mercy,Legend Geeter,1,3,0.3333333333333333,3.2204287502010027,2,-1.2204287502010027,1,4,0.25,2.879523403179419,1,-1.879523403179419,6.099952153380421,3,-3.0999521533804213
Detroit Mercy,Orlando Lovejoy,7,15,0.4666666666666667,13.378233505250613,14,0.6217664947493873,4,4,1.0,2.879523403179419,4,1.120476596820581,16.257756908430032,18,1.7422430915699678
Detroit Mercy,Ayden Carter,5,7,0.7142857142857143,6.871545412893205,11,4.128454587106795,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.311307114482915,12,3.688692885517085
Detroit Mercy,Je'kel Cotton,2,4,0.5,3.738404004197483,5,1.2615959958025171,0,0,0.0,0.0,0,0.0,3.738404004197483,5,1.2615959958025171
Detroit Mercy,London Maiden,3,6,0.5,5.345820810216682,6,0.654179189783318,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,7.505463362601246,7,-0.5054633626012457
Detroit Mercy,Lance Stone,3,6,0.5,5.454389521234315,9,3.545610478765685,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.894151222824025,11,4.105848777175975
Detroit Mercy,Keshawn Fisher,1,4,0.25,4.046233224306895,2,-2.046233224306895,0,0,0.0,0.0,0,0.0,4.046233224306895,2,-2.046233224306895
Toledo,Sean Craig,5,8,0.625,7.7483402134429475,11,3.2516597865570525,6,6,1.0,4.319285104769128,6,1.6807148952308717,12.067625318212077,17,4.932374681787923
Toledo,Leroy Blyden Jr.,7,15,0.4666666666666667,14.407300441028857,17,2.592699558971143,3,4,0.75,2.879523403179419,3,0.12047659682058098,17.286823844208275,20,2.713176155791725
Toledo,Sonny Wilson,5,12,0.4166666666666667,11.233723595483102,11,-0.2337235954831023,7,11,0.6363636363636364,7.918689358743403,7,-0.9186893587434026,19.152412954226506,18,-1.1524129542265058
Toledo,Austin Parks,7,7,1.0,6.519731072406639,14,7.480268927593361,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.399254475586059,17,7.6007455244139415
Toledo,Kyler Vanderjagt,4,9,0.4444444444444444,7.735460059351352,9,1.264539940648648,2,5,0.4,3.599404253974274,2,-1.5994042539742739,11.334864313325626,11,-0.3348643133256264
Toledo,Mynor Strong,1,4,0.25,3.8469563770632433,2,-1.8469563770632433,0,0,0.0,0.0,0,0.0,3.8469563770632433,2,-1.8469563770632433
Toledo,Jaylan Ouwinga,1,2,0.5,2.2675895503008974,2,-0.26758955030089737,0,0,0.0,0.0,0,0.0,2.2675895503008974,2,-0.26758955030089737
Toledo,Will James Jr.,1,2,0.5,2.5578614128935104,3,0.44213858710648957,0,0,0.0,0.0,0,0.0,2.5578614128935104,3,0.44213858710648957
