Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Maryland,David Coit,6,13,0.46153846153846156,12.69912485528473,16,3.3008751447152704,3,4,0.75,2.879523403179419,3,0.12047659682058098,15.578648258464149,19,3.421351741535851
Maryland,Andre Mills,3,9,0.3333333333333333,9.1370057869565,6,-3.1370057869565002,5,5,1.0,3.599404253974274,5,1.4005957460257261,12.736410040930775,11,-1.7364100409307746
Maryland,Isaiah Watts,5,6,0.8333333333333334,6.667616489113794,13,6.332383510886206,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,10.986901593882923,18,7.013098406117077
Maryland,Pharrel Payne,6,6,1.0,6.033054991603118,12,5.966945008396882,1,1,1.0,0.7198808507948548,1,0.28011914920514525,6.752935842397973,13,6.247064157602027
Maryland,Darius Adams,5,10,0.5,10.307342042740656,10,-0.3073420427406557,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,15.346507998304638,16,0.653492001695362
Maryland,Elijah Saunders,3,10,0.3,10.069265515486414,7,-3.069265515486414,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,11.509027217076124,8,-3.509027217076124
Maryland,Collin Metcalf,1,1,1.0,1.136976944499658,2,0.863023055500342,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.5767386460893675,4,1.4232613539106325
Marquette,Zaide Lowery,6,19,0.3157894736842105,19.741499725872472,14,-5.7414997258724725,0,0,0.0,0.0,0,0.0,19.741499725872472,14,-5.7414997258724725
Marquette,Nigel James Jr.,4,9,0.4444444444444444,9.055064387353038,8,-1.0550643873530383,0,0,0.0,0.0,0,0.0,9.055064387353038,8,-1.0550643873530383
Marquette,Chase Ross,10,19,0.5263157894736842,18.788238942591253,24,5.211761057408747,7,8,0.875,5.759046806358838,7,1.240953193641162,24.54728574895009,31,6.452714251049908
Marquette,Ben Gold,6,15,0.4,15.417522848049243,16,0.5824771519507568,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,17.577165400433806,18,0.42283459956619396
Marquette,Royce Parham,1,8,0.125,7.786599019344973,2,-5.786599019344973,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.226360720934682,3,-6.226360720934682
Marquette,Adrien Stevens,1,5,0.2,5.197707909495886,3,-2.197707909495886,0,0,0.0,0.0,0,0.0,5.197707909495886,3,-2.197707909495886
Marquette,Tre Norman,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,1.4397617015897095,1,-0.4397617015897095
Marquette,Caedin Hamilton,0,0,0.0,0.0,0,0.0,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,5.039165955563983,4,-1.0391659555639832
Marquette,Damarius Owens,0,1,0.0,1.122409485677537,0,-1.122409485677537,0,0,0.0,0.0,0,0.0,1.122409485677537,0,-1.122409485677537
