Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Norfolk State,Jordan Leaks,1,4,0.25,3.625384745068839,2,-1.625384745068839,0,0,0.0,0.0,0,0.0,3.625384745068839,2,-1.625384745068839
Norfolk State,Keyontae Lewis,0,6,0.0,5.393118769678539,0,-5.393118769678539,0,0,0.0,0.0,0,0.0,5.393118769678539,0,-5.393118769678539
Norfolk State,Adrean Newton,2,5,0.4,5.0732341359040465,5,-0.07323413590404648,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,6.512995837493756,5,-1.5129958374937562
Norfolk State,Anthony McComb III,2,13,0.15384615384615385,12.925519266213605,5,-7.925519266213605,2,4,0.5,2.879523403179419,2,-0.879523403179419,15.805042669393025,7,-8.805042669393025
Norfolk State,Devon Ellis,4,11,0.36363636363636365,11.08259884776439,8,-3.0825988477643893,0,0,0.0,0.0,0,0.0,11.08259884776439,8,-3.0825988477643893
Norfolk State,Jaquel Morris,3,3,1.0,2.8917555713670335,6,3.1082444286329665,0,0,0.0,0.0,0,0.0,2.8917555713670335,6,3.1082444286329665
Norfolk State,Mykel Jenkins,0,5,0.0,5.0386519571467705,0,-5.0386519571467705,0,0,0.0,0.0,0,0.0,5.0386519571467705,0,-5.0386519571467705
Norfolk State,Elijah Jamison,4,12,0.3333333333333333,10.306951806719027,8,-2.3069518067190273,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,11.746713508308737,8,-3.746713508308737
Norfolk State,Dian Wright-Forde,1,4,0.25,4.175132505792736,2,-2.175132505792736,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,6.3347750581773,3,-3.3347750581773
Norfolk State,Melo Baines,1,2,0.5,2.0463658497707513,2,-0.04636584977075131,0,0,0.0,0.0,0,0.0,2.0463658497707513,2,-0.04636584977075131
Towson,Chike Ndefo,0,3,0.0,3.1687022897126704,0,-3.1687022897126704,0,0,0.0,0.0,0,0.0,3.1687022897126704,0,-3.1687022897126704
Towson,Jack Doumbia Jr.,4,9,0.4444444444444444,9.003975473095599,8,-1.0039754730955988,2,4,0.5,2.879523403179419,2,-0.879523403179419,11.883498876275018,10,-1.8834988762750182
Towson,Tyler Tejada,4,13,0.3076923076923077,12.200270322366771,9,-3.2002703223667712,2,2,1.0,1.4397617015897095,2,0.5602382984102905,13.640032023956481,11,-2.640032023956481
Towson,Jaquan Womack,3,11,0.2727272727272727,11.456912022530238,7,-4.456912022530238,0,0,0.0,0.0,0,0.0,11.456912022530238,7,-4.456912022530238
Towson,Dylan Williamson,3,11,0.2727272727272727,12.234257711498474,8,-4.234257711498474,4,5,0.8,3.599404253974274,4,0.4005957460257261,15.833661965472748,12,-3.833661965472748
Towson,Abdou Samb,1,2,0.5,2.0583792058583343,2,-0.05837920585833434,0,0,0.0,0.0,0,0.0,2.0583792058583343,2,-0.05837920585833434
Towson,Jaiden Cole,0,2,0.0,2.187527842265345,0,-2.187527842265345,0,0,0.0,0.0,0,0.0,2.187527842265345,0,-2.187527842265345
Towson,Caleb Embeya,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,1.4397617015897095,1,-0.4397617015897095
Towson,Tyler Schmidt,0,3,0.0,3.2417425458850273,0,-3.2417425458850273,0,0,0.0,0.0,0,0.0,3.2417425458850273,0,-3.2417425458850273
Towson,Ryan Conway,2,5,0.4,6.126702261083248,6,-0.12670226108324822,0,0,0.0,0.0,0,0.0,6.126702261083248,6,-0.12670226108324822
Towson,Mor Seck,0,0,0.0,0.0,0,0.0,2,5,0.4,3.599404253974274,2,-1.5994042539742739,3.599404253974274,2,-1.5994042539742739
