Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Gonzaga,Emmanuel Innocenti,3,6,0.5,5.685492010517626,7,1.3145079894823741,0,0,0.0,0.0,0,0.0,5.685492010517626,7,1.3145079894823741
Gonzaga,Adam Miller,3,9,0.3333333333333333,8.235454422895668,8,-0.23545442289566765,2,2,1.0,1.439809139993901,2,0.560190860006099,9.675263562889569,10,0.3247364371104311
Gonzaga,Graham Ike,4,7,0.5714285714285714,6.332781293268165,8,1.667218706731835,12,15,0.8,10.798568549954258,12,1.2014314500457424,17.131349843222424,20,2.8686501567775764
Gonzaga,Braden Huff,4,5,0.8,4.304204730744515,9,4.695795269255485,2,2,1.0,1.439809139993901,2,0.560190860006099,5.744013870738416,11,5.255986129261584
Gonzaga,Steele Venters,2,5,0.4,4.996274384182074,6,1.0037256158179257,0,0,0.0,0.0,0,0.0,4.996274384182074,6,1.0037256158179257
Gonzaga,Mario Saint-Supry,0,3,0.0,3.0225515708270647,0,-3.0225515708270647,4,4,1.0,2.879618279987802,4,1.120381720012198,5.902169850814866,4,-1.9021698508148663
Gonzaga,Tyon Grant-Foster,5,12,0.4166666666666667,12.044477387945385,10,-2.044477387945385,4,6,0.6666666666666666,4.319427419981703,4,-0.3194274199817029,16.36390480792709,14,-2.3639048079270886
Gonzaga,Jalen Warley,1,2,0.5,1.9204061005857045,2,0.07959389941429551,2,4,0.5,2.879618279987802,2,-0.8796182799878021,4.8000243805735066,4,-0.8000243805735066
Gonzaga,Braeden Smith,0,2,0.0,2.0053704434454747,0,-2.0053704434454747,1,2,0.5,1.439809139993901,1,-0.43980913999390103,3.4451795834393755,1,-2.4451795834393755
Arizona State,Andrija Grbović,2,5,0.4,4.873998267289005,6,1.1260017327109946,0,0,0.0,0.0,0,0.0,4.873998267289005,6,1.1260017327109946
Arizona State,Maurice Odum,4,15,0.26666666666666666,14.663350507718254,12,-2.6633505077182544,0,0,0.0,0.0,0,0.0,14.663350507718254,12,-2.6633505077182544
Arizona State,Santiago Trouet,3,6,0.5,6.222971864716127,6,-0.2229718647161274,4,5,0.8,3.5995228499847527,4,0.4004771500152473,9.82249471470088,10,0.17750528529911946
Arizona State,Bryce Ford,3,7,0.42857142857142855,6.402094390613312,9,2.5979056093866877,2,2,1.0,1.439809139993901,2,0.560190860006099,7.841903530607214,11,3.1580964693927864
Arizona State,Mor Massamba Diop,4,10,0.4,9.529183343244032,8,-1.529183343244032,3,6,0.5,4.319427419981703,3,-1.3194274199817029,13.848610763225736,11,-2.848610763225736
Arizona State,Marcus Adams Jr.,1,4,0.25,4.562039685740938,2,-2.562039685740938,1,2,0.5,1.439809139993901,1,-0.43980913999390103,6.0018488257348395,3,-3.0018488257348395
Arizona State,Anthony Johnson,4,8,0.5,8.39847337824894,9,0.6015266217510593,1,5,0.2,3.5995228499847527,1,-2.5995228499847527,11.997996228233694,10,-1.9979962282336938
Arizona State,Trevor Best,0,1,0.0,1.0580053784263206,0,-1.0580053784263206,0,0,0.0,0.0,0,0.0,1.0580053784263206,0,-1.0580053784263206
Arizona State,Allen Mukeba,0,2,0.0,2.121075660213422,0,-2.121075660213422,2,3,0.6666666666666666,2.1597137099908514,2,-0.15971370999085144,4.280789370204273,2,-2.280789370204273
