Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
SE Louisiana,Jeremy Elyzee,7,15,0.4666666666666667,14.333279244216042,14,-0.33327924421604216,5,5,1.0,3.5995228499847527,5,1.4004771500152473,17.932802094200795,19,1.0671979057992047
SE Louisiana,Jaiden Lawrence,1,6,0.16666666666666666,6.75295102143768,3,-3.7529510214376796,6,7,0.8571428571428571,5.0393319899786535,6,0.9606680100213465,11.792283011416334,9,-2.792283011416334
SE Louisiana,CJ Booker,1,9,0.1111111111111111,8.208195931383655,3,-5.2081959313836546,0,0,0.0,0.0,0,0.0,8.208195931383655,3,-5.2081959313836546
SE Louisiana,Seth Jones,3,9,0.3333333333333333,9.149726456589654,6,-3.1497264565896543,0,0,0.0,0.0,0,0.0,9.149726456589654,6,-3.1497264565896543
SE Louisiana,Makhi Myles,2,5,0.4,4.995242986441021,5,0.004757013558979395,0,0,0.0,0.0,0,0.0,4.995242986441021,5,0.004757013558979395
SE Louisiana,Jalen Forrest,5,11,0.45454545454545453,10.529839770829637,11,0.4701602291703626,5,6,0.8333333333333334,4.319427419981703,5,0.6805725800182971,14.84926719081134,16,1.1507328091886606
SE Louisiana,Ubong-Abasi Etim,0,1,0.0,0.9715820816166396,0,-0.9715820816166396,0,0,0.0,0.0,0,0.0,0.9715820816166396,0,-0.9715820816166396
SE Louisiana,Ethan Pickett,1,4,0.25,4.711868152627072,2,-2.711868152627072,0,0,0.0,0.0,0,0.0,4.711868152627072,2,-2.711868152627072
SE Louisiana,Isaiah Gaines,4,6,0.6666666666666666,5.781249201125026,8,2.218750798874974,0,0,0.0,0.0,0,0.0,5.781249201125026,8,2.218750798874974
Mississippi State,Ja'Borri McGhee,3,6,0.5,6.107698018975865,7,0.8923019810241346,1,3,0.3333333333333333,2.1597137099908514,1,-1.1597137099908514,8.267411728966717,8,-0.2674117289667173
Mississippi State,Josh Hubbard,5,12,0.4166666666666667,10.685197181486322,12,1.3148028185136784,3,3,1.0,2.1597137099908514,3,0.8402862900091486,12.844910891477173,15,2.1550891085228265
Mississippi State,Shawn Jones Jr.,7,10,0.7,10.224299864528435,17,6.775700135471565,0,0,0.0,0.0,0,0.0,10.224299864528435,17,6.775700135471565
Mississippi State,Sergej Macura,3,6,0.5,5.294185791852697,6,0.7058142081473031,1,2,0.5,1.439809139993901,1,-0.43980913999390103,6.733994931846598,7,0.26600506815340186
Mississippi State,Dellquan Warren,0,1,0.0,0.9865325676730428,0,-0.9865325676730428,0,0,0.0,0.0,0,0.0,0.9865325676730428,0,-0.9865325676730428
Mississippi State,Jayden Epps,3,6,0.5,5.96608682848,7,1.03391317152,3,4,0.75,2.879618279987802,3,0.12038172001219793,8.845705108467802,10,1.1542948915321976
Mississippi State,King Grace,1,3,0.3333333333333333,3.1370086104020416,3,-0.1370086104020416,5,5,1.0,3.5995228499847527,5,1.4004771500152473,6.736531460386795,8,1.2634685396132053
Mississippi State,Brandon Walker,1,6,0.16666666666666666,5.4424813084102,2,-3.4424813084102004,1,2,0.5,1.439809139993901,1,-0.43980913999390103,6.882290448404102,3,-3.8822904484041016
Mississippi State,Jamarion Davis-Fleming,0,0,0.0,0.0,0,0.0,0,2,0.0,1.439809139993901,0,-1.439809139993901,1.439809139993901,0,-1.439809139993901
Mississippi State,Quincy Ballard,1,2,0.5,1.8273273513448658,2,0.1726726486551342,0,0,0.0,0.0,0,0.0,1.8273273513448658,2,0.1726726486551342
Mississippi State,Achor Achor,1,3,0.3333333333333333,3.50973471700853,3,-0.5097347170085298,2,2,1.0,1.439809139993901,2,0.560190860006099,4.949543857002431,5,0.050456142997568953
