Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Samford,Dylan Faulkner,6,10,0.6,9.901802732545931,12,2.0981972674540685,1,2,0.5,1.439809139993901,1,-0.43980913999390103,11.341611872539833,13,1.6583881274601673
Samford,Keaton Norris,4,10,0.4,9.524886965016892,9,-0.5248869650168917,2,2,1.0,1.439809139993901,2,0.560190860006099,10.964696105010793,11,0.03530389498920705
Samford,Cade Norris,6,8,0.75,7.971612682459335,15,7.028387317540665,0,0,0.0,0.0,0,0.0,7.971612682459335,15,7.028387317540665
Samford,Jadin Booth,3,15,0.2,14.914220622510754,8,-6.914220622510754,6,6,1.0,4.319427419981703,6,1.6805725800182971,19.233648042492458,14,-5.233648042492458
Samford,Isaiah Campbell-Finch,1,6,0.16666666666666666,5.657597507425992,2,-3.657597507425992,0,0,0.0,0.0,0,0.0,5.657597507425992,2,-3.657597507425992
Samford,Judson Bjornstad,0,2,0.0,2.0247388881846895,0,-2.0247388881846895,0,0,0.0,0.0,0,0.0,2.0247388881846895,0,-2.0247388881846895
Samford,Jaxon Pollard,2,4,0.5,3.885132634397104,5,1.1148673656028958,0,0,0.0,0.0,0,0.0,3.885132634397104,5,1.1148673656028958
Samford,Zion Wilburn,6,9,0.6666666666666666,9.060637880062247,15,5.939362119937753,0,0,0.0,0.0,0,0.0,9.060637880062247,15,5.939362119937753
Samford,Will Shaver,0,2,0.0,1.9172543552508032,0,-1.9172543552508032,0,0,0.0,0.0,0,0.0,1.9172543552508032,0,-1.9172543552508032
Samford,Kam Martin,0,2,0.0,1.9045943472781703,0,-1.9045943472781703,0,0,0.0,0.0,0,0.0,1.9045943472781703,0,-1.9045943472781703
Arkansas,Karter Knox,2,5,0.4,4.665780966121499,4,-0.6657809661214991,0,0,0.0,0.0,0,0.0,4.665780966121499,4,-0.6657809661214991
Arkansas,Meleek Thomas,5,13,0.38461538461538464,11.743250053669465,11,-0.7432500536694651,6,6,1.0,4.319427419981703,6,1.6805725800182971,16.062677473651167,17,0.937322526348833
Arkansas,Nick Pringle,0,1,0.0,0.9367522028932431,0,-0.9367522028932431,0,0,0.0,0.0,0,0.0,0.9367522028932431,0,-0.9367522028932431
Arkansas,D.J. Wagner,3,5,0.6,5.394197789178743,7,1.605802210821257,3,4,0.75,2.879618279987802,3,0.12038172001219793,8.273816069166545,10,1.7261839308334554
Arkansas,Darius Acuff Jr.,7,13,0.5384615384615384,12.183255702417364,16,3.816744297582636,4,5,0.8,3.5995228499847527,4,0.4004771500152473,15.782778552402117,20,4.217221447597883
Arkansas,Trevon Brazile,6,14,0.42857142857142855,12.331637174102985,13,0.6683628258970149,2,3,0.6666666666666666,2.1597137099908514,2,-0.15971370999085144,14.491350884093837,15,0.508649115906163
Arkansas,Billy Richmond III,4,7,0.5714285714285714,7.252037298176468,9,1.747962701823532,1,2,0.5,1.439809139993901,1,-0.43980913999390103,8.69184643817037,10,1.3081535618296307
Arkansas,Isaiah Sealy,0,1,0.0,1.060612894185304,0,-1.060612894185304,1,2,0.5,1.439809139993901,1,-0.43980913999390103,2.5004220341792047,1,-1.5004220341792047
Arkansas,Malique Ewin,1,3,0.3333333333333333,2.6676391622663354,2,-0.6676391622663354,0,0,0.0,0.0,0,0.0,2.6676391622663354,2,-0.6676391622663354
