Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Mississippi Valley State,Lamont Sams,6,10,0.6,9.551679698131153,14,4.448320301868847,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.991441399720863,16,5.008558600279137
Mississippi Valley State,Delkedric Holmes,3,9,0.3333333333333333,8.285273721371373,7,-1.2852737213713734,4,4,1.0,2.879523403179419,4,1.120476596820581,11.164797124550793,11,-0.16479712455079287
Mississippi Valley State,Patrick Punch,1,4,0.25,3.6632263550809623,2,-1.6632263550809623,0,0,0.0,0.0,0,0.0,3.6632263550809623,2,-1.6632263550809623
Mississippi Valley State,Daniel Mayfield,11,16,0.6875,14.56878780216998,23,8.43121219783002,5,5,1.0,3.599404253974274,5,1.4005957460257261,18.168192056144253,28,9.831807943855747
Mississippi Valley State,Michael James,5,10,0.5,8.46128381344661,10,1.5387161865533905,0,0,0.0,0.0,0,0.0,8.46128381344661,10,1.5387161865533905
Mississippi Valley State,Chance Sutton,1,1,1.0,1.0177157738254645,2,0.9822842261745355,0,0,0.0,0.0,0,0.0,1.0177157738254645,2,0.9822842261745355
Mississippi Valley State,Mussa Mzein,0,1,0.0,0.8643884503364593,0,-0.8643884503364593,0,0,0.0,0.0,0,0.0,0.8643884503364593,0,-0.8643884503364593
Mississippi Valley State,Samuel Murray,2,2,1.0,1.981063950052391,4,2.018936049947609,0,0,0.0,0.0,0,0.0,1.981063950052391,4,2.018936049947609
Mississippi Valley State,Tyrone Iroghama,0,2,0.0,1.842988150710993,0,-1.842988150710993,0,0,0.0,0.0,0,0.0,1.842988150710993,0,-1.842988150710993
Manhattan,Erik Oliver-Bush,0,2,0.0,2.1682377912415625,0,-2.1682377912415625,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.607999492831272,2,-1.6079994928312722
Manhattan,Devin Dinkins,5,13,0.38461538461538464,14.841409398520899,15,0.15859060147910142,7,8,0.875,5.759046806358838,7,1.240953193641162,20.600456204879737,22,1.3995437951202625
Manhattan,Fraser Roxburgh,6,10,0.6,9.843653987754891,14,4.156346012245109,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,14.882819943318875,19,4.117180056681125
Manhattan,Marko Ljubicic,4,4,1.0,3.772776582777934,8,4.227223417222066,3,4,0.75,2.879523403179419,3,0.12047659682058098,6.652299985957352,11,4.347700014042648
Manhattan,Jaden Winston,2,7,0.2857142857142857,7.223159838796428,5,-2.2231598387964278,9,11,0.8181818181818182,7.918689358743403,9,1.0813106412565974,15.14184919753983,14,-1.1418491975398304
Manhattan,Terrance Jones,2,4,0.5,4.469351249728046,6,1.5306487502719541,0,0,0.0,0.0,0,0.0,4.469351249728046,6,1.5306487502719541
Manhattan,Anthony Isaac,1,2,0.5,2.2146542722033393,2,-0.21465427220333932,0,0,0.0,0.0,0,0.0,2.2146542722033393,2,-0.21465427220333932
Manhattan,Quron Elliott,2,6,0.3333333333333333,4.9764118824184385,4,-0.9764118824184385,0,0,0.0,0.0,0,0.0,4.9764118824184385,4,-0.9764118824184385
