Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Portland,Cameron Williams,1,6,0.16666666666666666,5.005910488686622,2,-3.005910488686622,0,0,0.0,0.0,0,0.0,5.005910488686622,2,-3.005910488686622
Portland,James O'Donnell,4,6,0.6666666666666666,6.16734274957879,8,1.8326572504212102,2,7,0.2857142857142857,5.039165955563983,2,-3.039165955563983,11.206508705142774,10,-1.2065087051427739
Portland,Garrett Nuckolls,1,3,0.3333333333333333,2.6151934321072634,2,-0.6151934321072634,0,0,0.0,0.0,0,0.0,2.6151934321072634,2,-0.6151934321072634
Portland,Joel Foxwell,4,8,0.5,7.391916052897862,9,1.6080839471021378,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,8.831677754487572,9,0.16832224551242803
Portland,Matúš Hronský,0,2,0.0,1.6001578687062616,0,-1.6001578687062616,0,0,0.0,0.0,0,0.0,1.6001578687062616,0,-1.6001578687062616
Portland,Jermaine Ballisager Webb,1,6,0.16666666666666666,5.693278875597141,2,-3.693278875597141,0,0,0.0,0.0,0,0.0,5.693278875597141,2,-3.693278875597141
Portland,Timo George,4,6,0.6666666666666666,6.204959506992176,8,1.795040493007824,4,8,0.5,5.759046806358838,4,-1.759046806358838,11.964006313351014,12,0.035993686648986056
Portland,Dante Censori-Hercules,1,4,0.25,3.9472997685165865,3,-0.9472997685165865,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.387061470106296,4,-1.3870614701062962
Portland,Mikah Ballew,2,5,0.4,4.639180833781987,4,-0.6391808337819871,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,9.67834678934597,10,0.32165321065403063
Portland,Riley Parker,0,1,0.0,1.19747603270371,0,-1.19747603270371,4,5,0.8,3.599404253974274,4,0.4005957460257261,4.796880286677984,4,-0.7968802866779843
Portland,NaVaughn Long,0,1,0.0,1.0869035074023037,0,-1.0869035074023037,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.5266652089920134,1,-1.5266652089920134
Wyoming,Leland Walker,4,10,0.4,9.97553769239304,10,0.02446230760696011,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,14.294822797162169,15,0.7051772028378309
Wyoming,Gavin Gores,3,10,0.3,9.7059723835921,6,-3.7059723835920995,3,4,0.75,2.879523403179419,3,0.12047659682058098,12.585495786771519,9,-3.585495786771519
Wyoming,Matija Belic,2,5,0.4,5.0833535359479205,4,-1.0833535359479205,0,0,0.0,0.0,0,0.0,5.0833535359479205,4,-1.0833535359479205
Wyoming,Khaden Bennett,4,7,0.5714285714285714,7.119388730880045,9,1.8806112691199548,0,0,0.0,0.0,0,0.0,7.119388730880045,9,1.8806112691199548
Wyoming,Simm-Marten Saadi,3,7,0.42857142857142855,7.230899778134749,8,0.7691002218652514,0,0,0.0,0.0,0,0.0,7.230899778134749,8,0.7691002218652514
Wyoming,Nasir Meyer,1,3,0.3333333333333333,3.1365566323717635,2,-1.1365566323717635,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,5.296199184756327,4,-1.2961991847563272
Wyoming,Kiani Saxon,2,2,1.0,2.0841137641989693,4,1.9158862358010307,0,0,0.0,0.0,0,0.0,2.0841137641989693,4,1.9158862358010307
Wyoming,Damarion Dennis,3,6,0.5,6.233681950080701,6,-0.23368195008070103,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.673443651670411,8,0.32655634832958924
Wyoming,Uriyah Rojas,3,9,0.3333333333333333,9.840212211702045,9,-0.8402122117020454,0,0,0.0,0.0,0,0.0,9.840212211702045,9,-0.8402122117020454
Wyoming,Jared Harris,5,10,0.5,10.157236320781166,14,3.8427636792188338,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.596998022370876,16,4.403001977629124
Wyoming,Adam Harakow,2,2,1.0,2.011991087855124,5,2.988008912144876,0,0,0.0,0.0,0,0.0,2.011991087855124,5,2.988008912144876
Wyoming,Garrett Spielman,1,1,1.0,1.0443117471591479,2,0.9556882528408521,0,0,0.0,0.0,0,0.0,1.0443117471591479,2,0.9556882528408521
