Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Presbyterian,Erik Taylor,0,3,0.0,3.010012061263084,0,-3.010012061263084,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.449773762852794,2,-2.449773762852794
Presbyterian,Jaylen Peterson,4,7,0.5714285714285714,7.274327372214366,8,0.7256726277856336,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.714089073804075,10,1.2859109261959247
Presbyterian,Carl Parrish,5,14,0.35714285714285715,13.642911514106839,12,-1.6429115141068387,2,2,1.0,1.4397617015897095,2,0.5602382984102905,15.082673215696548,14,-1.0826732156965484
Presbyterian,Jonah Pierce,5,7,0.7142857142857143,7.313229812675886,10,2.6867701873241137,2,4,0.5,2.879523403179419,2,-0.879523403179419,10.192753215855305,12,1.807246784144695
Presbyterian,Iverson King,2,6,0.3333333333333333,5.7577191415984545,4,-1.7577191415984545,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.197480843188164,6,-1.1974808431881643
Presbyterian,Triston Wilson,4,14,0.2857142857142857,14.376476156253611,8,-6.376476156253611,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,16.536118708638174,10,-6.536118708638174
Presbyterian,JD Bowden,1,2,0.5,1.9437360271753672,3,1.0562639728246328,0,0,0.0,0.0,0,0.0,1.9437360271753672,3,1.0562639728246328
Presbyterian,Chidi Chiakwelu,1,1,1.0,1.0940943888342287,2,0.9059056111657713,1,6,0.16666666666666666,4.319285104769128,1,-3.3192851047691283,5.413379493603357,3,-2.4133794936033572
Presbyterian,Khalon Hudson,1,4,0.25,4.453476633904377,2,-2.453476633904377,0,0,0.0,0.0,0,0.0,4.453476633904377,2,-2.453476633904377
Presbyterian,Josh Pickett,0,1,0.0,0.8792527482488482,0,-0.8792527482488482,0,0,0.0,0.0,0,0.0,0.8792527482488482,0,-0.8792527482488482
Sacramento State,Shaqir O'Neal,2,4,0.5,4.159078552179844,4,-0.15907855217984412,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.038601955359264,7,-0.038601955359263584
Sacramento State,Jahni Summers,2,5,0.4,6.070426114329347,5,-1.0704261143293472,0,0,0.0,0.0,0,0.0,6.070426114329347,5,-1.0704261143293472
Sacramento State,Mikey Williams,3,7,0.42857142857142855,7.995858686971895,6,-1.9958586869718946,8,9,0.8888888888888888,6.478927657153693,8,1.521072342846307,14.474786344125587,14,-0.4747863441255866
Sacramento State,Jeremiah Cherry,8,15,0.5333333333333333,15.500989462454616,16,0.4990105375453844,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,16.940751164044325,17,0.05924883595567465
Sacramento State,Prophet Johnson,2,6,0.3333333333333333,6.288292831729031,4,-2.2882928317290308,4,8,0.5,5.759046806358838,4,-1.759046806358838,12.04733963808787,8,-4.04733963808787
Sacramento State,Jayden Teat,4,7,0.5714285714285714,6.920651966622735,9,2.079348033377265,0,0,0.0,0.0,0,0.0,6.920651966622735,9,2.079348033377265
Sacramento State,Mark Lavrenov,0,1,0.0,0.7795206070060385,0,-0.7795206070060385,0,0,0.0,0.0,0,0.0,0.7795206070060385,0,-0.7795206070060385
Sacramento State,Brandon Gardner,1,2,0.5,1.8918122831803101,2,0.10818771681968986,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.33157398477002,4,0.6684260152299801
Sacramento State,Arman Madi,0,1,0.0,1.4297205923137246,0,-1.4297205923137246,0,0,0.0,0.0,0,0.0,1.4297205923137246,0,-1.4297205923137246
