Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Sam Houston,Veljko Ilic,4,9,0.4444444444444444,8.394230621052898,8,-0.3942306210528983,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.833992322642608,10,0.16600767735739197
Sam Houston,Po'Boigh King,1,9,0.1111111111111111,8.636514307453776,3,-5.636514307453776,0,0,0.0,0.0,0,0.0,8.636514307453776,3,-5.636514307453776
Sam Houston,Justin Begg,6,14,0.42857142857142855,13.53418950138813,13,-0.5341895013881306,3,4,0.75,2.879523403179419,3,0.12047659682058098,16.41371290456755,16,-0.41371290456755005
Sam Houston,Jacobe Coleman,7,10,0.7,10.093307072347333,17,6.906692927652667,0,0,0.0,0.0,0,0.0,10.093307072347333,17,6.906692927652667
Sam Houston,CJ Beaumont,1,2,0.5,1.7558272218393247,2,0.24417277816067529,0,0,0.0,0.0,0,0.0,1.7558272218393247,2,0.24417277816067529
Sam Houston,Kashie Natt,2,8,0.25,8.067727082743206,4,-4.067727082743206,3,4,0.75,2.879523403179419,3,0.12047659682058098,10.947250485922625,7,-3.947250485922625
Sam Houston,Jacob Walker,0,3,0.0,2.9683513459355857,0,-2.9683513459355857,0,0,0.0,0.0,0,0.0,2.9683513459355857,0,-2.9683513459355857
Sam Houston,Isaiah Manning,4,6,0.6666666666666666,5.788746502112308,10,4.211253497887692,3,3,1.0,2.159642552384564,3,0.8403574476154358,7.948389054496872,13,5.051610945503128
Sam Houston,Damon Nicholas Jr.,4,7,0.5714285714285714,6.516610063193898,9,2.483389936806102,0,0,0.0,0.0,0,0.0,6.516610063193898,9,2.483389936806102
Sam Houston,Jaxson Ford,1,2,0.5,1.9012682805371912,2,0.09873171946280879,0,0,0.0,0.0,0,0.0,1.9012682805371912,2,0.09873171946280879
Utah,Terrence Brown,6,16,0.375,17.100340627758413,13,-4.100340627758413,13,15,0.8666666666666667,10.798212761922821,13,2.201787238077179,27.898553389681233,26,-1.8985533896812328
Utah,Don McHenry,3,10,0.3,10.191311591201302,7,-3.191311591201302,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,14.510596695970431,12,-2.510596695970431
Utah,Seydou Traore,4,8,0.5,7.603140266423013,10,2.396859733576987,0,0,0.0,0.0,0,0.0,7.603140266423013,10,2.396859733576987
Utah,Josh Hayes,1,1,1.0,1.0901306055569142,2,0.9098693944430858,0,0,0.0,0.0,0,0.0,1.0901306055569142,2,0.9098693944430858
Utah,Keanu Dawes,7,11,0.6363636363636364,10.126097428377266,15,4.873902571622734,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,12.28573998076183,17,4.71426001923817
Utah,Kendyl Sanders,0,5,0.0,5.0859274766071305,0,-5.0859274766071305,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.96545087978655,3,-4.96545087978655
Utah,Jacob Patrick,3,5,0.6,5.374070118870115,9,3.625929881129885,0,0,0.0,0.0,0,0.0,5.374070118870115,9,3.625929881129885
Utah,Obomate Abbey,2,4,0.5,4.432447070409877,5,0.5675529295901232,0,0,0.0,0.0,0,0.0,4.432447070409877,5,0.5675529295901232
Utah,James Okonkwo,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,1.4397617015897095,1,-0.4397617015897095
