Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Illinois State,Boden Skunberg,2,6,0.3333333333333333,4.952677024827336,4,-0.9526770248273362,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.832200428006756,7,-0.8322004280067556
Illinois State,Ty Pence,2,4,0.5,3.562718199961005,5,1.437281800038995,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.002479901550714,7,1.9975200984492858
Illinois State,Ty'Reek Coleman,6,9,0.6666666666666666,8.861031203488217,12,3.138968796511783,7,8,0.875,5.759046806358838,7,1.240953193641162,14.620078009847056,19,4.379921990152944
Illinois State,Chase Walker,3,9,0.3333333333333333,7.9320954054474315,6,-1.9320954054474315,13,14,0.9285714285714286,10.078331911127966,13,2.9216680888720337,18.0104273165754,19,0.9895726834246013
Illinois State,Johnny Kinziger,5,9,0.5555555555555556,8.122958635833545,12,3.8770413641664554,3,5,0.6,3.599404253974274,3,-0.5994042539742739,11.722362889807819,15,3.277637110192181
Illinois State,Landon Wolf,2,4,0.5,3.4115162833433224,4,0.5884837166566776,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.851277984933032,6,1.1487220150669684
Illinois State,Jack Daugherty,1,4,0.25,4.570617035900005,3,-1.5706170359000051,0,0,0.0,0.0,0,0.0,4.570617035900005,3,-1.5706170359000051
Illinois State,Brandon Lieb,1,3,0.3333333333333333,2.70177996304472,2,-0.7017799630447201,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.141541664634429,3,-1.1415416646344294
Illinois State,Mason Klabo,1,1,1.0,0.843297321411278,3,2.156702678588722,0,0,0.0,0.0,0,0.0,0.843297321411278,3,2.156702678588722
Illinois State,Landon Moore,0,0,0.0,0.0,0,0.0,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,1.4397617015897095,0,-1.4397617015897095
Long Beach State,Petar Majstorovic,8,15,0.5333333333333333,14.737070373466032,19,4.262929626533968,0,3,0.0,2.159642552384564,0,-2.159642552384564,16.896712925850597,19,2.103287074149403
Long Beach State,Gavin Sykes,4,10,0.4,8.583076922803828,9,0.41692307719617183,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.462600325983248,12,0.5373996740167524
Long Beach State,Cole Farrell,1,4,0.25,3.5789816965856853,2,-1.5789816965856853,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,5.7386242489702495,3,-2.7386242489702495
Long Beach State,Shaquil Bender,6,11,0.5454545454545454,10.943234014228445,16,5.0567659857715554,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.382995715818154,18,5.617004284181846
Long Beach State,Derrick Michael Xzavierro,0,2,0.0,1.8504344787551024,0,-1.8504344787551024,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.290196180344812,1,-2.290196180344812
Long Beach State,Isaiah Lewis,2,4,0.5,3.59642154728017,5,1.40357845271983,0,0,0.0,0.0,0,0.0,3.59642154728017,5,1.40357845271983
Long Beach State,Christian Jones,2,2,1.0,1.4669891151499046,4,2.5330108848500954,0,0,0.0,0.0,0,0.0,1.4669891151499046,4,2.5330108848500954
Long Beach State,Dallas Washington,0,3,0.0,3.775681316374918,0,-3.775681316374918,0,0,0.0,0.0,0,0.0,3.775681316374918,0,-3.775681316374918
Long Beach State,Rob Diaz III,4,8,0.5,7.905902187690062,9,1.094097812309938,0,0,0.0,0.0,0,0.0,7.905902187690062,9,1.094097812309938
Long Beach State,Leopold Levillain,2,3,0.6666666666666666,2.363541273492372,4,1.636458726507628,3,4,0.75,2.879523403179419,3,0.12047659682058098,5.243064676671791,7,1.756935323328209
Long Beach State,Shay Johnson Jr.,1,1,1.0,1.0134220899495399,2,0.9865779100504601,0,0,0.0,0.0,0,0.0,1.0134220899495399,2,0.9865779100504601
