Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Troy,Cobi Campbell,5,8,0.625,8.006564041658944,14,5.993435958341056,4,4,1.0,2.879618279987802,4,1.120381720012198,10.886182321646746,18,7.113817678353254
Troy,Thomas Dowd,5,13,0.38461538461538464,12.975412327736496,13,0.02458767226350389,3,4,0.75,2.879618279987802,3,0.12038172001219793,15.855030607724299,16,0.14496939227570138
Troy,Theo Seng,5,8,0.625,6.766277367285623,10,3.233722632714377,1,1,1.0,0.7199045699969505,1,0.2800954300030495,7.4861819372825735,11,3.5138180627174265
Troy,Cooper Campbell,5,10,0.5,8.894853580420824,12,3.1051464195791763,1,1,1.0,0.7199045699969505,1,0.2800954300030495,9.614758150417774,13,3.3852418495822256
Troy,Jerrell Bellamy,1,3,0.3333333333333333,2.494243865675255,2,-0.494243865675255,3,3,1.0,2.1597137099908514,3,0.8402862900091486,4.653957575666107,5,0.3460424243338931
Troy,Kerrington Kiel,1,4,0.25,3.943890875096158,2,-1.9438908750961579,2,2,1.0,1.439809139993901,2,0.560190860006099,5.383700015090059,4,-1.3837000150900591
Troy,Austin Cross,0,3,0.0,3.262791484620637,0,-3.262791484620637,0,0,0.0,0.0,0,0.0,3.262791484620637,0,-3.262791484620637
Troy,Victor Valdes,5,11,0.45454545454545453,10.619390390523165,11,0.380609609476835,5,7,0.7142857142857143,5.0393319899786535,5,-0.0393319899786535,15.658722380501818,16,0.34127761949818236
Troy,Javen Colbert,1,1,1.0,1.0008404688278574,2,0.9991595311721426,0,0,0.0,0.0,0,0.0,1.0008404688278574,2,0.9991595311721426
Cal State Northridge,Larry Hughes II,4,9,0.4444444444444444,8.549933618570686,11,2.4500663814293144,4,5,0.8,3.5995228499847527,4,0.4004771500152473,12.149456468555439,15,2.8505435314445613
Cal State Northridge,Mahmoud Fofana,4,6,0.6666666666666666,5.741981903965088,8,2.2580180960349123,0,0,0.0,0.0,0,0.0,5.741981903965088,8,2.2580180960349123
Cal State Northridge,Josiah Davis,8,14,0.5714285714285714,13.109854825840495,16,2.890145174159505,4,5,0.8,3.5995228499847527,4,0.4004771500152473,16.709377675825248,20,3.290622324174752
Cal State Northridge,Davius Loury,3,7,0.42857142857142855,7.3050868155107755,7,-0.30508681551077554,0,0,0.0,0.0,0,0.0,7.3050868155107755,7,-0.30508681551077554
Cal State Northridge,Joshua O'Garro,9,14,0.6428571428571429,13.165206641997994,20,6.834793358002006,3,4,0.75,2.879618279987802,3,0.12038172001219793,16.044824921985796,23,6.955175078014204
Cal State Northridge,James Evans Jr.,5,8,0.625,7.806797609254065,11,3.1932023907459346,0,0,0.0,0.0,0,0.0,7.806797609254065,11,3.1932023907459346
Cal State Northridge,Jordan Brinson,2,4,0.5,4.430773644676595,4,-0.43077364467659507,0,0,0.0,0.0,0,0.0,4.430773644676595,4,-0.43077364467659507
Cal State Northridge,Aleks Szymczyk,3,4,0.75,3.6897798744009966,6,2.3102201255990034,0,2,0.0,1.439809139993901,0,-1.439809139993901,5.129589014394898,6,0.8704109856051021
Cal State Northridge,Grady Lewis,0,1,0.0,1.0651064452525452,0,-1.0651064452525452,0,0,0.0,0.0,0,0.0,1.0651064452525452,0,-1.0651064452525452
