Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Tulsa,David Green,3,16,0.1875,15.308400360140872,8,-7.3084003601408725,3,6,0.5,4.319285104769128,3,-1.3192851047691283,19.62768546491,11,-8.627685464910002
Tulsa,Tylen Riley,5,7,0.7142857142857143,7.166987155152012,10,2.833012844847988,2,5,0.4,3.599404253974274,2,-1.5994042539742739,10.766391409126285,12,1.2336085908737147
Tulsa,Miles Barnstable,6,16,0.375,15.163141125792155,16,0.8368588742078451,2,2,1.0,1.4397617015897095,2,0.5602382984102905,16.602902827381865,18,1.3970971726181354
Tulsa,Ade Popoola,1,3,0.3333333333333333,3.119323884945131,3,-0.11932388494513102,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.559085586534841,5,0.44091441346515925
Tulsa,Ian Smikle,3,3,1.0,2.7837708655560287,6,3.2162291344439713,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.223532567145738,7,2.776467432854262
Tulsa,Myles Rigsby,2,4,0.5,3.7417555688575677,4,0.25824443114243234,8,8,1.0,5.759046806358838,8,2.240953193641162,9.500802375216406,12,2.4991976247835943
Tulsa,Romad Dean,1,2,0.5,2.067232432659868,2,-0.06723243265986811,0,0,0.0,0.0,0,0.0,2.067232432659868,2,-0.06723243265986811
Tulsa,Jaylen Lawal,1,7,0.14285714285714285,6.881257582864715,3,-3.8812575828647153,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.760780986044134,6,-3.760780986044134
Tulsa,Tyler Behrend,2,4,0.5,4.571731029991108,4,-0.571731029991108,0,0,0.0,0.0,0,0.0,4.571731029991108,4,-0.571731029991108
Tulsa,KJ Martin Jr.,3,4,0.75,4.377587569678122,6,1.6224124303218783,0,0,0.0,0.0,0,0.0,4.377587569678122,6,1.6224124303218783
Kansas State,Khamari McGriff,4,6,0.6666666666666666,6.14474231953035,8,1.8552576804696503,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,10.464027424299477,13,2.535972575700523
Kansas State,Nate Johnson,2,7,0.2857142857142857,6.833934037367795,5,-1.8339340373677953,0,0,0.0,0.0,0,0.0,6.833934037367795,5,-1.8339340373677953
Kansas State,Elias Rapieque,1,4,0.25,3.76792478994875,2,-1.7679247899487498,0,0,0.0,0.0,0,0.0,3.76792478994875,2,-1.7679247899487498
Kansas State,Abdi Bashir Jr.,4,12,0.3333333333333333,12.287185196738516,10,-2.287185196738516,0,0,0.0,0.0,0,0.0,12.287185196738516,10,-2.287185196738516
Kansas State,P.J. Haggerty,10,17,0.5882352941176471,16.663682695086102,20,3.336317304913898,11,12,0.9166666666666666,8.638570209538257,11,2.3614297904617434,25.30225290462436,31,5.6977470953756395
Kansas State,David Castillo,4,10,0.4,10.079288339445768,9,-1.0792883394457675,3,3,1.0,2.159642552384564,3,0.8403574476154358,12.238930891830332,12,-0.23893089183033211
Kansas State,Andrej Kostic,2,5,0.4,5.114526139372589,5,-0.11452613937258871,0,0,0.0,0.0,0,0.0,5.114526139372589,5,-0.11452613937258871
Kansas State,C.J. Jones,1,4,0.25,3.927568840940082,2,-1.927568840940082,0,0,0.0,0.0,0,0.0,3.927568840940082,2,-1.927568840940082
Kansas State,Dorin Buca,1,2,0.5,1.8984205731803399,2,0.10157942681966015,0,0,0.0,0.0,0,0.0,1.8984205731803399,2,0.10157942681966015
Kansas State,Taj Manning,1,1,1.0,1.1009498237415112,2,0.8990501762584888,0,0,0.0,0.0,0,0.0,1.1009498237415112,2,0.8990501762584888
