Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Jacksonville,Chris Arias,2,9,0.2222222222222222,8.649406363710861,5,-3.6494063637108614,0,0,0.0,0.0,0,0.0,8.649406363710861,5,-3.6494063637108614
Jacksonville,Jaylen Jordon,2,5,0.4,4.556431374334305,4,-0.5564313743343048,0,0,0.0,0.0,0,0.0,4.556431374334305,4,-0.5564313743343048
Jacksonville,Jaylen Jones,5,10,0.5,9.42796498502853,11,1.5720350149714708,3,3,1.0,2.159642552384564,3,0.8403574476154358,11.587607537413094,14,2.412392462586906
Jacksonville,Enrico Borio,2,4,0.5,4.1608651558498355,5,0.8391348441501645,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.600626857439545,6,0.39937314256045475
Jacksonville,Hayden Wood,1,3,0.3333333333333333,3.4851139168035283,2,-1.4851139168035283,3,4,0.75,2.879523403179419,3,0.12047659682058098,6.364637319982947,5,-1.364637319982947
Jacksonville,Evan Sterck,1,4,0.25,3.7347306805297755,2,-1.7347306805297755,0,0,0.0,0.0,0,0.0,3.7347306805297755,2,-1.7347306805297755
Jacksonville,Donovan Rivers,1,4,0.25,3.075205544189814,2,-1.075205544189814,1,1,1.0,0.7198808507948548,1,0.28011914920514525,3.795086394984669,3,-0.7950863949846689
Jacksonville,Jason Thirdkill Jr.,0,4,0.0,4.044206629845214,0,-4.044206629845214,0,0,0.0,0.0,0,0.0,4.044206629845214,0,-4.044206629845214
Jacksonville,Chris Lockett Jr.,3,4,0.75,3.8013965451456038,7,3.1986034548543962,5,5,1.0,3.599404253974274,5,1.4005957460257261,7.400800799119878,12,4.599199200880122
Jacksonville,Allen Udemadu,1,1,1.0,0.8853502923756887,2,1.1146497076243111,0,0,0.0,0.0,0,0.0,0.8853502923756887,2,1.1146497076243111
Jacksonville,Michael Harper Jr.,2,3,0.6666666666666666,2.6423645935068216,4,1.3576354064931784,0,0,0.0,0.0,0,0.0,2.6423645935068216,4,1.3576354064931784
Jacksonville,Charles Caporaso,0,1,0.0,1.058462626990192,0,-1.058462626990192,0,0,0.0,0.0,0,0.0,1.058462626990192,0,-1.058462626990192
George Mason,Kory Mincy,4,7,0.5714285714285714,6.895448423120813,11,4.104551576879187,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.335210124710523,13,4.664789875289477
George Mason,Riley Allenspach,4,6,0.6666666666666666,5.735507558971367,8,2.264492441028633,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,7.175269260561077,8,0.8247307394389232
George Mason,Malik Presley,2,2,1.0,2.0164738296499265,4,1.9835261703500735,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,4.176116382034491,5,0.8238836179655094
George Mason,Dola Adebayo,1,3,0.3333333333333333,3.3692681106514435,2,-1.3692681106514435,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.809029812241153,4,-0.8090298122411532
George Mason,Masai Troutman,5,10,0.5,9.051565143431308,11,1.9484348565686922,9,11,0.8181818181818182,7.918689358743403,9,1.0813106412565974,16.97025450217471,20,3.0297454978252887
George Mason,Nick Ellington,3,6,0.5,5.644923241499133,6,0.35507675850086695,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,7.084684943088843,6,-1.0846849430888428
George Mason,Emmanuel Kanga,1,2,0.5,1.9430258738746695,2,0.05697412612533048,7,10,0.7,7.198808507948548,7,-0.19880850794854776,9.141834381823218,9,-0.14183438182321773
George Mason,Jahari Long,3,4,0.75,3.7824583566116865,8,4.217541643388314,0,0,0.0,0.0,0,0.0,3.7824583566116865,8,4.217541643388314
George Mason,Stas Sivka,1,1,1.0,1.565201538244532,3,1.434798461755468,0,0,0.0,0.0,0,0.0,1.565201538244532,3,1.434798461755468
George Mason,Devin Booker,1,1,1.0,0.8430888638338853,2,1.1569111361661149,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,3.0027314162184493,3,-0.0027314162184493007
George Mason,Ben Woodward,0,1,0.0,0.9107499656994998,0,-0.9107499656994998,0,0,0.0,0.0,0,0.0,0.9107499656994998,0,-0.9107499656994998
