Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Maryland Eastern Shore,Joseph Locandro,3,4,0.75,4.248803373991121,7,2.7511966260088787,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.688565075580831,8,2.311434924419169
Maryland Eastern Shore,Jaden Cooper,6,16,0.375,16.292838695954465,17,0.7071613040455347,0,0,0.0,0.0,0,0.0,16.292838695954465,17,0.7071613040455347
Maryland Eastern Shore,Zion Obanla,6,7,0.8571428571428571,6.8738457345501525,12,5.1261542654498475,3,6,0.5,4.319285104769128,3,-1.3192851047691283,11.19313083931928,15,3.8068691606807192
Maryland Eastern Shore,Levi Beckwith,0,3,0.0,2.7688329620090095,0,-2.7688329620090095,0,0,0.0,0.0,0,0.0,2.7688329620090095,0,-2.7688329620090095
Maryland Eastern Shore,Christopher Flippin,4,5,0.8,5.533751462086094,8,2.4662485379139056,0,0,0.0,0.0,0,0.0,5.533751462086094,8,2.4662485379139056
Maryland Eastern Shore,Justin Monden,8,16,0.5,16.041690750697285,18,1.9583092493027152,1,4,0.25,2.879523403179419,1,-1.879523403179419,18.921214153876704,19,0.07878584612329576
Maryland Eastern Shore,Maurio Hanson Jr.,0,1,0.0,0.7597989648202106,0,-0.7597989648202106,0,0,0.0,0.0,0,0.0,0.7597989648202106,0,-0.7597989648202106
Maryland Eastern Shore,Trey Brown,5,11,0.45454545454545453,9.664769866137629,11,1.335230133862371,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,11.824412418522193,13,1.1755875814778065
Maryland Eastern Shore,Dorion Staples,1,2,0.5,1.9776872878742537,3,1.0223127121257463,0,0,0.0,0.0,0,0.0,1.9776872878742537,3,1.0223127121257463
Maryland Eastern Shore,Michael Teal,0,1,0.0,1.0134220899495399,0,-1.0134220899495399,0,0,0.0,0.0,0,0.0,1.0134220899495399,0,-1.0134220899495399
Maryland Eastern Shore,Jaden Johnson,0,1,0.0,0.9831375480653659,0,-0.9831375480653659,0,0,0.0,0.0,0,0.0,0.9831375480653659,0,-0.9831375480653659
Longwood,Alphonzo Billups III,4,6,0.6666666666666666,6.376037234978165,10,3.623962765021835,0,0,0.0,0.0,0,0.0,6.376037234978165,10,3.623962765021835
Longwood,Johan Nziemi,3,8,0.375,7.712413632416265,7,-0.7124136324162649,10,10,1.0,7.198808507948548,10,2.8011914920514522,14.911222140364814,17,2.0887778596351865
Longwood,Elijah Tucker,5,9,0.5555555555555556,9.258427979052028,10,0.7415720209479719,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.698189680641738,12,1.3018103193582622
Longwood,Jaylen Benard,1,5,0.2,5.40316454336565,2,-3.4031645433656497,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.842926244955359,3,-3.8429262449553594
Longwood,Redd Thompson Jr.,0,1,0.0,0.8806166544111997,0,-0.8806166544111997,0,0,0.0,0.0,0,0.0,0.8806166544111997,0,-0.8806166544111997
Longwood,Elijah Jones,3,6,0.5,5.7678739925704345,6,0.23212600742956546,4,4,1.0,2.879523403179419,4,1.120476596820581,8.647397395749854,10,1.352602604250146
Longwood,Jaylin Payne,1,3,0.3333333333333333,3.152115352285241,2,-1.1521153522852412,0,0,0.0,0.0,0,0.0,3.152115352285241,2,-1.1521153522852412
Longwood,Jacoi Hutchinson,5,12,0.4166666666666667,10.379913214298673,11,0.6200867857013268,10,10,1.0,7.198808507948548,10,2.8011914920514522,17.57872172224722,21,3.42127827775278
Longwood,Emanuel Richards,2,10,0.2,9.305807048200979,4,-5.305807048200979,3,6,0.5,4.319285104769128,3,-1.3192851047691283,13.625092152970108,7,-6.625092152970108
