Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Navy,Austin Benigni,5,20,0.25,17.224064309823714,13,-4.224064309823714,6,6,1.0,4.319285104769128,6,1.6807148952308717,21.543349414592843,19,-2.543349414592843
Navy,Aidan Kehoe,2,7,0.2857142857142857,6.881736985339442,4,-2.881736985339442,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.321498686929152,5,-3.321498686929152
Navy,Jinwoo Kim,5,17,0.29411764705882354,15.456496242850346,12,-3.4564962428503456,2,2,1.0,1.4397617015897095,2,0.5602382984102905,16.896257944440055,14,-2.8962579444400554
Navy,Mike Woods,3,9,0.3333333333333333,8.871733675503918,7,-1.8717336755039184,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.311495377093628,9,-1.3114953770936282
Navy,Donovan Draper,2,10,0.2,10.150692841344524,4,-6.150692841344524,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,11.590454542934234,5,-6.590454542934234
Navy,Cooper Jackson,3,3,1.0,3.064413296340413,6,2.935586703659587,0,0,0.0,0.0,0,0.0,3.064413296340413,6,2.935586703659587
Navy,Jordan Pennick,1,2,0.5,1.6019748920415466,2,0.39802510795845336,0,0,0.0,0.0,0,0.0,1.6019748920415466,2,0.39802510795845336
Navy,Cam Cole,0,1,0.0,1.1977730894327518,0,-1.1977730894327518,0,0,0.0,0.0,0,0.0,1.1977730894327518,0,-1.1977730894327518
Navy,David Burnett,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,1.4397617015897095,1,-0.4397617015897095
North Carolina,Henri Veesaar,4,9,0.4444444444444444,8.393147002353247,9,0.6068529976467527,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.832908703942957,10,0.16709129605704298
North Carolina,Caleb Wilson,9,13,0.6923076923076923,13.100421833488438,18,4.899578166511562,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,18.13958778905242,23,4.86041221094758
North Carolina,Kyan Evans,1,9,0.1111111111111111,9.590877412511306,3,-6.590877412511306,0,0,0.0,0.0,0,0.0,9.590877412511306,3,-6.590877412511306
North Carolina,Luka Bogavac,4,10,0.4,9.642923699613275,11,1.3570763003867246,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,14.682089655177258,16,1.3179103448227423
North Carolina,Jarin Stevenson,4,6,0.6666666666666666,5.834484742837692,9,3.1655152571623084,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.274246444427401,11,3.7257535555725987
North Carolina,Derek Dixon,2,6,0.3333333333333333,6.610873058056239,6,-0.6108730580562387,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.050634759645948,8,-0.050634759645948435
North Carolina,Zayden High,0,1,0.0,1.0134220899495399,0,-1.0134220899495399,0,0,0.0,0.0,0,0.0,1.0134220899495399,0,-1.0134220899495399
North Carolina,Jaydon Young,0,1,0.0,0.8587518760465374,0,-0.8587518760465374,0,0,0.0,0.0,0,0.0,0.8587518760465374,0,-0.8587518760465374
North Carolina,Jonathan Powell,0,1,0.0,1.0463306518353623,0,-1.0463306518353623,0,0,0.0,0.0,0,0.0,1.0463306518353623,0,-1.0463306518353623
North Carolina,James Brown,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397617015897095,2,0.5602382984102905,1.4397617015897095,2,0.5602382984102905
