Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
North Carolina A&T,Trent Middleton Jr.,4,8,0.5,7.809586275678884,9,1.1904137243211164,4,5,0.8,3.599404253974274,4,0.4005957460257261,11.408990529653158,13,1.591009470346842
North Carolina A&T,Lewis Walker,7,13,0.5384615384615384,11.994795803222928,15,3.005204196777072,9,11,0.8181818181818182,7.918689358743403,9,1.0813106412565974,19.91348516196633,24,4.086514838033668
North Carolina A&T,Bryson Ogletree,1,4,0.25,4.1350217970479415,3,-1.1350217970479415,0,0,0.0,0.0,0,0.0,4.1350217970479415,3,-1.1350217970479415
North Carolina A&T,Will Felton,7,8,0.875,7.625108312370451,14,6.374891687629549,1,1,1.0,0.7198808507948548,1,0.28011914920514525,8.344989163165305,15,6.655010836834695
North Carolina A&T,Brooklyn Vick,2,8,0.25,6.79318720981377,5,-1.7931872098137696,6,6,1.0,4.319285104769128,6,1.6807148952308717,11.112472314582899,11,-0.11247231458289875
North Carolina A&T,Amadou Doumbia,2,3,0.6666666666666666,2.716534755403174,4,1.283465244596826,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.156296456992884,5,0.8437035430071163
North Carolina A&T,Mujahiid Burton,3,6,0.5,6.715726883357704,8,1.2842731166422956,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,8.155488584947413,8,-0.15548858494741324
Morgan State,Walter Peggs Jr.,3,8,0.375,8.116049882746804,8,-0.11604988274680395,0,0,0.0,0.0,0,0.0,8.116049882746804,8,-0.11604988274680395
Morgan State,Dallas James,0,3,0.0,2.795563704883389,0,-2.795563704883389,0,0,0.0,0.0,0,0.0,2.795563704883389,0,-2.795563704883389
Morgan State,Alfred Worrell Jr.,5,18,0.2777777777777778,18.214913457714328,12,-6.214913457714328,1,1,1.0,0.7198808507948548,1,0.28011914920514525,18.934794308509183,13,-5.934794308509183
Morgan State,Christian Oliver,2,6,0.3333333333333333,5.342061931735297,4,-1.342061931735297,3,4,0.75,2.879523403179419,3,0.12047659682058098,8.221585334914716,7,-1.2215853349147157
Morgan State,Christian Meeks,1,1,1.0,1.0643213778523148,2,0.9356786221476852,0,0,0.0,0.0,0,0.0,1.0643213778523148,2,0.9356786221476852
Morgan State,Elijah Davis,8,13,0.6153846153846154,11.71666756080145,16,4.283332439198549,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,16.755833516365435,21,4.244166483634565
Morgan State,Rob Lawson,5,8,0.625,7.3396905271068285,11,3.6603094728931715,1,1,1.0,0.7198808507948548,1,0.28011914920514525,8.059571377901683,12,3.9404286220983167
Morgan State,Marland Harris,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397617015897095,2,0.5602382984102905,1.4397617015897095,2,0.5602382984102905
Morgan State,Manok Lual,1,1,1.0,0.8782587704731749,2,1.1217412295268252,0,0,0.0,0.0,0,0.0,0.8782587704731749,2,1.1217412295268252
Morgan State,Eugene Alvin,3,4,0.75,3.63407513111783,6,2.36592486888217,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,5.073836832707539,6,0.9261631672924606
