Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Saint Peter's,Brent Bland,7,17,0.4117647058823529,17.75670218128295,20,2.24329781871705,1,1,1.0,0.7198808507948548,1,0.28011914920514525,18.476583032077805,21,2.523416967922195
Saint Peter's,Shaedon Simpson,0,1,0.0,1.0457066366869168,0,-1.0457066366869168,0,0,0.0,0.0,0,0.0,1.0457066366869168,0,-1.0457066366869168
Saint Peter's,J'Quan Ewing,0,1,0.0,0.9063877508896923,0,-0.9063877508896923,0,0,0.0,0.0,0,0.0,0.9063877508896923,0,-0.9063877508896923
Saint Peter's,Bryce Eaton,5,10,0.5,9.498994326839064,13,3.501005673160936,0,0,0.0,0.0,0,0.0,9.498994326839064,13,3.501005673160936
Saint Peter's,Lucas Scroggins,2,2,1.0,2.0334653650934396,4,1.9665346349065604,1,1,1.0,0.7198808507948548,1,0.28011914920514525,2.7533462158882944,5,2.2466537841117056
Saint Peter's,TJ Robinson,4,13,0.3076923076923077,12.663358070746732,9,-3.6633580707467317,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.103119772336441,11,-3.1031197723364414
Saint Peter's,Jahki Gupton,4,7,0.5714285714285714,6.688264524834968,8,1.3117354751650323,0,0,0.0,0.0,0,0.0,6.688264524834968,8,1.3117354751650323
Saint Peter's,Eric Morgan Jr.,1,5,0.2,4.920737549974773,3,-1.9207375499747732,0,0,0.0,0.0,0,0.0,4.920737549974773,3,-1.9207375499747732
Saint Peter's,Adetokunbo Bakare,1,3,0.3333333333333333,2.933036395972608,3,0.06696360402739199,0,0,0.0,0.0,0,0.0,2.933036395972608,3,0.06696360402739199
Saint Peter's,Bol Agu,2,4,0.5,4.009879443060242,4,-0.009879443060241577,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.449641144649951,6,0.5503588553500487
Delaware,Justyn Fernandez,6,11,0.5454545454545454,10.045918465004291,14,3.9540815349957086,4,4,1.0,2.879523403179419,4,1.120476596820581,12.92544186818371,18,5.074558131816289
Delaware,Macon Emory,6,11,0.5454545454545454,11.810552106801401,14,2.189447893198599,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.69007550998082,17,2.3099244900191795
Delaware,Jameel Brown,2,2,1.0,2.0020430983651445,6,3.9979569016348555,0,0,0.0,0.0,0,0.0,2.0020430983651445,6,3.9979569016348555
Delaware,Christian Bliss,5,12,0.4166666666666667,11.34079914074598,12,0.6592008592540193,3,6,0.5,4.319285104769128,3,-1.3192851047691283,15.660084245515108,15,-0.6600842455151081
Delaware,Houston Emory,0,1,0.0,0.7452651096059695,0,-0.7452651096059695,0,0,0.0,0.0,0,0.0,0.7452651096059695,0,-0.7452651096059695
Delaware,Mason Ellison,1,3,0.3333333333333333,2.8810846823332157,3,0.11891531766678431,0,0,0.0,0.0,0,0.0,2.8810846823332157,3,0.11891531766678431
Delaware,Tyler Houser,6,8,0.75,8.24926824625812,13,4.75073175374188,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,12.568553351027248,17,4.431446648972752
Delaware,Alex Kazanecki,2,4,0.5,4.998015714431474,5,0.001984285568526367,0,0,0.0,0.0,0,0.0,4.998015714431474,5,0.001984285568526367
