Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Loyola Maryland,Jonas Sirtautas,5,7,0.7142857142857143,6.838740085752174,10,3.161259914247826,0,3,0.0,2.159642552384564,0,-2.159642552384564,8.998382638136738,10,1.0016173618632624
Loyola Maryland,Braeden Speed,2,8,0.25,8.129673463602762,6,-2.129673463602762,5,8,0.625,5.759046806358838,5,-0.759046806358838,13.888720269961599,11,-2.888720269961599
Loyola Maryland,Jacob Theodosiou,7,13,0.5384615384615384,13.464852439769553,15,1.5351475602304472,6,8,0.75,5.759046806358838,6,0.24095319364116197,19.22389924612839,21,1.77610075387161
Loyola Maryland,Jordan Stiemke,5,13,0.38461538461538464,13.633054817142849,11,-2.633054817142849,0,0,0.0,0.0,0,0.0,13.633054817142849,11,-2.633054817142849
Loyola Maryland,Emmett Adair,4,7,0.5714285714285714,7.159024758506982,11,3.840975241493018,0,0,0.0,0.0,0,0.0,7.159024758506982,11,3.840975241493018
Loyola Maryland,Sam Springer,0,2,0.0,1.782868007643767,0,-1.782868007643767,0,0,0.0,0.0,0,0.0,1.782868007643767,0,-1.782868007643767
Loyola Maryland,Tyson Commander,2,2,1.0,2.259927936487186,5,2.740072063512814,0,0,0.0,0.0,0,0.0,2.259927936487186,5,2.740072063512814
Loyola Maryland,Sebastien Emenalo,1,2,0.5,2.2855026012500597,2,-0.28550260125005966,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.7252643028397694,4,0.2747356971602306
Loyola Maryland,Troy Cicero Jr.,1,2,0.5,2.4277974398755626,3,0.5722025601244374,0,0,0.0,0.0,0,0.0,2.4277974398755626,3,0.5722025601244374
Loyola Maryland,Carter Berg-McLean,1,2,0.5,2.020006476124195,2,-0.02000647612419515,0,0,0.0,0.0,0,0.0,2.020006476124195,2,-0.02000647612419515
Duquesne,Jimmie Williams,2,8,0.25,8.977306517638095,5,-3.9773065176380946,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.856829920817514,8,-3.856829920817514
Duquesne,Tarence Guinyard,6,12,0.5,13.227843208574813,14,0.7721567914251874,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,17.54712831334394,19,1.45287168665606
Duquesne,John Hugley IV,7,8,0.875,7.459844291043918,15,7.540155708956082,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,12.499010246607902,20,7.500989753392098
Duquesne,Cam Crawford,8,12,0.6666666666666666,11.873095449194668,19,7.126904550805332,0,0,0.0,0.0,0,0.0,11.873095449194668,19,7.126904550805332
Duquesne,Jakub Necas,3,4,0.75,4.149934869643341,7,2.8500651303566586,0,0,0.0,0.0,0,0.0,4.149934869643341,7,2.8500651303566586
Duquesne,Dom Aekins,0,2,0.0,1.7836647707090874,0,-1.7836647707090874,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.223426472298797,1,-2.223426472298797
Duquesne,Alex Williams,1,3,0.3333333333333333,3.2263927232919256,2,-1.2263927232919256,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,3.9462735740867805,2,-1.9462735740867805
Duquesne,Stef van Bussel,1,1,1.0,1.004952404681162,2,0.995047595318838,0,0,0.0,0.0,0,0.0,1.004952404681162,2,0.995047595318838
Duquesne,David Dixon,4,6,0.6666666666666666,6.2159433264948465,8,1.7840566735051535,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.655705028084556,10,2.344294971915444
Duquesne,Brandon Hall,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397617015897095,2,0.5602382984102905,1.4397617015897095,2,0.5602382984102905
Duquesne,Maximus Edwards,0,2,0.0,2.0113167172188753,0,-2.0113167172188753,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.451078418808585,2,-1.451078418808585
