Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
IU Indianapolis,Kyler D'Augustino,3,7,0.42857142857142855,7.097934023990316,8,0.9020659760096841,0,0,0.0,0.0,0,0.0,7.097934023990316,8,0.9020659760096841
IU Indianapolis,Matt Compas,4,10,0.4,10.93784275355223,10,-0.9378427535522302,0,0,0.0,0.0,0,0.0,10.93784275355223,10,-0.9378427535522302
IU Indianapolis,Maguire Mitchell,2,11,0.18181818181818182,11.861143452026965,5,-6.861143452026965,0,0,0.0,0.0,0,0.0,11.861143452026965,5,-6.861143452026965
IU Indianapolis,Reece Hagy,0,1,0.0,0.9107499656994998,0,-0.9107499656994998,0,3,0.0,2.159642552384564,0,-2.159642552384564,3.070392518084064,0,-3.070392518084064
IU Indianapolis,Gabe Stewart,0,2,0.0,2.057060233667736,0,-2.057060233667736,1,1,1.0,0.7198808507948548,1,0.28011914920514525,2.776941084462591,1,-1.776941084462591
IU Indianapolis,JP Dragas,7,13,0.5384615384615384,13.200671768137095,20,6.799328231862905,0,0,0.0,0.0,0,0.0,13.200671768137095,20,6.799328231862905
IU Indianapolis,Micah Davis,1,4,0.25,4.135530869502912,2,-2.1355308695029116,0,0,0.0,0.0,0,0.0,4.135530869502912,2,-2.1355308695029116
IU Indianapolis,Finley Woodward,4,7,0.5714285714285714,7.001950447343785,8,0.998049552656215,0,0,0.0,0.0,0,0.0,7.001950447343785,8,0.998049552656215
IU Indianapolis,Kameron Tinsley,5,6,0.8333333333333334,6.726574450644136,14,7.273425549355864,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.166336152233844,15,6.8336638477661555
IU Indianapolis,Aiden Miller,3,6,0.5,7.465152076815026,9,1.5348479231849739,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.904913778404735,11,2.095086221595265
Alabama State,R'Chaun King,8,9,0.8888888888888888,9.381171080706924,16,6.618828919293076,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,14.420337036270908,21,6.579662963729092
Alabama State,Jerquarius Stanback,4,10,0.4,10.412724225952147,8,-2.4127242259521466,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.852485927541856,10,-1.8524859275418564
Alabama State,Cameron Palesse,5,9,0.5555555555555556,9.02025308766487,12,2.9797469123351306,0,0,0.0,0.0,0,0.0,9.02025308766487,12,2.9797469123351306
Alabama State,Micah Simpson,5,10,0.5,10.587957318299367,12,1.4120426817006333,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,15.62712327386335,17,1.3728767261366492
Alabama State,Tyler Mason,4,5,0.8,5.083793821762981,8,2.9162061782370188,0,0,0.0,0.0,0,0.0,5.083793821762981,8,2.9162061782370188
Alabama State,Asjon Anderson,4,12,0.3333333333333333,12.31447467854234,11,-1.3144746785423393,8,8,1.0,5.759046806358838,8,2.240953193641162,18.07352148490118,19,0.9264785150988217
Alabama State,Tyler Byrd,5,6,0.8333333333333334,5.762369683118768,11,5.237630316881232,0,0,0.0,0.0,0,0.0,5.762369683118768,11,5.237630316881232
Alabama State,Damarien Yates,1,1,1.0,0.695764144470113,3,2.304235855529887,0,0,0.0,0.0,0,0.0,0.695764144470113,3,2.304235855529887
