Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Charleston Southern,Reis Jones,2,4,0.5,3.521997163362044,4,0.47800283663795584,3,3,1.0,2.159642552384564,3,0.8403574476154358,5.681639715746608,7,1.3183602842533917
Charleston Southern,Armari Carraway,1,7,0.14285714285714285,6.6442916547953494,3,-3.6442916547953494,0,0,0.0,0.0,0,0.0,6.6442916547953494,3,-3.6442916547953494
Charleston Southern,Luke Williams,5,13,0.38461538461538464,12.803001881057654,13,0.19699811894234642,0,0,0.0,0.0,0,0.0,12.803001881057654,13,0.19699811894234642
Charleston Southern,Brycen Blaine,7,17,0.4117647058823529,14.88369923033692,18,3.1163007696630807,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,19.20298433510605,23,3.7970156648939515
Charleston Southern,Jesse Hafemeister,2,4,0.5,3.400945336611836,5,1.5990546633881642,0,0,0.0,0.0,0,0.0,3.400945336611836,5,1.5990546633881642
Charleston Southern,A'lahn Sumler,3,5,0.6,5.035056901822024,7,1.9649430981779759,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.474818603411734,8,1.5251813965882661
Charleston Southern,Lase Olalere,1,2,0.5,1.806426778375565,2,0.19357322162443502,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.2461884799652747,3,-0.2461884799652747
Charleston Southern,Trent Coleman,1,2,0.5,1.8735857597371877,3,1.1264142402628123,0,0,0.0,0.0,0,0.0,1.8735857597371877,3,1.1264142402628123
Charleston Southern,Jacob Taylor,1,1,1.0,1.0064284824497867,3,1.9935715175502133,0,0,0.0,0.0,0,0.0,1.0064284824497867,3,1.9935715175502133
Charleston Southern,Nate Brafford,3,5,0.6,5.370896526544863,9,3.629103473455137,0,0,0.0,0.0,0,0.0,5.370896526544863,9,3.629103473455137
East Carolina,Giovanni Emejuru,5,11,0.45454545454545453,10.252004960691465,10,-0.2520049606914654,8,12,0.6666666666666666,8.638570209538257,8,-0.6385702095382566,18.890575170229724,18,-0.8905751702297238
East Carolina,Corey Caulker,3,10,0.3,8.598452987043506,6,-2.5984529870435065,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.477976390222926,9,-2.477976390222926
East Carolina,Jordan Riley,7,15,0.4666666666666667,13.110103430201367,14,0.8898965697986334,1,4,0.25,2.879523403179419,1,-1.879523403179419,15.989626833380786,15,-0.989626833380786
East Carolina,Tybo Bailey,5,11,0.45454545454545453,10.529130491091944,12,1.4708695089080557,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,11.2490113418868,12,0.7509886581132008
East Carolina,Luke Davis,2,4,0.5,3.6747030732529815,4,0.3252969267470185,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,5.834345625637546,5,-0.8343456256375461
East Carolina,Reid Cason,1,1,1.0,0.85668386375548,2,1.14331613624452,0,0,0.0,0.0,0,0.0,0.85668386375548,2,1.14331613624452
East Carolina,Vito Perkovic,0,3,0.0,2.7825947708282435,0,-2.7825947708282435,0,0,0.0,0.0,0,0.0,2.7825947708282435,0,-2.7825947708282435
East Carolina,Eli DeLaurier,1,1,1.0,0.9598675400940184,2,1.0401324599059816,0,0,0.0,0.0,0,0.0,0.9598675400940184,2,1.0401324599059816
East Carolina,Isaiah Mbeng,1,2,0.5,1.9461103100908803,2,0.05388968990911969,0,0,0.0,0.0,0,0.0,1.9461103100908803,2,0.05388968990911969
