Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Hampton,Josh Ogundele,2,3,0.6666666666666666,3.2305964483057394,5,1.7694035516942606,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,4.670358149895449,5,0.3296418501045508
Hampton,Michael Eley,4,11,0.36363636363636365,10.837359656337242,10,-0.8373596563372416,4,4,1.0,2.879523403179419,4,1.120476596820581,13.716883059516661,14,0.2831169404833389
Hampton,Jalyke Gaines-Wyatt,2,6,0.3333333333333333,5.268063858163903,5,-0.2680638581639032,0,0,0.0,0.0,0,0.0,5.268063858163903,5,-0.2680638581639032
Hampton,Daniel Johnson,6,11,0.5454545454545454,9.516279817601438,14,4.483720182398562,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,11.675922369986003,15,3.3240776300139974
Hampton,Xzavier Long,2,4,0.5,4.175369222581084,5,0.8246307774189159,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,5.615130924170794,5,-0.6151309241707938
Hampton,Christian Watson,3,5,0.6,4.508988799577951,7,2.491011200422049,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.948750501167661,9,3.0512494988323393
Hampton,Etienne Strothers,1,6,0.16666666666666666,5.467482681283999,2,-3.4674826812839994,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.907244382873709,3,-3.907244382873709
Hampton,Aidan Haskins,0,1,0.0,0.9467049493959065,0,-0.9467049493959065,0,0,0.0,0.0,0,0.0,0.9467049493959065,0,-0.9467049493959065
Hampton,Quintin Cooper,2,5,0.4,5.584067349514789,4,-1.5840673495147888,0,0,0.0,0.0,0,0.0,5.584067349514789,4,-1.5840673495147888
Norfolk State,Anthony McComb III,5,13,0.38461538461538464,12.195209136856104,11,-1.1952091368561035,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,14.354851689240668,13,-1.3548516892406681
Norfolk State,Devon Ellis,2,7,0.2857142857142857,6.907931952839371,5,-1.9079319528393706,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.78745535601879,8,-1.7874553560187891
Norfolk State,Elijah Jamison,6,14,0.42857142857142855,12.554961529025913,13,0.44503847097408666,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,17.594127484589897,18,0.4058725154101026
Norfolk State,Keyontae Lewis,3,7,0.42857142857142855,6.965091798926208,6,-0.965091798926208,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,7.684972649721063,6,-1.6849726497210629
Norfolk State,Jordan Leaks,3,6,0.5,5.9421658827186,8,2.0578341172814003,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,7.381927584308309,8,0.6180724156916906
Norfolk State,Dian Wright-Forde,2,3,0.6666666666666666,3.078827898791063,4,0.9211721012089371,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,4.518589600380772,4,-0.5185896003807722
Norfolk State,Melo Baines,1,1,1.0,1.0134220899495399,2,0.9865779100504601,0,0,0.0,0.0,0,0.0,1.0134220899495399,2,0.9865779100504601
Norfolk State,Jaquel Morris,1,1,1.0,1.1219996315184397,2,0.8780003684815603,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,3.2816421839030037,3,-0.28164218390300366
