Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Morgan State,Christian Oliver,2,3,0.6666666666666666,2.8785142315688015,4,1.1214857684311985,0,0,0.0,0.0,0,0.0,2.8785142315688015,4,1.1214857684311985
Morgan State,Elijah Davis,6,10,0.6,9.768552066614872,12,2.2314479333851285,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,11.208313768204581,12,0.7916862317954187
Morgan State,Rob Lawson,2,9,0.2222222222222222,7.896081489493866,4,-3.8960814894938656,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.335843191083574,5,-4.335843191083574
Morgan State,Alfred Worrell Jr.,1,9,0.1111111111111111,8.897223326823964,3,-5.897223326823964,4,5,0.8,3.599404253974274,4,0.4005957460257261,12.496627580798238,7,-5.496627580798238
Morgan State,Walter Peggs Jr.,3,9,0.3333333333333333,8.780577315869259,8,-0.7805773158692588,0,0,0.0,0.0,0,0.0,8.780577315869259,8,-0.7805773158692588
Morgan State,Dallas James,1,2,0.5,1.7388562042432478,2,0.2611437957567522,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.178617905832957,4,0.8213820941670429
Morgan State,Marland Harris,0,2,0.0,1.712376670044562,0,-1.712376670044562,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,3.1521383716342717,0,-3.1521383716342717
Morgan State,David Bumpass,0,1,0.0,1.022039201651161,0,-1.022039201651161,0,0,0.0,0.0,0,0.0,1.022039201651161,0,-1.022039201651161
Morgan State,Manok Lual,1,3,0.3333333333333333,2.639836731553385,2,-0.6398367315533848,0,0,0.0,0.0,0,0.0,2.639836731553385,2,-0.6398367315533848
Morgan State,Eugene Alvin,0,1,0.0,0.768773575360563,0,-0.768773575360563,0,0,0.0,0.0,0,0.0,0.768773575360563,0,-0.768773575360563
Morgan State,Christian Meeks,3,4,0.75,4.121008785769372,6,1.878991214230628,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.000532188948791,9,1.9994678110512094
Morgan State,Trent Edwards,2,5,0.4,5.241537333162076,4,-1.2415373331620758,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,7.4011798855466395,5,-2.4011798855466395
Morgan State,Breon Barnett,0,1,0.0,1.1951061531907214,0,-1.1951061531907214,0,0,0.0,0.0,0,0.0,1.1951061531907214,0,-1.1951061531907214
Old Dominion,LJ Thomas,4,7,0.5714285714285714,6.361060242990025,8,1.6389397570099753,3,3,1.0,2.159642552384564,3,0.8403574476154358,8.52070279537459,11,2.4792972046254107
Old Dominion,Caelum Swanton-Rodger,3,5,0.6,4.902735877084706,6,1.097264122915294,2,5,0.4,3.599404253974274,2,-1.5994042539742739,8.50214013105898,8,-0.5021401310589795
Old Dominion,Jordan Battle,3,6,0.5,5.769537809240983,8,2.2304621907590167,4,5,0.8,3.599404253974274,4,0.4005957460257261,9.368942063215258,12,2.6310579367847424
Old Dominion,Robert Davis Jr.,2,9,0.2222222222222222,8.820164679239152,4,-4.820164679239152,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,10.979807231623717,6,-4.979807231623717
Old Dominion,Scottie Hubbard,1,3,0.3333333333333333,3.206856580115451,3,-0.20685658011545094,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,5.3664991325000155,5,-0.36649913250001553
Old Dominion,Jared Turner,5,8,0.625,7.84124667327764,14,6.15875332672236,0,0,0.0,0.0,0,0.0,7.84124667327764,14,6.15875332672236
Old Dominion,Donovan Raymond,1,6,0.16666666666666666,5.888867991422389,2,-3.888867991422389,3,4,0.75,2.879523403179419,3,0.12047659682058098,8.768391394601808,5,-3.7683913946018084
Old Dominion,Zacch Wiggins,6,10,0.6,10.046378374269626,14,3.9536216257303742,4,4,1.0,2.879523403179419,4,1.120476596820581,12.925901777449045,18,5.074098222550955
Old Dominion,Drew McKenna,4,5,0.8,5.545292563265854,9,3.4547074367341457,0,0,0.0,0.0,0,0.0,5.545292563265854,9,3.4547074367341457
Old Dominion,Cooper Jones,0,1,0.0,1.19747603270371,0,-1.19747603270371,0,0,0.0,0.0,0,0.0,1.19747603270371,0,-1.19747603270371
