Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Nicholls,Christian Winborne,3,16,0.1875,16.39291716902172,9,-7.392917169021722,0,0,0.0,0.0,0,0.0,16.39291716902172,9,-7.392917169021722
Nicholls,Grant Sanders,1,4,0.25,3.4420305789115817,2,-1.4420305789115817,0,0,0.0,0.0,0,0.0,3.4420305789115817,2,-1.4420305789115817
Nicholls,Sincere Malone,6,9,0.6666666666666666,8.58011230428413,15,6.41988769571587,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.45963570746355,18,6.5403642925364505
Nicholls,Jalik Dunkley,9,13,0.6923076923076923,12.744801921084875,18,5.255198078915125,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,17.78396787664886,22,4.216032123351141
Nicholls,Zaiden Cross,5,12,0.4166666666666667,13.114599300003327,13,-0.11459930000332719,0,0,0.0,0.0,0,0.0,13.114599300003327,13,-0.11459930000332719
Nicholls,Trae English,4,13,0.3076923076923077,11.993011346175471,9,-2.9930113461754715,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,16.3122964509446,13,-3.3122964509446007
Nicholls,Jalin Rice,2,2,1.0,1.7937611156670532,4,2.206238884332947,0,0,0.0,0.0,0,0.0,1.7937611156670532,4,2.206238884332947
Oklahoma State,Ryan Crotty,2,3,0.6666666666666666,3.149926333855698,5,1.850073666144302,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,8.189092289419682,11,2.8109077105803184
Oklahoma State,Lefteris Mantzoukas,2,4,0.5,4.0113076064353255,6,1.9886923935646745,0,0,0.0,0.0,0,0.0,4.0113076064353255,6,1.9886923935646745
Oklahoma State,Parsa Fallah,5,7,0.7142857142857143,6.648058422327212,10,3.351941577672788,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.087820123916922,12,3.912179876083078
Oklahoma State,Jaylen Curry,8,11,0.7272727272727273,10.246452398442614,18,7.753547601557386,12,12,1.0,8.638570209538257,12,3.3614297904617434,18.885022607980872,30,11.114977392019128
Oklahoma State,Christian Coleman,3,10,0.3,8.733475333937768,6,-2.7334753339377684,0,0,0.0,0.0,0,0.0,8.733475333937768,6,-2.7334753339377684
Oklahoma State,Vyctorius Miller,1,5,0.2,4.856613973955556,2,-2.8566139739555556,0,0,0.0,0.0,0,0.0,4.856613973955556,2,-2.8566139739555556
Oklahoma State,Anthony Roy,4,8,0.5,8.228550559950921,10,1.7714494400490786,0,0,0.0,0.0,0,0.0,8.228550559950921,10,1.7714494400490786
Oklahoma State,Kanye Clary,1,3,0.3333333333333333,3.109437788882852,3,-0.10943778888285216,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.549199490472562,4,-0.5491994904725619
Oklahoma State,Kirk Cole,0,1,0.0,1.0916401403309066,0,-1.0916401403309066,0,0,0.0,0.0,0,0.0,1.0916401403309066,0,-1.0916401403309066
Oklahoma State,Andrija Vukovic,2,2,1.0,1.8992856859394007,4,2.1007143140605993,4,4,1.0,2.879523403179419,4,1.120476596820581,4.77880908911882,8,3.2211909108811803
Oklahoma State,Isaiah Coleman,3,5,0.6,4.478691811501164,6,1.5213081884988364,0,0,0.0,0.0,0,0.0,4.478691811501164,6,1.5213081884988364
