Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
North Carolina Central,Gage Lattimore,4,12,0.3333333333333333,12.014973857533866,10,-2.0149738575338656,3,3,1.0,2.159642552384564,3,0.8403574476154358,14.17461640991843,13,-1.1746164099184302
North Carolina Central,Khouri Carvey,6,9,0.6666666666666666,8.668895168238999,13,4.331104831761001,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,10.828537720623563,15,4.171462279376437
North Carolina Central,Dionte Johnson,1,6,0.16666666666666666,6.4412069250463455,3,-3.4412069250463455,0,0,0.0,0.0,0,0.0,6.4412069250463455,3,-3.4412069250463455
North Carolina Central,Kyric Davis,4,10,0.4,9.845202408213552,8,-1.8452024082135523,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,12.004844960598117,10,-2.004844960598117
North Carolina Central,Kelechi Okworogwo,1,7,0.14285714285714285,6.660715418317504,2,-4.660715418317504,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.100477119907213,4,-4.100477119907213
North Carolina Central,Ryan Archey,0,2,0.0,1.8997967228973742,0,-1.8997967228973742,0,0,0.0,0.0,0,0.0,1.8997967228973742,0,-1.8997967228973742
North Carolina Central,Tekao Carpenter,2,3,0.6666666666666666,2.9870157047970665,5,2.0129842952029335,0,0,0.0,0.0,0,0.0,2.9870157047970665,5,2.0129842952029335
North Carolina Central,Khalil Arnold,0,1,0.0,0.7327536138118279,0,-0.7327536138118279,0,0,0.0,0.0,0,0.0,0.7327536138118279,0,-0.7327536138118279
North Carolina Central,Jae Slack,1,1,1.0,0.9290614423082544,3,2.0709385576917456,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.3688231438979637,5,2.6311768561020363
Dayton,Jordan Derkack,0,3,0.0,2.9200837872135543,0,-2.9200837872135543,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.359845488803264,1,-3.3598454888032636
Dayton,Keonte Jones,2,6,0.3333333333333333,6.16590086092973,4,-2.16590086092973,0,0,0.0,0.0,0,0.0,6.16590086092973,4,-2.16590086092973
Dayton,Javon Bennett,3,8,0.375,7.947943359527102,8,0.05205664047289815,0,0,0.0,0.0,0,0.0,7.947943359527102,8,0.05205664047289815
Dayton,Amaël L'Etang,5,9,0.5555555555555556,8.670487385021946,11,2.3295126149780536,0,0,0.0,0.0,0,0.0,8.670487385021946,11,2.3295126149780536
Dayton,Bryce Heard,3,6,0.5,6.421071846887033,8,1.578928153112967,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,7.860833548476743,8,0.13916645152325735
Dayton,Malcolm Thomas,3,6,0.5,5.757625876541125,6,0.242374123458875,6,8,0.75,5.759046806358838,6,0.24095319364116197,11.516672682899962,12,0.48332731710003785
Dayton,Jacob Conner,3,5,0.6,5.17302989102505,8,2.82697010897495,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.61279159261476,10,3.3872084073852404
Dayton,De'Shayne Montgomery,7,10,0.7,10.652824783015724,16,5.347175216984276,1,1,1.0,0.7198808507948548,1,0.28011914920514525,11.372705633810579,17,5.627294366189421
Dayton,Jaiun Simon,1,5,0.2,4.709211039808553,2,-2.7092110398085527,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.148972741398262,3,-3.1489727413982624
Dayton,Damon Friery,0,2,0.0,2.3787760813875733,0,-2.3787760813875733,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,3.818537782977283,0,-3.818537782977283
Dayton,Will Maxwell,0,1,0.0,1.1078946261703804,0,-1.1078946261703804,0,0,0.0,0.0,0,0.0,1.1078946261703804,0,-1.1078946261703804
Dayton,Makai Grant,0,2,0.0,2.612855265441511,0,-2.612855265441511,0,0,0.0,0.0,0,0.0,2.612855265441511,0,-2.612855265441511
