Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Northern Colorado,Ibu Yamazaki,6,12,0.5,10.929839361580635,15,4.070160638419365,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,13.0894819139652,17,3.9105180860348003
Northern Colorado,Brock Wisne,4,11,0.36363636363636365,11.11941279605156,8,-3.1194127960515594,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.55917449764127,10,-2.559174497641269
Northern Colorado,Quinn Denker,6,11,0.5454545454545454,11.398932165918751,14,2.601067834081249,7,9,0.7777777777777778,6.478927657153693,7,0.5210723428463071,17.877859823072445,21,3.122140176927555
Northern Colorado,Egan Shields,3,4,0.75,4.4325998227890935,6,1.5674001772109065,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,6.592242375173658,8,1.407757624826342
Northern Colorado,Ring Nyeri,2,6,0.3333333333333333,7.2320429170946445,5,-2.2320429170946445,0,0,0.0,0.0,0,0.0,7.2320429170946445,5,-2.2320429170946445
Northern Colorado,Vincent Delano,2,4,0.5,4.414818162544526,5,0.5851818374554743,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.8545798641342355,7,1.1454201358657645
Northern Colorado,Zach Bloch,0,1,0.0,1.1073568811359809,0,-1.1073568811359809,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.54711858272569,2,-0.5471185827256901
Northern Colorado,Ariik Mawien,0,2,0.0,2.090599220071853,0,-2.090599220071853,0,0,0.0,0.0,0,0.0,2.090599220071853,0,-2.090599220071853
Northern Colorado,Chancellor White,1,2,0.5,2.1095444486956505,2,-0.1095444486956505,0,0,0.0,0.0,0,0.0,2.1095444486956505,2,-0.1095444486956505
St. Thomas-Minnesota,Carter Bjerke,1,7,0.14285714285714285,6.8869802529853175,2,-4.8869802529853175,3,6,0.5,4.319285104769128,3,-1.3192851047691283,11.206265357754447,5,-6.206265357754447
St. Thomas-Minnesota,Nick Janowski,6,13,0.46153846153846156,13.158516796516777,15,1.8414832034832234,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.598278498106486,17,2.4017215018935136
St. Thomas-Minnesota,Nolan Minessale,8,14,0.5714285714285714,13.879507929977457,18,4.120492070022543,2,2,1.0,1.4397617015897095,2,0.5602382984102905,15.319269631567167,20,4.680730368432833
St. Thomas-Minnesota,Ben Oosterbaan,4,6,0.6666666666666666,6.349684637755983,10,3.650315362244017,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,7.069565488550838,10,2.930434511449162
St. Thomas-Minnesota,Austin Herro,1,4,0.25,4.163151239549875,2,-2.163151239549875,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.042674642729294,5,-2.0426746427292937
St. Thomas-Minnesota,Isaiah Johnson-Arigu,4,12,0.3333333333333333,11.782852760875553,8,-3.782852760875553,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,12.502733611670408,8,-4.502733611670408
St. Thomas-Minnesota,Ryan Dufault,4,4,1.0,3.9527862541677243,8,4.047213745832275,0,0,0.0,0.0,0,0.0,3.9527862541677243,8,4.047213745832275
St. Thomas-Minnesota,Ryan Lafferty,0,2,0.0,1.8171866547042381,0,-1.8171866547042381,0,0,0.0,0.0,0,0.0,1.8171866547042381,0,-1.8171866547042381
St. Thomas-Minnesota,Jermaine Coleman,0,2,0.0,1.792306393585449,0,-1.792306393585449,0,0,0.0,0.0,0,0.0,1.792306393585449,0,-1.792306393585449
