Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
South Carolina Upstate,Mason Bendinger,9,16,0.5625,15.501609760422195,18,2.4983902395778053,3,3,1.0,2.159642552384564,3,0.8403574476154358,17.66125231280676,21,3.3387476871932407
South Carolina Upstate,Karmani Gregory,2,10,0.2,9.256898655612105,4,-5.256898655612105,0,0,0.0,0.0,0,0.0,9.256898655612105,4,-5.256898655612105
South Carolina Upstate,Tyler Smith,1,7,0.14285714285714285,6.63519180689693,2,-4.63519180689693,0,0,0.0,0.0,0,0.0,6.63519180689693,2,-4.63519180689693
South Carolina Upstate,Isaiah Skinner,1,4,0.25,4.352226609531491,3,-1.352226609531491,0,0,0.0,0.0,0,0.0,4.352226609531491,3,-1.352226609531491
South Carolina Upstate,Coen Collier,0,3,0.0,2.745144610954661,0,-2.745144610954661,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,4.184906312544371,0,-4.184906312544371
South Carolina Upstate,Carmelo Adkins,5,15,0.3333333333333333,15.409027534593232,13,-2.409027534593232,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,20.448193490157216,19,-1.448193490157216
South Carolina Upstate,Learic Davis,2,6,0.3333333333333333,6.295976309948523,6,-0.2959763099485233,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.735738011538233,7,-0.735738011538233
South Carolina Upstate,Jafeth Martinez,3,6,0.5,6.466971643520376,6,-0.4669716435203757,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,7.906733345110085,6,-1.9067333451100854
South Carolina Upstate,Kanye Jones,1,2,0.5,2.144042420620104,2,-0.14404242062010386,0,0,0.0,0.0,0,0.0,2.144042420620104,2,-0.14404242062010386
West Georgia,Chas Lewless,0,8,0.0,7.050233343274513,0,-7.050233343274513,0,0,0.0,0.0,0,0.0,7.050233343274513,0,-7.050233343274513
West Georgia,Josh Smith,7,14,0.5,13.256946857917024,16,2.7430531420829762,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.696708559506733,18,3.3032914404932665
West Georgia,Kenneth Chime,1,1,1.0,0.8008716536577059,2,1.1991283463422941,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,2.2406333552474154,2,-0.24063335524741536
West Georgia,Shelton Williams-Dryden,8,18,0.4444444444444444,16.542837550752786,16,-0.5428375507527861,6,6,1.0,4.319285104769128,6,1.6807148952308717,20.862122655521915,22,1.1378773444780848
West Georgia,JaVar Daniel,4,6,0.6666666666666666,6.027197320317679,8,1.9728026796823208,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.466959021907389,10,2.533040978092611
West Georgia,Kolten Griffin,5,10,0.5,9.3032151922823,10,0.6967848077176999,0,0,0.0,0.0,0,0.0,9.3032151922823,10,0.6967848077176999
West Georgia,Xavier Shegog,1,2,0.5,1.8703305126503222,2,0.12966948734967776,0,0,0.0,0.0,0,0.0,1.8703305126503222,2,0.12966948734967776
West Georgia,Malcolm Noel,1,2,0.5,1.6053754452598192,2,0.39462455474018077,0,0,0.0,0.0,0,0.0,1.6053754452598192,2,0.39462455474018077
West Georgia,Eric Baldassarre,2,2,1.0,2.663834292862981,6,3.336165707137019,0,0,0.0,0.0,0,0.0,2.663834292862981,6,3.336165707137019
