Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UMass Lowell,Shawn Simmons II,2,4,0.5,4.17101213024359,4,-0.1710121302435903,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,8.490297235012719,8,-0.4902972350127186
UMass Lowell,Austin Green,6,9,0.6666666666666666,9.356161446152814,12,2.6438385538471856,7,12,0.5833333333333334,8.638570209538257,7,-1.6385702095382566,17.99473165569107,19,1.0052683443089308
UMass Lowell,Xavier Spencer,0,5,0.0,5.535116466876308,0,-5.535116466876308,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.9748781684660175,2,-4.9748781684660175
UMass Lowell,Darrel Yepdo,2,8,0.25,8.165139474203603,4,-4.1651394742036025,0,0,0.0,0.0,0,0.0,8.165139474203603,4,-4.1651394742036025
UMass Lowell,Jared Frey,1,4,0.25,4.192428121857619,3,-1.1924281218576187,0,0,0.0,0.0,0,0.0,4.192428121857619,3,-1.1924281218576187
UMass Lowell,JJ Massaquoi,8,10,0.8,10.422635915961106,16,5.577364084038894,2,6,0.3333333333333333,4.319285104769128,2,-2.3192851047691283,14.741921020730235,18,3.258078979269765
UMass Lowell,Khalil Farmer,2,2,1.0,1.8780101436493695,5,3.1219898563506305,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,4.037652696033934,6,1.962347303966066
UMass Lowell,Victor Okojie,3,4,0.75,3.6661051416341413,6,2.3338948583658587,0,0,0.0,0.0,0,0.0,3.6661051416341413,6,2.3338948583658587
Saint Peter's,Jahki Gupton,2,6,0.3333333333333333,6.132539628541882,5,-1.132539628541882,0,0,0.0,0.0,0,0.0,6.132539628541882,5,-1.132539628541882
Saint Peter's,Bryce Eaton,2,10,0.2,10.449932186315303,5,-5.449932186315303,3,4,0.75,2.879523403179419,3,0.12047659682058098,13.329455589494723,8,-5.329455589494723
Saint Peter's,Adetokunbo Bakare,2,6,0.3333333333333333,6.516303501111516,5,-1.5163035011115156,0,0,0.0,0.0,0,0.0,6.516303501111516,5,-1.5163035011115156
Saint Peter's,Lucas Scroggins,1,2,0.5,1.6748931667061875,2,0.3251068332938125,0,0,0.0,0.0,0,0.0,1.6748931667061875,2,0.3251068332938125
Saint Peter's,Brent Bland,5,16,0.3125,16.978849894946297,13,-3.978849894946297,0,0,0.0,0.0,0,0.0,16.978849894946297,13,-3.978849894946297
Saint Peter's,TJ Robinson,4,11,0.36363636363636365,11.139379099609199,10,-1.139379099609199,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,15.458664204378326,15,-0.45866420437832645
Saint Peter's,Shaedon Simpson,0,1,0.0,0.8725215648812441,0,-0.8725215648812441,0,0,0.0,0.0,0,0.0,0.8725215648812441,0,-0.8725215648812441
Saint Peter's,Eric Morgan Jr.,2,4,0.5,3.9501889354210027,5,1.0498110645789973,1,1,1.0,0.7198808507948548,1,0.28011914920514525,4.6700697862158576,6,1.3299302137841424
Saint Peter's,Bol Agu,4,7,0.5714285714285714,6.18450585132522,10,3.81549414867478,0,0,0.0,0.0,0,0.0,6.18450585132522,10,3.81549414867478
Saint Peter's,J'Quan Ewing,2,3,0.6666666666666666,3.1443593694426797,4,0.8556406305573203,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,3.8642402202375346,4,0.13575977976246545
