Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UT Rio Grande Valley,Always Wright,3,5,0.6,5.24080596177556,7,1.7591940382244404,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.680567663365269,8,1.3194323366347307
UT Rio Grande Valley,Marvin McGhee III,3,7,0.42857142857142855,7.462537195430938,6,-1.4625371954309383,4,4,1.0,2.879523403179419,4,1.120476596820581,10.342060598610358,10,-0.34206059861035776
UT Rio Grande Valley,Filip Brankovic,5,6,0.8333333333333334,5.552585708959335,11,5.447414291040665,0,0,0.0,0.0,0,0.0,5.552585708959335,11,5.447414291040665
UT Rio Grande Valley,Koree Cotton,4,11,0.36363636363636365,10.427622677658393,9,-1.427622677658393,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,14.74690778242752,13,-1.7469077824275203
UT Rio Grande Valley,Zae Blake,3,8,0.375,7.847164671746115,8,0.15283532825388502,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.286926373335824,10,0.7130736266641762
UT Rio Grande Valley,Marshal Destremau,0,2,0.0,1.7449047861444615,0,-1.7449047861444615,0,0,0.0,0.0,0,0.0,1.7449047861444615,0,-1.7449047861444615
UT Rio Grande Valley,Jaylen Washington,1,4,0.25,3.475294478550301,2,-1.475294478550301,0,0,0.0,0.0,0,0.0,3.475294478550301,2,-1.475294478550301
UT Rio Grande Valley,Kwo Agwa,2,2,1.0,1.879893718503666,4,2.120106281496334,1,1,1.0,0.7198808507948548,1,0.28011914920514525,2.599774569298521,5,2.400225430701479
UT Rio Grande Valley,Julien Gomez,1,3,0.3333333333333333,2.721778089986909,2,-0.7217780899869091,4,4,1.0,2.879523403179419,4,1.120476596820581,5.6013014931663285,6,0.3986985068336715
UT Rio Grande Valley,Kye Dickson,1,1,1.0,1.1135459671169976,2,0.8864540328830024,0,0,0.0,0.0,0,0.0,1.1135459671169976,2,0.8864540328830024
UT Rio Grande Valley,Dane Christensen,0,2,0.0,1.7739842955958127,0,-1.7739842955958127,0,0,0.0,0.0,0,0.0,1.7739842955958127,0,-1.7739842955958127
Missouri State,Trey Williams Jr.,2,10,0.2,9.565075124581517,4,-5.565075124581517,0,0,0.0,0.0,0,0.0,9.565075124581517,4,-5.565075124581517
Missouri State,Kobi Williams,3,11,0.2727272727272727,11.968893045117378,8,-3.968893045117378,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.848416448296797,11,-3.8484164482967973
Missouri State,Keith Palek III,6,14,0.42857142857142855,13.76914960171876,16,2.2308503982812393,12,14,0.8571428571428571,10.078331911127966,12,1.9216680888720337,23.847481512846727,28,4.152518487153273
Missouri State,Michael Osei-Bonsu,4,7,0.5714285714285714,6.544786595421446,8,1.4552134045785543,2,6,0.3333333333333333,4.319285104769128,2,-2.3192851047691283,10.864071700190575,10,-0.8640717001905749
Missouri State,Zaxton King,4,7,0.5714285714285714,7.150942261517107,10,2.849057738482893,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.590703963106817,12,3.409296036893183
Missouri State,Logan Epes,0,1,0.0,1.565201538244532,0,-1.565201538244532,0,0,0.0,0.0,0,0.0,1.565201538244532,0,-1.565201538244532
Missouri State,Darrion Sutton,3,4,0.75,3.882973591055312,7,3.117026408944688,0,0,0.0,0.0,0,0.0,3.882973591055312,7,3.117026408944688
Missouri State,Cameron Boone,1,1,1.0,1.136976944499658,2,0.863023055500342,0,0,0.0,0.0,0,0.0,1.136976944499658,2,0.863023055500342
